operation,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
array_lookup,control,1,20000,24525632,1226.281600
array_lookup,real,1,20000,52523040,2626.152000
array_lookup,real-minus-control,1,20000,0,1.399870
array_update,control,1,20000,19360384,968.019200
array_update,real,1,20000,236972192,11848.609600
array_update,real-minus-control,1,20000,0,10.880590
hash_lookup,control,1,20000,23793120,1189.656000
hash_lookup,real,1,20000,537458432,26872.921600
hash_lookup,real-minus-control,1,20000,0,25.683266
hash_update,control,1,20000,20956672,1047.833600
hash_update,real,1,20000,1839192032,91959.601600
hash_update,real-minus-control,1,20000,0,90.911768
array_lookup,real,2,20000,64380064,3219.003200
array_lookup,control,2,20000,36461408,1823.070400
array_lookup,real-minus-control,2,20000,0,1.395933
array_update,real,2,20000,236937984,11846.899200
array_update,control,2,20000,19287200,964.360000
array_update,real-minus-control,2,20000,0,10.882539
hash_lookup,real,2,20000,536171968,26808.598400
hash_lookup,control,2,20000,23786048,1189.302400
hash_lookup,real-minus-control,2,20000,0,25.619296
hash_update,real,2,20000,1840793728,92039.686400
hash_update,control,2,20000,20982240,1049.112000
hash_update,real-minus-control,2,20000,0,90.990574
array_lookup,control,3,20000,36387616,1819.380800
array_lookup,real,3,20000,64300608,3215.030400
array_lookup,real-minus-control,3,20000,0,1.395650
array_update,control,3,20000,19266528,963.326400
array_update,real,3,20000,236790304,11839.515200
array_update,real-minus-control,3,20000,0,10.876189
hash_lookup,control,3,20000,23824480,1191.224000
hash_lookup,real,3,20000,540395872,27019.793600
hash_lookup,real-minus-control,3,20000,0,25.828570
hash_update,control,3,20000,20997344,1049.867200
hash_update,real,3,20000,1837188512,91859.425600
hash_update,real-minus-control,3,20000,0,90.809558
array_lookup,real,4,20000,64449536,3222.476800
array_lookup,control,4,20000,36343936,1817.196800
array_lookup,real-minus-control,4,20000,0,1.405280
array_update,real,4,20000,236852256,11842.612800
array_update,control,4,20000,19288032,964.401600
array_update,real-minus-control,4,20000,0,10.878211
hash_lookup,real,4,20000,540401344,27020.067200
hash_lookup,control,4,20000,23820800,1191.040000
hash_lookup,real-minus-control,4,20000,0,25.829027
hash_update,real,4,20000,1838560416,91928.020800
hash_update,control,4,20000,20943040,1047.152000
hash_update,real-minus-control,4,20000,0,90.880869
array_lookup,control,5,20000,36353632,1817.681600
array_lookup,real,5,20000,64651808,3232.590400
array_lookup,real-minus-control,5,20000,0,1.414909
array_update,control,5,20000,19375200,968.760000
array_update,real,5,20000,237053056,11852.652800
array_update,real-minus-control,5,20000,0,10.883893
hash_lookup,control,5,20000,23804512,1190.225600
hash_lookup,real,5,20000,536317312,26815.865600
hash_lookup,real-minus-control,5,20000,0,25.625640
hash_update,control,5,20000,20983744,1049.187200
hash_update,real,5,20000,1839299104,91964.955200
hash_update,real-minus-control,5,20000,0,90.915768
