operation,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
array_lookup,control,1,20000,23865536,1193.276800
array_lookup,real,1,20000,52835456,2641.772800
array_lookup,real-minus-control,1,20000,0,1.448496
array_update,control,1,20000,21050144,1052.507200
array_update,real,1,20000,237870784,11893.539200
array_update,real-minus-control,1,20000,0,10.841032
hash_lookup,control,1,20000,23847296,1192.364800
hash_lookup,real,1,20000,561705472,28085.273600
hash_lookup,real-minus-control,1,20000,0,26.892909
hash_update,control,1,20000,19141632,957.081600
hash_update,real,1,20000,1882536288,94126.814400
hash_update,real-minus-control,1,20000,0,93.169733
array_lookup,real,2,20000,64692192,3234.609600
array_lookup,control,2,20000,36026112,1801.305600
array_lookup,real-minus-control,2,20000,0,1.433304
array_update,real,2,20000,237788096,11889.404800
array_update,control,2,20000,20993472,1049.673600
array_update,real-minus-control,2,20000,0,10.839731
hash_lookup,real,2,20000,564206432,28210.321600
hash_lookup,control,2,20000,23835488,1191.774400
hash_lookup,real-minus-control,2,20000,0,27.018547
hash_update,real,2,20000,1880399488,94019.974400
hash_update,control,2,20000,19102496,955.124800
hash_update,real-minus-control,2,20000,0,93.064850
array_lookup,control,3,20000,35825888,1791.294400
array_lookup,real,3,20000,64730624,3236.531200
array_lookup,real-minus-control,3,20000,0,1.445237
array_update,control,3,20000,20896768,1044.838400
array_update,real,3,20000,237731424,11886.571200
array_update,real-minus-control,3,20000,0,10.841733
hash_lookup,control,3,20000,23821344,1191.067200
hash_lookup,real,3,20000,562183648,28109.182400
hash_lookup,real-minus-control,3,20000,0,26.918115
hash_update,control,3,20000,19335808,966.790400
hash_update,real,3,20000,1882318368,94115.918400
hash_update,real-minus-control,3,20000,0,93.149128
array_lookup,real,4,20000,64723808,3236.190400
array_lookup,control,4,20000,35876416,1793.820800
array_lookup,real-minus-control,4,20000,0,1.442370
array_update,real,4,20000,237762048,11888.102400
array_update,control,4,20000,20938656,1046.932800
array_update,real-minus-control,4,20000,0,10.841170
hash_lookup,real,4,20000,562104160,28105.208000
hash_lookup,control,4,20000,23826880,1191.344000
hash_lookup,real-minus-control,4,20000,0,26.913864
hash_update,real,4,20000,1881308928,94065.446400
hash_update,control,4,20000,19080192,954.009600
hash_update,real-minus-control,4,20000,0,93.111437
array_lookup,control,5,20000,36344384,1817.219200
array_lookup,real,5,20000,64708960,3235.448000
array_lookup,real-minus-control,5,20000,0,1.418229
array_update,control,5,20000,20847840,1042.392000
array_update,real,5,20000,237793952,11889.697600
array_update,real-minus-control,5,20000,0,10.847306
hash_lookup,control,5,20000,23811808,1190.590400
hash_lookup,real,5,20000,561513856,28075.692800
hash_lookup,real-minus-control,5,20000,0,26.885102
hash_update,control,5,20000,19108064,955.403200
hash_update,real,5,20000,1882112448,94105.622400
hash_update,real-minus-control,5,20000,0,93.150219
