operation,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
array_lookup,control,1,20000,23867232,1193.361600
array_lookup,real,1,20000,51608256,2580.412800
array_lookup,real-minus-control,1,20000,0,1.387051
array_update,control,1,20000,18752960,937.648000
array_update,real,1,20000,236380768,11819.038400
array_update,real-minus-control,1,20000,0,10.881390
hash_lookup,control,1,20000,24574944,1228.747200
hash_lookup,real,1,20000,536995776,26849.788800
hash_lookup,real-minus-control,1,20000,0,25.621042
hash_update,control,1,20000,18999488,949.974400
hash_update,real,1,20000,1849517824,92475.891200
hash_update,real-minus-control,1,20000,0,91.525917
array_lookup,real,2,20000,51589376,2579.468800
array_lookup,control,2,20000,23832864,1191.643200
array_lookup,real-minus-control,2,20000,0,1.387826
array_update,real,2,20000,236267008,11813.350400
array_update,control,2,20000,18756512,937.825600
array_update,real-minus-control,2,20000,0,10.875525
hash_lookup,real,2,20000,550696320,27534.816000
hash_lookup,control,2,20000,36330304,1816.515200
hash_lookup,real-minus-control,2,20000,0,25.718301
hash_update,real,2,20000,1848597216,92429.860800
hash_update,control,2,20000,18959040,947.952000
hash_update,real-minus-control,2,20000,0,91.481909
array_lookup,control,3,20000,23851808,1192.590400
array_lookup,real,3,20000,51605760,2580.288000
array_lookup,real-minus-control,3,20000,0,1.387698
array_update,control,3,20000,18754880,937.744000
array_update,real,3,20000,236275392,11813.769600
array_update,real-minus-control,3,20000,0,10.876026
hash_lookup,control,3,20000,36350720,1817.536000
hash_lookup,real,3,20000,551929344,27596.467200
hash_lookup,real-minus-control,3,20000,0,25.778931
hash_update,control,3,20000,18915360,945.768000
hash_update,real,3,20000,1847301056,92365.052800
hash_update,real-minus-control,3,20000,0,91.419285
array_lookup,real,4,20000,51622272,2581.113600
array_lookup,control,4,20000,23833056,1191.652800
array_lookup,real-minus-control,4,20000,0,1.389461
array_update,real,4,20000,236297792,11814.889600
array_update,control,4,20000,18744864,937.243200
array_update,real-minus-control,4,20000,0,10.877646
hash_lookup,real,4,20000,551073184,27553.659200
hash_lookup,control,4,20000,36330048,1816.502400
hash_lookup,real-minus-control,4,20000,0,25.737157
hash_update,real,4,20000,1847234912,92361.745600
hash_update,control,4,20000,18973984,948.699200
hash_update,real-minus-control,4,20000,0,91.413046
array_lookup,control,5,20000,23813984,1190.699200
array_lookup,real,5,20000,51574752,2578.737600
array_lookup,real-minus-control,5,20000,0,1.388038
array_update,control,5,20000,18766336,938.316800
array_update,real,5,20000,236293760,11814.688000
array_update,real-minus-control,5,20000,0,10.876371
hash_lookup,control,5,20000,36355648,1817.782400
hash_lookup,real,5,20000,550803200,27540.160000
hash_lookup,real-minus-control,5,20000,0,25.722378
hash_update,control,5,20000,18914688,945.734400
hash_update,real,5,20000,1846842432,92342.121600
hash_update,real-minus-control,5,20000,0,91.396387
