operation,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
array_lookup,control,1,20000,23895424,1194.771200
array_lookup,real,1,20000,52555072,2627.753600
array_lookup,real-minus-control,1,20000,0,1.432982
array_update,control,1,20000,18984800,949.240000
array_update,real,1,20000,237985760,11899.288000
array_update,real-minus-control,1,20000,0,10.950048
hash_lookup,control,1,20000,24176992,1208.849600
hash_lookup,real,1,20000,537867680,26893.384000
hash_lookup,real-minus-control,1,20000,0,25.684534
hash_update,control,1,20000,17307200,865.360000
hash_update,real,1,20000,1840149824,92007.491200
hash_update,real-minus-control,1,20000,0,91.142131
array_lookup,real,2,20000,52576864,2628.843200
array_lookup,control,2,20000,23856160,1192.808000
array_lookup,real-minus-control,2,20000,0,1.436035
array_update,real,2,20000,237883776,11894.188800
array_update,control,2,20000,18946752,947.337600
array_update,real-minus-control,2,20000,0,10.946851
hash_lookup,real,2,20000,552725792,27636.289600
hash_lookup,control,2,20000,36175392,1808.769600
hash_lookup,real-minus-control,2,20000,0,25.827520
hash_update,real,2,20000,1838329056,91916.452800
hash_update,control,2,20000,17283840,864.192000
hash_update,real-minus-control,2,20000,0,91.052261
array_lookup,control,3,20000,23851264,1192.563200
array_lookup,real,3,20000,52558240,2627.912000
array_lookup,real-minus-control,3,20000,0,1.435349
array_update,control,3,20000,18936416,946.820800
array_update,real,3,20000,237912608,11895.630400
array_update,real-minus-control,3,20000,0,10.948810
hash_lookup,control,3,20000,36038688,1801.934400
hash_lookup,real,3,20000,553631968,27681.598400
hash_lookup,real-minus-control,3,20000,0,25.879664
hash_update,control,3,20000,17305408,865.270400
hash_update,real,3,20000,1838881152,91944.057600
hash_update,real-minus-control,3,20000,0,91.078787
array_lookup,real,4,20000,52557280,2627.864000
array_lookup,control,4,20000,23830496,1191.524800
array_lookup,real-minus-control,4,20000,0,1.436339
array_update,real,4,20000,237899584,11894.979200
array_update,control,4,20000,18851680,942.584000
array_update,real-minus-control,4,20000,0,10.952395
hash_lookup,real,4,20000,553935424,27696.771200
hash_lookup,control,4,20000,36319552,1815.977600
hash_lookup,real-minus-control,4,20000,0,25.880794
hash_update,real,4,20000,1838923744,91946.187200
hash_update,control,4,20000,17281600,864.080000
hash_update,real-minus-control,4,20000,0,91.082107
array_lookup,control,5,20000,23842912,1192.145600
array_lookup,real,5,20000,52521952,2626.097600
array_lookup,real-minus-control,5,20000,0,1.433952
array_update,control,5,20000,18928352,946.417600
array_update,real,5,20000,237866784,11893.339200
array_update,real-minus-control,5,20000,0,10.946922
hash_lookup,control,5,20000,36175392,1808.769600
hash_lookup,real,5,20000,553552096,27677.604800
hash_lookup,real-minus-control,5,20000,0,25.868835
hash_update,control,5,20000,17295712,864.785600
hash_update,real,5,20000,1839725184,91986.259200
hash_update,real-minus-control,5,20000,0,91.121474
