operation,layer,entry_point,mean_ns_per_op,stddev_ns_per_op,net_ns_vs_control,net_instructions_vs_control,net_cycles_vs_control,net_branches_vs_control,raw_instructions,raw_cycles,raw_branches
lookup,control,diagnostic call/loop control,2.902991,0.000392,0.000000,0.000000,0.000000,0.000000,3321130550,1515285077,904687049
lookup,l0,array_map_impl::elem_lookup,3.131235,0.001229,0.228244,14.000000,0.393101,2.000000,7535130643,1633608528,1506687078
lookup,l1,bpf_map_handler::map_lookup_elem,7.891554,0.003718,4.988563,64.000001,8.612117,8.000000,22585130801,4107532267,3312687118
lookup,l2,bpftime_shm::bpf_map_lookup_elem,12.850356,0.001075,9.947365,98.000012,17.174359,15.000002,32819134179,6684767249,5419687789
lookup,l3,bpftime_map_lookup_elem_helper,11.822949,0.001878,8.919958,89.000013,15.400055,12.000003,30110134334,6150701685,4516687820
update,control,diagnostic call/loop control,2.905827,0.000277,0.000000,0.000000,0.000000,0.000000,3923130608,1516567245,904687065
update,l0,array_map_impl::elem_update,5.677212,0.003650,2.771385,48.000000,4.784692,12.000000,18371130719,2956759681,4516687086
update,l1,bpf_map_handler::map_update_elem,11.843168,0.006740,8.937341,108.000012,15.431353,18.000002,36431134136,6161404422,6322687773
update,l2,bpftime_shm::bpf_map_update_elem,17.784125,0.002923,14.878298,149.000013,25.688425,25.000003,48772134406,9248783242,8429687820
update,l3,bpftime_map_update_elem_helper,16.083468,0.005821,13.177641,131.000012,22.752656,22.000002,43354134297,8365116750,7526687811
