operation,state,layer,entry_point,mean_ns_per_op,stddev_ns_per_op,net_ns_vs_control,net_instructions_vs_control,net_cycles_vs_control,net_branches_vs_control,net_branch_misses_vs_control,net_cache_references_vs_control,net_cache_misses_vs_control,raw_task_clock_ms,raw_instructions,raw_cycles,raw_branches,raw_branch_misses,raw_cache_references,raw_cache_misses
lookup,hit,control,diagnostic call/loop control,2.906435,0.000255,0.000000,0.000,0.000,0.000,0.000000,0.000,0.000000,135.092416,379880927,162389563,94562366,69017,65741156,229931
lookup,hit,lock,pthread spin lock/unlock only,14.357425,0.003177,11.450990,43.000,19.813,10.000,-0.000009,17.009,-0.000000,487.823840,1712884277,776590233,404563028,68736,593030069,229919
lookup,hit,l0,fix_size_hash_map_impl::elem_lookup,39.320715,0.005234,36.414280,169.908,62.896,35.720,0.114852,37.368,0.000005,1262.670624,5647035057,2112150253,1201883489,3629436,1224149304,230076
lookup,hit,l1,bpf_map_handler::map_lookup_elem,42.877416,0.006290,39.970981,248.908,69.026,52.720,0.115271,60.807,0.000003,1372.658080,8096035089,2302203833,1728883506,3642415,1950752553,230026
lookup,hit,l2,bpftime_shm::bpf_map_lookup_elem,44.321675,0.027044,41.415240,282.908,71.509,59.720,0.122629,69.795,0.000103,1417.936576,9150035442,2379161334,1945883585,3870514,2229377400,233117
lookup,hit,l3,bpftime_map_lookup_elem_helper,44.167580,0.006762,41.261145,285.908,71.250,59.720,0.122083,69.832,0.000068,1412.543296,9243035416,2371133695,1945883581,3853589,2230531155,232032
update,existing,control,diagnostic call/loop control,2.903536,0.000265,0.000000,0.000,0.000,0.000,0.000000,0.000,0.000000,131.589088,411761275,162078907,94562424,68969,96970293,228322
update,existing,lock,pthread spin lock/unlock only,17.348556,0.002159,14.445021,43.000,24.945,10.000,0.000013,17.007,0.000032,579.944992,1744767221,935387661,404563505,69357,624192963,229313
update,existing,l0,fix_size_hash_map_impl::elem_update,40.722792,0.025958,37.819256,203.908,65.311,43.720,0.118368,49.874,0.000030,1305.325568,6732915099,2186716828,1449883498,3738388,1643070987,229244
update,existing,l1,bpf_map_handler::map_update_elem,50.146589,0.006609,47.243053,296.908,81.575,59.720,0.122603,84.529,0.000079,1598.592960,9615915320,2690911411,1945883547,3869648,2717356275,230763
update,existing,l2,bpftime_shm::bpf_map_update_elem,55.532685,0.014915,52.629150,337.908,90.877,66.720,0.122056,94.961,0.000031,1765.277440,10886915755,2979261504,2162883633,3852705,3040762181,229281
update,existing,l3,bpftime_map_update_elem_helper,56.102452,0.007152,53.198917,337.908,91.863,66.720,0.123176,95.284,0.000124,1783.050080,10886915822,3009841539,2162883648,3887413,3050770947,232163
delete,miss,control,diagnostic call/loop control,2.905104,0.000291,0.000000,0.000,0.000,0.000,0.000000,0.000,0.000000,131.992416,379318418,162042153,94449984,68414,65680788,227888
delete,miss,lock,pthread spin lock/unlock only,14.537820,0.003096,11.632715,43.000,20.070,10.000,0.000007,17.006,-0.000000,492.384768,1712324356,784224314,404451070,68630,592867332,227883
delete,miss,l0,fix_size_hash_map_impl::elem_delete,21.628204,0.003308,18.723100,66.000,32.333,8.000,0.000061,21.101,0.000026,713.434880,2425324488,1164375778,342451099,70290,719819860,228708
delete,miss,l1,bpf_map_handler::map_delete_elem,23.477267,0.003077,20.572163,138.000,35.526,24.000,0.000010,42.001,0.000196,771.795744,4657322008,1263341622,838450711,68719,1367699367,233957
delete,miss,l2,bpftime_shm::bpf_delete_elem,28.066510,0.002564,25.161405,172.000,43.422,31.000,0.000034,51.002,0.000047,912.309856,5711324794,1508136889,1055451183,69457,1646735208,229353
delete,miss,l3,bpftime_map_delete_elem_helper,27.494172,0.008701,24.589067,175.000,42.424,31.000,0.000017,51.002,0.000133,894.553280,5804324993,1477194444,1055451213,68948,1646737874,232009
