tag,family,active_keys,max_entries,key_size,value_size,case,kernel_mean,kernel_median,bpftime_mean,bpftime_median,gap_of_means,gap_of_medians,mean_ratio,paired_gap_sample_sd
lf1000,load,1000,1024,4,8,hash_lookup,26.210193920,26.223072000,53.866598400,53.716844800,27.656404480,27.493772800,2.055177408,0.435890939
lf1000,load,1000,1024,4,8,hash_update,89.981422080,89.974521600,52.529144320,52.350848000,-37.452277760,-37.623673600,0.583777663,0.337942507
lf1000,load,1000,1024,4,8,percpu_hash_lookup,26.056533760,26.036044800,157.044844800,156.994963200,130.988311040,130.958918400,6.027081201,0.363207958
lf1000,load,1000,1024,4,8,percpu_hash_update,66.071691520,66.083219200,232.612808960,231.121254400,166.541117440,165.038035200,3.520612287,3.789151426
lf0064,load,64,1024,4,8,hash_lookup,16.876295680,16.883372800,38.986060800,38.976070400,22.109765120,22.092697600,2.310107712,0.215901423
lf0064,load,64,1024,4,8,hash_update,84.107078400,84.112608000,37.395928320,37.447712000,-46.711150080,-46.664896000,0.444622843,0.119302712
lf0064,load,64,1024,4,8,percpu_hash_lookup,17.982784000,17.967206400,145.752906240,145.616377600,127.770122240,127.649171200,8.105135792,0.305183377
lf0064,load,64,1024,4,8,percpu_hash_update,62.344032000,62.346246400,220.679718400,218.894604800,158.335686400,156.548358400,3.539708795,3.926466238
lf0256,load,256,1024,4,8,hash_lookup,18.939765760,18.940512000,40.206689280,40.231308800,21.266923520,21.290796800,2.122871517,0.610044973
lf0256,load,256,1024,4,8,hash_update,85.520771840,85.530534400,37.914483200,37.802412800,-47.606288640,-47.728121600,0.443336541,0.249647860
lf0256,load,256,1024,4,8,percpu_hash_lookup,19.258753280,19.265452800,148.357725440,148.299129600,129.098972160,129.033676800,7.703391974,0.191355019
lf0256,load,256,1024,4,8,percpu_hash_update,62.452267520,62.453830400,221.186899200,221.062464000,158.734631680,158.608633600,3.541695250,0.431770757
lf0512,load,512,1024,4,8,hash_lookup,20.266112000,20.271923200,43.885020160,43.697331200,23.618908160,23.425408000,2.165438549,0.571857400
lf0512,load,512,1024,4,8,hash_update,86.796409600,86.741913600,41.868019200,42.035603200,-44.928390400,-44.706310400,0.482370404,0.347117434
lf0512,load,512,1024,4,8,percpu_hash_lookup,21.675084800,21.667078400,153.264049920,153.352793600,131.588965120,131.685715200,7.070978099,0.255163234
lf0512,load,512,1024,4,8,percpu_hash_update,62.756174080,62.769382400,227.266050560,227.433683200,164.509876480,164.664300800,3.621413413,0.517167282
key0016,key,512,1024,16,8,hash_lookup,28.416857600,28.420166400,77.686440960,77.494240000,49.269583360,49.074073600,2.733815331,0.553547855
key0016,key,512,1024,16,8,hash_update,92.626699520,92.601843200,75.819745280,75.652396800,-16.806954240,-16.949446400,0.818551732,0.627702965
key0016,key,512,1024,16,8,percpu_hash_lookup,28.580455680,28.582233600,234.425408000,234.435884800,205.844952320,205.853651200,8.202297774,0.173136771
key0016,key,512,1024,16,8,percpu_hash_update,69.077347840,69.083091200,310.310197760,310.404467200,241.232849920,241.321376000,4.492213547,0.332307133
key0064,key,512,1024,64,8,hash_lookup,65.674602240,65.727008000,160.523706880,160.333958400,94.849104640,94.606950400,2.444228079,0.729804042
key0064,key,512,1024,64,8,hash_update,130.581551360,130.590835200,159.599080960,159.522009600,29.017529600,28.931174400,1.222217682,0.461502718
key0064,key,512,1024,64,8,percpu_hash_lookup,64.962579200,64.957856000,565.344198400,565.126713600,500.381619200,500.168857600,8.702613187,0.534233007
key0064,key,512,1024,64,8,percpu_hash_update,105.709839360,105.709740800,638.336249600,638.524736000,532.626410240,532.814995200,6.038569857,0.587310780
val0064,value,512,1024,4,64,hash_lookup,21.132160000,21.107193600,43.988298240,44.173324800,22.856138240,23.066131200,2.081580787,0.462797317
val0064,value,512,1024,4,64,hash_update,87.328805120,87.326771200,39.675846400,39.686995200,-47.652958720,-47.639776000,0.454327141,0.394895307
val0064,value,512,1024,4,64,percpu_hash_lookup,21.834993920,21.849292800,154.259683840,154.342681600,132.424689920,132.493388800,7.064791701,0.407122177
val0064,value,512,1024,4,64,percpu_hash_update,61.959921920,61.971904000,403.295918080,403.257689600,341.335996160,341.285785600,6.508980412,0.695635628
val0256,value,512,1024,4,256,hash_lookup,21.984702720,21.974016000,44.643349760,44.359846400,22.658647040,22.385830400,2.030655148,0.750885123
val0256,value,512,1024,4,256,hash_update,111.067215360,111.063264000,49.111938560,50.156780800,-61.955276800,-60.906483200,0.442182136,1.666887879
val0256,value,512,1024,4,256,percpu_hash_lookup,21.314580480,21.298028800,153.540244480,153.506636800,132.225664000,132.208608000,7.203531152,0.333189730
val0256,value,512,1024,4,256,percpu_hash_update,81.955422720,81.933024000,1027.558951680,1028.177324800,945.603528960,946.244300800,12.538022715,2.406192042
