tag,family,active_keys,max_entries,key_size,value_size,environment,operation,mean,median,sample_sd,min,max
lf1000,load,1000,1024,4,8,kernel,lookup,-0.153660160,-0.153196800,0.042596640,-0.216025600,-0.105068800
lf1000,load,1000,1024,4,8,bpftime,lookup,103.178246400,103.069984000,0.329450659,102.834041600,103.672998400
lf1000,load,1000,1024,4,8,kernel,update,-23.909730560,-23.908403200,0.019581774,-23.932294400,-23.879737600
lf1000,load,1000,1024,4,8,bpftime,update,180.083664640,178.461209600,3.906454007,177.987974400,187.035654400
lf0064,load,64,1024,4,8,kernel,lookup,1.106488320,1.083833600,0.062326610,1.069792000,1.217478400
lf0064,load,64,1024,4,8,bpftime,lookup,106.766845440,106.868435200,0.371814517,106.173158400,107.187980800
lf0064,load,64,1024,4,8,kernel,update,-21.763046400,-21.761990400,0.012543798,-21.781996800,-21.748364800
lf0064,load,64,1024,4,8,bpftime,update,183.283790080,181.637849600,3.899426047,181.113356800,190.242803200
lf0256,load,256,1024,4,8,kernel,lookup,0.318987520,0.311116800,0.030970256,0.286150400,0.368435200
lf0256,load,256,1024,4,8,bpftime,lookup,108.151036160,108.040633600,0.734816079,107.207974400,109.139507200
lf0256,load,256,1024,4,8,kernel,update,-23.068504320,-23.079692800,0.036842389,-23.104620800,-23.020006400
lf0256,load,256,1024,4,8,bpftime,update,183.272416000,183.129273600,0.411180409,183.027628800,184.001465600
lf0512,load,512,1024,4,8,kernel,lookup,1.408972800,1.418252800,0.051580734,1.342771200,1.471385600
lf0512,load,512,1024,4,8,bpftime,lookup,109.379029760,109.704761600,0.588237744,108.580102400,109.886873600
lf0512,load,512,1024,4,8,kernel,update,-24.040235520,-23.971532800,0.122832459,-24.203212800,-23.928044800
lf0512,load,512,1024,4,8,bpftime,update,185.398031360,185.398080000,0.250922872,185.137907200,185.801945600
key0016,key,512,1024,16,8,kernel,lookup,0.163598080,0.200684800,0.110038356,0.015750400,0.290233600
key0016,key,512,1024,16,8,bpftime,lookup,156.738967040,156.743385600,0.494628679,156.186470400,157.230860800
key0016,key,512,1024,16,8,kernel,update,-23.549351680,-23.562611200,0.076262868,-23.635142400,-23.436230400
key0016,key,512,1024,16,8,bpftime,update,234.490452480,234.913190400,0.951873577,233.362649600,235.371936000
key0064,key,512,1024,64,8,kernel,lookup,-0.712023040,-0.751475200,0.129640883,-0.827142400,-0.530304000
key0064,key,512,1024,64,8,bpftime,lookup,404.820491520,404.834809600,0.819745573,403.571654400,405.555590400
key0064,key,512,1024,64,8,kernel,update,-24.871712000,-24.809644800,0.236013219,-25.156320000,-24.586617600
key0064,key,512,1024,64,8,bpftime,update,478.737168640,479.010636800,0.773785938,477.524864000,479.481836800
val0064,value,512,1024,4,64,kernel,lookup,0.702833920,0.726688000,0.083142145,0.603206400,0.807539200
val0064,value,512,1024,4,64,bpftime,lookup,110.271385600,110.442201600,0.567777963,109.314073600,110.803571200
val0064,value,512,1024,4,64,kernel,update,-25.368883200,-25.301523200,0.164772626,-25.608832000,-25.220544000
val0064,value,512,1024,4,64,bpftime,update,363.620071680,363.570694400,0.509677771,362.905350400,364.236300800
val0256,value,512,1024,4,256,kernel,lookup,-0.670122240,-0.678041600,0.029024330,-0.696416000,-0.624153600
val0256,value,512,1024,4,256,bpftime,lookup,108.896894720,109.146790400,0.977791688,107.370105600,109.906739200
val0256,value,512,1024,4,256,kernel,update,-29.111792640,-29.021676800,0.161443676,-29.335296000,-28.971782400
val0256,value,512,1024,4,256,bpftime,update,978.447013120,978.851699200,1.199851396,976.763328000,979.576204800
