tag,case,control,reason
lf0064,hash_lookup,lookup_control,low-load ordinary lookup
lf0064,percpu_hash_lookup,lookup_control,low-load per-CPU lookup
lf1000,hash_lookup,lookup_control,high-load ordinary lookup
lf1000,percpu_hash_lookup,lookup_control,high-load per-CPU lookup
lf0512,hash_lookup,lookup_control,4B-key 8B-value ordinary lookup baseline
lf0512,hash_update,update_control,4B-key 8B-value ordinary update baseline
lf0512,percpu_hash_lookup,lookup_control,4B-key 8B-value per-CPU lookup baseline
lf0512,percpu_hash_update,update_control,4B-key 8B-value per-CPU update baseline
key0064,hash_lookup,lookup_control,64B-key ordinary lookup endpoint
key0064,hash_update,update_control,64B-key ordinary update endpoint
key0064,percpu_hash_lookup,lookup_control,64B-key per-CPU lookup endpoint
key0064,percpu_hash_update,update_control,64B-key per-CPU update endpoint
val0256,hash_update,update_control,256B-value ordinary update endpoint
val0256,percpu_hash_update,update_control,256B-value per-CPU update endpoint
