tag,case,control,reason,metric,kernel_mean,bpftime_mean,gap_of_means,paired_gap_sample_sd
lf0064,hash_lookup,lookup_control,low-load ordinary lookup,cycles,28.808455800,68.031854600,39.223398800,0.293390531
lf0064,hash_lookup,lookup_control,low-load ordinary lookup,instructions,119.095068000,285.992580533,166.897512533,0.094534798
lf0064,percpu_hash_lookup,lookup_control,low-load per-CPU lookup,cycles,30.594957133,251.896414067,221.301456933,0.644199407
lf0064,percpu_hash_lookup,lookup_control,low-load per-CPU lookup,instructions,124.195030800,920.407529400,796.212498600,0.136299017
lf1000,hash_lookup,lookup_control,high-load ordinary lookup,cycles,43.711434267,93.961832800,50.250398533,1.961722802
lf1000,hash_lookup,lookup_control,high-load ordinary lookup,instructions,121.279334400,367.022431067,245.743096667,0.040949983
lf1000,percpu_hash_lookup,lookup_control,high-load per-CPU lookup,cycles,45.085969533,271.800615000,226.714645467,0.767975527
lf1000,percpu_hash_lookup,lookup_control,high-load per-CPU lookup,instructions,126.383727467,930.307928867,803.924201400,0.015183640
lf0512,hash_lookup,lookup_control,4B-key 8B-value ordinary lookup baseline,cycles,37.367131400,74.664036200,37.296904800,0.427336163
lf0512,hash_lookup,lookup_control,4B-key 8B-value ordinary lookup baseline,instructions,120.459366533,307.609924400,187.150557867,0.065437872
lf0512,hash_update,update_control,4B-key 8B-value ordinary update baseline,cycles,152.317618067,71.087749067,-81.229869000,0.145683763
lf0512,hash_update,update_control,4B-key 8B-value ordinary update baseline,instructions,389.017534133,277.599169400,-111.418364733,0.073011281
lf0512,percpu_hash_lookup,lookup_control,4B-key 8B-value per-CPU lookup baseline,cycles,37.570413733,265.405620667,227.835206933,0.374557435
lf0512,percpu_hash_lookup,lookup_control,4B-key 8B-value per-CPU lookup baseline,instructions,125.289409867,931.171092600,805.881682733,0.079455526
lf0512,percpu_hash_update,update_control,4B-key 8B-value per-CPU update baseline,cycles,109.870371400,392.603320467,282.732949067,1.055732523
lf0512,percpu_hash_update,update_control,4B-key 8B-value per-CPU update baseline,instructions,272.362000867,1415.407732533,1143.045731667,0.152864933
key0064,hash_lookup,lookup_control,64B-key ordinary lookup endpoint,cycles,112.506555667,276.825424467,164.318868800,1.241949767
key0064,hash_lookup,lookup_control,64B-key ordinary lookup endpoint,instructions,285.462320733,693.501108800,408.038788067,0.063042231
key0064,hash_update,update_control,64B-key ordinary update endpoint,cycles,222.221227000,276.682185400,54.460958400,0.426760359
key0064,hash_update,update_control,64B-key ordinary update endpoint,instructions,555.987331533,658.503792000,102.516460467,0.079455248
key0064,percpu_hash_lookup,lookup_control,64B-key per-CPU lookup endpoint,cycles,111.529809067,977.415385467,865.885576400,0.340851167
key0064,percpu_hash_lookup,lookup_control,64B-key per-CPU lookup endpoint,instructions,290.382016000,3079.798859933,2789.416843933,0.134935292
key0064,percpu_hash_update,update_control,64B-key per-CPU update endpoint,cycles,181.808823733,1102.899912267,921.091088533,0.910272063
key0064,percpu_hash_update,update_control,64B-key per-CPU update endpoint,instructions,437.451468867,3559.310015000,3121.858546133,0.115729868
val0256,hash_update,update_control,256B-value ordinary update endpoint,cycles,191.184909000,84.329300200,-106.855608800,2.894211606
val0256,hash_update,update_control,256B-value ordinary update endpoint,instructions,427.832134333,295.655036067,-132.177098267,0.160429782
val0256,percpu_hash_update,update_control,256B-value per-CPU update endpoint,cycles,141.213774333,1772.936824067,1631.723049733,1.376038989
val0256,percpu_hash_update,update_control,256B-value per-CPU update endpoint,instructions,311.515746400,5902.382023000,5590.866276600,0.554939688
