tag,case,control,reason,environment,metric,run,iterations,real_count,control_count,net_per_helper
lf0064,hash_lookup,lookup_control,low-load ordinary lookup,kernel,cycles,1,5000,186843790.000,43128329.000,28.743092200
lf0064,hash_lookup,lookup_control,low-load ordinary lookup,kernel,cycles,2,5000,187056476.000,42848339.000,28.841627400
lf0064,hash_lookup,lookup_control,low-load ordinary lookup,kernel,cycles,3,5000,187034904.000,42831665.000,28.840647800
lf0064,hash_lookup,lookup_control,low-load ordinary lookup,kernel,instructions,1,5000,717916545.000,122442073.000,119.094894400
lf0064,hash_lookup,lookup_control,low-load ordinary lookup,kernel,instructions,2,5000,717861987.000,122413731.000,119.089651200
lf0064,hash_lookup,lookup_control,low-load ordinary lookup,kernel,instructions,3,5000,717914162.000,122410870.000,119.100658400
lf0064,hash_lookup,lookup_control,low-load ordinary lookup,bpftime,cycles,1,5000,549066090.000,209747336.000,67.863750800
lf0064,hash_lookup,lookup_control,low-load ordinary lookup,bpftime,cycles,2,5000,546559760.000,207375646.000,67.836822800
lf0064,hash_lookup,lookup_control,low-load ordinary lookup,bpftime,cycles,3,5000,549137305.000,207162354.000,68.394990200
lf0064,hash_lookup,lookup_control,low-load ordinary lookup,bpftime,instructions,1,5000,1801202984.000,371295168.000,285.981563200
lf0064,hash_lookup,lookup_control,low-load ordinary lookup,bpftime,instructions,2,5000,1801137637.000,371645045.000,285.898518400
lf0064,hash_lookup,lookup_control,low-load ordinary lookup,bpftime,instructions,3,5000,1801548433.000,371060133.000,286.097660000
lf0064,percpu_hash_lookup,lookup_control,low-load per-CPU lookup,kernel,cycles,1,5000,195956196.000,42859476.000,30.619344000
lf0064,percpu_hash_lookup,lookup_control,low-load per-CPU lookup,kernel,cycles,2,5000,195798567.000,42985080.000,30.562697400
lf0064,percpu_hash_lookup,lookup_control,low-load per-CPU lookup,kernel,cycles,3,5000,195854824.000,42840674.000,30.602830000
lf0064,percpu_hash_lookup,lookup_control,low-load per-CPU lookup,kernel,instructions,1,5000,743357974.000,122403357.000,124.190923400
lf0064,percpu_hash_lookup,lookup_control,low-load per-CPU lookup,kernel,instructions,2,5000,743420077.000,122417579.000,124.200499600
lf0064,percpu_hash_lookup,lookup_control,low-load per-CPU lookup,kernel,instructions,3,5000,743378765.000,122410418.000,124.193669400
lf0064,percpu_hash_lookup,lookup_control,low-load per-CPU lookup,bpftime,cycles,1,5000,1461639832.000,205500536.000,251.227859200
lf0064,percpu_hash_lookup,lookup_control,low-load per-CPU lookup,bpftime,cycles,2,5000,1464990537.000,205108593.000,251.976388800
lf0064,percpu_hash_lookup,lookup_control,low-load per-CPU lookup,bpftime,cycles,3,5000,1466998115.000,204573144.000,252.484994200
lf0064,percpu_hash_lookup,lookup_control,low-load per-CPU lookup,bpftime,instructions,1,5000,4973630822.000,371475958.000,920.430972800
lf0064,percpu_hash_lookup,lookup_control,low-load per-CPU lookup,bpftime,instructions,2,5000,4973862724.000,371195638.000,920.533417200
lf0064,percpu_hash_lookup,lookup_control,low-load per-CPU lookup,bpftime,instructions,3,5000,4973426994.000,372136003.000,920.258198200
