tag,case,control,reason,environment,metric,mean,median,sample_sd,min,max
lf0064,hash_lookup,lookup_control,low-load ordinary lookup,kernel,cycles,28.808455800,28.840647800,0.056608657,28.743092200,28.841627400
lf0064,hash_lookup,lookup_control,low-load ordinary lookup,bpftime,cycles,68.031854600,67.863750800,0.314772739,67.836822800,68.394990200
lf0064,hash_lookup,lookup_control,low-load ordinary lookup,kernel,instructions,119.095068000,119.094894400,0.005505653,119.089651200,119.100658400
lf0064,hash_lookup,lookup_control,low-load ordinary lookup,bpftime,instructions,285.992580533,285.981563200,0.100026899,285.898518400,286.097660000
lf0064,percpu_hash_lookup,lookup_control,low-load per-CPU lookup,kernel,cycles,30.594957133,30.602830000,0.029132385,30.562697400,30.619344000
lf0064,percpu_hash_lookup,lookup_control,low-load per-CPU lookup,bpftime,cycles,251.896414067,251.976388800,0.632371782,251.227859200,252.484994200
lf0064,percpu_hash_lookup,lookup_control,low-load per-CPU lookup,kernel,instructions,124.195030800,124.193669400,0.004931121,124.190923400,124.200499600
lf0064,percpu_hash_lookup,lookup_control,low-load per-CPU lookup,bpftime,instructions,920.407529400,920.430972800,0.139099135,920.258198200,920.533417200
lf1000,hash_lookup,lookup_control,high-load ordinary lookup,kernel,cycles,43.711434267,43.714702800,0.032545729,43.677377600,43.742222400
lf1000,hash_lookup,lookup_control,high-load ordinary lookup,bpftime,cycles,93.961832800,93.027455800,1.931067227,92.675674400,96.182368200
lf1000,hash_lookup,lookup_control,high-load ordinary lookup,kernel,instructions,121.279334400,121.279990000,0.003417493,121.275636600,121.282376600
lf1000,hash_lookup,lookup_control,high-load ordinary lookup,bpftime,instructions,367.022431067,366.999619800,0.043647651,366.994915600,367.072757800
lf1000,percpu_hash_lookup,lookup_control,high-load per-CPU lookup,kernel,cycles,45.085969533,45.119649600,0.075436197,44.999560400,45.138698600
lf1000,percpu_hash_lookup,lookup_control,high-load per-CPU lookup,bpftime,cycles,271.800615000,271.990377400,0.738769096,270.985475200,272.425992400
lf1000,percpu_hash_lookup,lookup_control,high-load per-CPU lookup,kernel,instructions,126.383727467,126.384106400,0.006058894,126.377488000,126.389588000
lf1000,percpu_hash_lookup,lookup_control,high-load per-CPU lookup,bpftime,instructions,930.307928867,930.303252200,0.018317366,930.292403200,930.328131200
lf0512,hash_lookup,lookup_control,4B-key 8B-value ordinary lookup baseline,kernel,cycles,37.367131400,37.398866400,0.128265505,37.225977400,37.476550400
lf0512,hash_lookup,lookup_control,4B-key 8B-value ordinary lookup baseline,bpftime,cycles,74.664036200,74.606062600,0.385660797,74.310644200,75.075401800
lf0512,hash_lookup,lookup_control,4B-key 8B-value ordinary lookup baseline,kernel,instructions,120.459366533,120.461514400,0.005173933,120.453464600,120.463120600
lf0512,hash_lookup,lookup_control,4B-key 8B-value ordinary lookup baseline,bpftime,instructions,307.609924400,307.627208000,0.070545805,307.532343000,307.670222200
lf0512,hash_update,update_control,4B-key 8B-value ordinary update baseline,kernel,cycles,152.317618067,152.352853800,0.141587022,152.161740600,152.438259800
lf0512,hash_update,update_control,4B-key 8B-value ordinary update baseline,bpftime,cycles,71.087749067,71.094762000,0.013332098,71.072374200,71.096111000
lf0512,hash_update,update_control,4B-key 8B-value ordinary update baseline,kernel,instructions,389.017534133,389.016282600,0.002564409,389.015835800,389.020484000
