tag,family,active_keys,max_entries,key_size,value_size,environment,run,case,real_ns_per_invocation,control_ns_per_invocation,net_ns_per_helper
lf1000,load,1000,1024,4,8,kernel,1,hash_lookup,30951.084800000,4693.049600000,26.258035200
lf1000,load,1000,1024,4,8,kernel,1,hash_update,94695.782400000,4691.936000000,90.003846400
lf1000,load,1000,1024,4,8,kernel,1,percpu_hash_lookup,30797.888000000,4693.049600000,26.104838400
lf1000,load,1000,1024,4,8,kernel,1,percpu_hash_update,70775.155200000,4691.936000000,66.083219200
lf1000,load,1000,1024,4,8,kernel,2,hash_lookup,30971.033600000,4692.224000000,26.278809600
lf1000,load,1000,1024,4,8,kernel,2,hash_update,94672.160000000,4697.638400000,89.974521600
lf1000,load,1000,1024,4,8,kernel,2,percpu_hash_lookup,30802.598400000,4692.224000000,26.110374400
lf1000,load,1000,1024,4,8,kernel,2,percpu_hash_update,70792.422400000,4697.638400000,66.094784000
lf1000,load,1000,1024,4,8,kernel,3,hash_lookup,30915.411200000,4692.339200000,26.223072000
lf1000,load,1000,1024,4,8,kernel,3,hash_update,94632.556800000,4686.419200000,89.946137600
lf1000,load,1000,1024,4,8,kernel,3,percpu_hash_lookup,30699.385600000,4692.339200000,26.007046400
lf1000,load,1000,1024,4,8,kernel,3,percpu_hash_update,70724.153600000,4686.419200000,66.037734400
lf1000,load,1000,1024,4,8,kernel,4,hash_lookup,30805.779200000,4676.345600000,26.129433600
lf1000,load,1000,1024,4,8,kernel,4,hash_update,94634.412800000,4675.072000000,89.959340800
lf1000,load,1000,1024,4,8,kernel,4,percpu_hash_lookup,30700.710400000,4676.345600000,26.024364800
lf1000,load,1000,1024,4,8,kernel,4,percpu_hash_update,70702.118400000,4675.072000000,66.027046400
lf1000,load,1000,1024,4,8,kernel,5,hash_lookup,30838.752000000,4677.132800000,26.161619200
lf1000,load,1000,1024,4,8,kernel,5,hash_update,94707.129600000,4683.865600000,90.023264000
