tag,family,active_keys,max_entries,key_size,value_size,environment,case,mean,median,sample_sd,min,max
lf1000,load,1000,1024,4,8,kernel,hash_lookup,26.210193920,26.223072000,0.063333398,26.129433600,26.278809600
lf1000,load,1000,1024,4,8,bpftime,hash_lookup,53.866598400,53.716844800,0.383102608,53.498790400,54.465900800
lf1000,load,1000,1024,4,8,kernel,hash_update,89.981422080,89.974521600,0.031756064,89.946137600,90.023264000
lf1000,load,1000,1024,4,8,bpftime,hash_update,52.529144320,52.350848000,0.359162138,52.243142400,53.133164800
lf1000,load,1000,1024,4,8,kernel,percpu_hash_lookup,26.056533760,26.036044800,0.047790666,26.007046400,26.110374400
lf1000,load,1000,1024,4,8,bpftime,percpu_hash_lookup,157.044844800,156.994963200,0.323545675,156.568774400,157.389843200
lf1000,load,1000,1024,4,8,kernel,percpu_hash_update,66.071691520,66.083219200,0.037903978,66.027046400,66.115673600
lf1000,load,1000,1024,4,8,bpftime,percpu_hash_update,232.612808960,231.121254400,3.798061933,230.565158400,239.386502400
lf0064,load,64,1024,4,8,kernel,hash_lookup,16.876295680,16.883372800,0.019624244,16.851244800,16.896384000
lf0064,load,64,1024,4,8,bpftime,hash_lookup,38.986060800,38.976070400,0.224038991,38.742195200,39.338060800
lf0064,load,64,1024,4,8,kernel,hash_update,84.107078400,84.112608000,0.016772498,84.084537600,84.124838400
lf0064,load,64,1024,4,8,bpftime,hash_update,37.395928320,37.447712000,0.104957660,37.256755200,37.499052800
lf0064,load,64,1024,4,8,kernel,percpu_hash_lookup,17.982784000,17.967206400,0.049243129,17.944428800,18.068723200
lf0064,load,64,1024,4,8,bpftime,percpu_hash_lookup,145.752906240,145.616377600,0.281047163,145.511219200,146.203974400
lf0064,load,64,1024,4,8,kernel,percpu_hash_update,62.344032000,62.346246400,0.014067649,62.322547200,62.361824000
lf0064,load,64,1024,4,8,bpftime,percpu_hash_update,220.679718400,218.894604800,3.927060549,218.612409600,227.690515200
lf0256,load,256,1024,4,8,kernel,hash_lookup,18.939765760,18.940512000,0.023679151,18.906195200,18.969670400
lf0256,load,256,1024,4,8,bpftime,hash_lookup,40.206689280,40.231308800,0.617087785,39.554643200,41.130361600
lf0256,load,256,1024,4,8,kernel,hash_update,85.520771840,85.530534400,0.024365091,85.486393600,85.547494400
lf0256,load,256,1024,4,8,bpftime,hash_update,37.914483200,37.802412800,0.251078258,37.732633600,38.349382400
lf0256,load,256,1024,4,8,kernel,percpu_hash_lookup,19.258753280,19.265452800,0.040584516,19.192345600,19.299251200
lf0256,load,256,1024,4,8,bpftime,percpu_hash_lookup,148.357725440,148.299129600,0.196316213,148.185068800,148.694150400
