environment,metric,case,mean_per_helper,median_per_helper,sample_sd,min,max
kernel,cycles,array_lookup,2.304545967,2.272970900,0.055256533,2.272317400,2.368349600
kernel,cycles,percpu_array_lookup,3.417138567,3.413464200,0.009318734,3.410217150,3.427734350
kernel,cycles,array_update,18.809278100,18.798346950,0.028560611,18.787797600,18.841689750
kernel,cycles,percpu_array_update,24.862061133,24.852565850,0.051147337,24.816326800,24.917290750
kernel,instructions,array_lookup,9.994391100,9.993908050,0.001600079,9.993088200,9.996177050
kernel,instructions,percpu_array_lookup,19.004607467,19.004444200,0.001528255,19.003167400,19.006210800
kernel,instructions,array_update,81.016283400,81.017242850,0.001671395,81.014353450,81.017253900
kernel,instructions,percpu_array_update,82.033861917,82.033498500,0.001442137,82.032636250,82.035451000
bpftime,cycles,array_lookup,22.062819083,22.091286750,0.066396844,21.986935150,22.110235350
bpftime,cycles,percpu_array_lookup,37.246982383,37.240224450,0.075765180,37.174822550,37.325900150
bpftime,cycles,array_update,28.621817333,28.605221700,0.074650192,28.556861550,28.703368750
bpftime,cycles,percpu_array_update,111.171514867,111.188536200,0.036200682,111.129940700,111.196067700
bpftime,instructions,array_lookup,108.037489683,108.038534950,0.015766458,108.021226600,108.052707500
bpftime,instructions,percpu_array_lookup,183.058660900,183.058922250,0.027754898,183.030776250,183.086284200
bpftime,instructions,array_update,147.036709833,147.031749650,0.012713377,147.027224250,147.051155600
bpftime,instructions,percpu_array_update,440.095921700,440.100504000,0.009834369,440.084632400,440.102628700
