environment,run,case,ns_per_invocation
kernel,1,empty,1232.923520000
kernel,1,lookup_control,2431.125120000
kernel,1,update_control,2396.816000000
kernel,1,array_lookup,3823.580160000
kernel,1,array_update,13093.160960000
kernel,1,percpu_array_lookup,4447.148160000
kernel,1,percpu_array_update,16587.809920000
kernel,2,empty,1225.835520000
kernel,2,lookup_control,2424.381440000
kernel,2,update_control,2394.323840000
kernel,2,array_lookup,3814.521600000
kernel,2,array_update,13056.513280000
kernel,2,percpu_array_lookup,4427.756800000
kernel,2,percpu_array_update,16569.583360000
kernel,3,empty,1227.069440000
kernel,3,lookup_control,2424.047360000
kernel,3,update_control,2389.751680000
kernel,3,array_lookup,3816.174720000
kernel,3,array_update,13094.006400000
kernel,3,percpu_array_lookup,4426.960000000
kernel,3,percpu_array_update,16599.591040000
kernel,4,empty,1227.339520000
kernel,4,lookup_control,2423.679360000
kernel,4,update_control,2394.006400000
kernel,4,array_lookup,3846.759680000
kernel,4,array_update,13102.165760000
kernel,4,percpu_array_lookup,4437.594240000
kernel,4,percpu_array_update,16556.310400000
kernel,5,empty,1232.998400000
kernel,5,lookup_control,2427.750400000
kernel,5,update_control,2391.443200000
kernel,5,array_lookup,3808.316800000
kernel,5,array_update,13100.007040000
kernel,5,percpu_array_lookup,4429.475200000
kernel,5,percpu_array_update,16542.503680000
bpftime,1,empty,381.573760000
bpftime,1,lookup_control,1184.093440000
bpftime,1,update_control,381.342080000
bpftime,1,array_lookup,14212.206080000
bpftime,1,array_update,17041.765120000
bpftime,1,percpu_array_lookup,22722.214400000
bpftime,1,percpu_array_update,64773.422720000
bpftime,2,empty,378.648960000
bpftime,2,lookup_control,1180.417280000
bpftime,2,update_control,377.223680000
bpftime,2,array_lookup,14000.694400000
bpftime,2,array_update,16896.185600000
bpftime,2,percpu_array_lookup,22841.278080000
bpftime,2,percpu_array_update,64716.383360000
bpftime,3,empty,381.538560000
bpftime,3,lookup_control,1178.993280000
bpftime,3,update_control,376.232960000
bpftime,3,array_lookup,13974.302080000
bpftime,3,array_update,16958.739840000
bpftime,3,percpu_array_lookup,23091.665280000
bpftime,3,percpu_array_update,64546.760320000
bpftime,4,empty,377.797120000
bpftime,4,lookup_control,1180.535680000
bpftime,4,update_control,378.279680000
bpftime,4,array_lookup,13970.187520000
bpftime,4,array_update,16928.318720000
bpftime,4,percpu_array_lookup,22820.504960000
bpftime,4,percpu_array_update,64989.966720000
bpftime,5,empty,380.318720000
bpftime,5,lookup_control,1181.150080000
bpftime,5,update_control,376.807040000
bpftime,5,array_lookup,13983.756800000
bpftime,5,array_update,16985.166720000
bpftime,5,percpu_array_lookup,23125.278720000
bpftime,5,percpu_array_update,64627.744000000
