environment,metric,run,case,raw_count,count_per_invocation,running_percent
kernel,cycles,1,array_lookup,772274215,7722.742150000,100.00
kernel,cycles,2,array_lookup,772237915,7722.379150000,100.00
kernel,cycles,3,array_lookup,773272955,7732.729550000,100.00
kernel,cycles,1,empty,331332025,3313.320250000,100.00
kernel,cycles,2,empty,330666945,3306.669450000,100.00
kernel,cycles,3,empty,332226988,3322.269880000,100.00
kernel,cycles,1,hash_hit,5013947513,50139.475130000,100.00
kernel,cycles,2,hash_hit,5006893157,50068.931570000,100.00
kernel,cycles,3,hash_hit,5012424160,50124.241600000,100.00
kernel,cycles,1,hash_miss,4989535087,49895.350870000,100.00
kernel,cycles,2,hash_miss,4970003358,49700.033580000,100.00
kernel,cycles,3,hash_miss,5010620424,50106.204240000,100.00
kernel,cycles,1,loop_control,536628232,5366.282320000,100.00
kernel,cycles,2,loop_control,537408335,5374.083350000,100.00
kernel,cycles,3,loop_control,536929544,5369.295440000,100.00
kernel,cycles,1,simple_helper,665214298,6652.142980000,100.00
kernel,cycles,2,simple_helper,664236097,6642.360970000,100.00
kernel,cycles,3,simple_helper,663823830,6638.238300000,100.00
bpftime,cycles,1,array_lookup,2868190432,28681.904320000,100.00
bpftime,cycles,2,array_lookup,2881324257,28813.242570000,100.00
bpftime,cycles,3,array_lookup,2864775253,28647.752530000,100.00
bpftime,cycles,1,empty,661330003,6613.300030000,100.00
bpftime,cycles,2,empty,666117410,6661.174100000,100.00
bpftime,cycles,3,empty,658842812,6588.428120000,100.00
bpftime,cycles,1,hash_hit,10065217701,100652.177010000,100.00
bpftime,cycles,2,hash_hit,10160065282,101600.652820000,100.00
bpftime,cycles,3,hash_hit,10134580738,101345.807380000,100.00
bpftime,cycles,1,hash_miss,32810225923,328102.259230000,100.00
bpftime,cycles,2,hash_miss,32489499930,324894.999300000,100.00
bpftime,cycles,3,hash_miss,32422817800,324228.178000000,100.00
bpftime,cycles,1,loop_control,811554694,8115.546940000,100.00
bpftime,cycles,2,loop_control,797577526,7975.775260000,100.00
bpftime,cycles,3,loop_control,797128933,7971.289330000,100.00
bpftime,cycles,1,simple_helper,1372529914,13725.299140000,100.00
bpftime,cycles,2,simple_helper,1368632022,13686.320220000,100.00
bpftime,cycles,3,simple_helper,1372548929,13725.489290000,100.00
kernel,instructions,1,array_lookup,2528623120,25286.231200000,100.00
kernel,instructions,2,array_lookup,2528669525,25286.695250000,100.00
kernel,instructions,3,array_lookup,2528635163,25286.351630000,100.00
kernel,instructions,1,empty,528152403,5281.524030000,100.00
kernel,instructions,2,empty,528201193,5282.011930000,100.00
kernel,instructions,3,empty,528138657,5281.386570000,100.00
kernel,instructions,1,hash_hit,13782346548,137823.465480000,100.00
kernel,instructions,2,hash_hit,13782507302,137825.073020000,100.00
kernel,instructions,3,hash_hit,13782555962,137825.559620000,100.00
kernel,instructions,1,hash_miss,12454476087,124544.760870000,100.00
kernel,instructions,2,hash_miss,12454546256,124545.462560000,100.00
kernel,instructions,3,hash_miss,12454469921,124544.699210000,100.00
kernel,instructions,1,loop_control,1627316742,16273.167420000,100.00
kernel,instructions,2,loop_control,1627326458,16273.264580000,100.00
kernel,instructions,3,loop_control,1627340326,16273.403260000,100.00
kernel,instructions,1,simple_helper,2329572908,23295.729080000,100.00
kernel,instructions,2,simple_helper,2329547413,23295.474130000,100.00
kernel,instructions,3,simple_helper,2329572581,23295.725810000,100.00
bpftime,instructions,1,array_lookup,12798415809,127984.158090000,100.00
bpftime,instructions,2,array_lookup,12798230404,127982.304040000,100.00
bpftime,instructions,3,array_lookup,12798644081,127986.440810000,100.00
bpftime,instructions,1,empty,1995237940,19952.379400000,100.00
bpftime,instructions,2,empty,1995297452,19952.974520000,100.00
bpftime,instructions,3,empty,1995126765,19951.267650000,100.00
bpftime,instructions,1,hash_hit,38595610312,385956.103120000,100.00
bpftime,instructions,2,hash_hit,38594776924,385947.769240000,100.00
bpftime,instructions,3,hash_hit,38595758829,385957.588290000,100.00
bpftime,instructions,1,hash_miss,112028889917,1120288.899170000,100.00
bpftime,instructions,2,hash_miss,112029032250,1120290.322500000,100.00
bpftime,instructions,3,hash_miss,112028427142,1120284.271420000,100.00
bpftime,instructions,1,loop_control,2395127046,23951.270460000,100.00
bpftime,instructions,2,loop_control,2395079894,23950.798940000,100.00
bpftime,instructions,3,loop_control,2395735755,23957.357550000,100.00
bpftime,instructions,1,simple_helper,5595583758,55955.837580000,100.00
bpftime,instructions,2,simple_helper,5596729160,55967.291600000,100.00
bpftime,instructions,3,simple_helper,5596243253,55962.432530000,100.00
