metric,component,environment_or_gap,mean_per_helper,median_per_helper,sample_sd,min,max
cycles,nonhelper_loop,kernel,2.055800510,2.052962070,0.010486356,2.047025560,2.067413900
cycles,nonhelper_loop,bpftime,1.399903093,1.382861210,0.094976582,1.314601160,1.502246910
cycles,nonhelper_loop,bpftime_minus_kernel,-0.655897417,-0.664164350,0.101302096,-0.752812740,-0.550715160
cycles,simple_helper,kernel,1.274360380,1.268942860,0.009965087,1.268277620,1.285860660
cycles,simple_helper,bpftime,5.691499040,5.710544960,0.074083393,5.609752200,5.754199960
cycles,simple_helper,bpftime_minus_kernel,4.417138660,4.442267340,0.083566135,4.323891540,4.485257100
cycles,array_lookup,kernel,2.356063247,2.356459830,0.007576943,2.348295800,2.363434110
cycles,array_lookup,bpftime,20.693429297,20.676463200,0.136348945,20.566357380,20.837467310
cycles,array_lookup,bpftime_minus_kernel,18.337366050,18.313029090,0.141218632,18.209897550,18.489171510
cycles,hash_hit,kernel,44.740995730,44.754946160,0.040993043,44.694848220,44.773192810
cycles,hash_hit,bpftime,93.178675227,93.374518050,0.569944259,92.536630070,93.624877560
cycles,hash_hit,bpftime_minus_kernel,48.437679497,48.619571890,0.604191942,47.763437260,48.930029340
cycles,hash_miss,kernel,44.530642527,44.529068550,0.205483806,44.325950230,44.736908800
cycles,hash_miss,bpftime,317.720941667,316.919224040,1.989964679,316.256888670,319.986712290
cycles,hash_miss,bpftime_minus_kernel,273.190299140,272.593273810,2.035590485,271.519979870,275.457643740
cycles,hash_miss_minus_hit,kernel,-0.210353203,-0.244124260,0.177851507,-0.368897990,-0.018037360
cycles,hash_miss_minus_hit,bpftime,224.542266440,223.294346480,2.526653020,222.882370620,227.450082220
cycles,hash_miss_minus_hit,bpftime_minus_kernel,224.752619643,223.663244470,2.575884259,222.900407980,227.694206480
cycles,full_hash_hit,kernel,46.796796240,46.801971720,0.032259268,46.762262120,46.826154880
cycles,full_hash_hit,bpftime,94.578578320,94.757379260,0.476180854,94.038876980,94.939478720
cycles,full_hash_hit,bpftime_minus_kernel,47.781782080,47.955407540,0.505145286,47.212722100,48.177216600
instructions,nonhelper_loop,kernel,10.991637577,10.991643390,0.000382053,10.991252650,10.992016690
instructions,nonhelper_loop,bpftime,4.000935127,3.998891060,0.004495909,3.997824420,4.006089900
instructions,nonhelper_loop,bpftime_minus_kernel,-6.990702450,-6.992752330,0.004149627,-6.993428230,-6.985926790
instructions,simple_helper,kernel,7.022364587,7.022322550,0.000179780,7.022209550,7.022561660
instructions,simple_helper,bpftime,32.008711587,32.005074980,0.006743390,32.004567120,32.016492660
instructions,simple_helper,bpftime_minus_kernel,24.986347000,24.982752430,0.006883013,24.982005460,24.994283110
instructions,array_lookup,kernel,9.013147607,9.013063780,0.000251840,9.012948370,9.013430670
instructions,array_lookup,bpftime,104.031158663,104.031505100,0.001925700,104.029083260,104.032887630
instructions,array_lookup,bpftime_minus_kernel,95.018011057,95.018074430,0.001845296,95.016134890,95.019823850
instructions,hash_hit,kernel,121.551420953,121.551808440,0.000987891,121.550298060,121.552156360
instructions,hash_hit,bpftime,362.000677900,362.000230740,0.003950208,361.996970300,362.004832660
instructions,hash_hit,bpftime_minus_kernel,240.449256947,240.448074380,0.004796969,240.445161860,240.454534600
instructions,hash_miss,kernel,108.271695793,108.271593450,0.000459641,108.271295950,108.272197980
instructions,hash_miss,bpftime,1096.334688713,1096.337628710,0.006799541,1096.326913870,1096.339523560
instructions,hash_miss,bpftime_minus_kernel,988.062992920,988.066035260,0.006419439,988.055617920,988.067325580
instructions,hash_miss_minus_hit,kernel,-13.279725160,-13.279610460,0.001082467,-13.280860410,-13.278704610
instructions,hash_miss_minus_hit,bpftime,734.334010813,734.332796050,0.008004498,734.326683130,734.342553260
instructions,hash_miss_minus_hit,bpftime_minus_kernel,747.613735973,747.611500660,0.007562069,747.607543540,747.622163720
instructions,full_hash_hit,kernel,132.543058530,132.543061090,0.001115802,132.541941450,132.544173050
instructions,full_hash_hit,bpftime,366.001613027,366.003723720,0.006045906,365.994794720,366.006320640
instructions,full_hash_hit,bpftime_minus_kernel,233.458554497,233.461782270,0.005909867,233.451733630,233.462147590
