environment,run,order,case,iterations,total_ns,ns_per_invocation
kernel,1,0,empty,100000,123524192,1235.241920000
kernel,1,0,loop_control,100000,243207872,2432.078720000
kernel,1,0,simple_helper,100000,315799744,3157.997440000
kernel,1,0,array_lookup,100000,379496352,3794.963520000
kernel,1,0,hash_hit,100000,2886172832,28861.728320000
kernel,1,0,hash_miss,100000,2781943584,27819.435840000
kernel,2,1,loop_control,100000,243114848,2431.148480000
kernel,2,1,simple_helper,100000,318259104,3182.591040000
kernel,2,1,array_lookup,100000,383001312,3830.013120000
kernel,2,1,hash_hit,100000,2877327904,28773.279040000
kernel,2,1,hash_miss,100000,2751975264,27519.752640000
kernel,2,1,empty,100000,123280544,1232.805440000
kernel,3,2,simple_helper,100000,315784768,3157.847680000
kernel,3,2,array_lookup,100000,379117248,3791.172480000
kernel,3,2,hash_hit,100000,2889712128,28897.121280000
kernel,3,2,hash_miss,100000,2752183808,27521.838080000
kernel,3,2,empty,100000,122764288,1227.642880000
kernel,3,2,loop_control,100000,243202240,2432.022400000
kernel,4,3,array_lookup,100000,380795712,3807.957120000
kernel,4,3,hash_hit,100000,2895951392,28959.513920000
kernel,4,3,hash_miss,100000,2757957696,27579.576960000
kernel,4,3,empty,100000,122592864,1225.928640000
kernel,4,3,loop_control,100000,243025440,2430.254400000
kernel,4,3,simple_helper,100000,315629472,3156.294720000
kernel,5,4,hash_hit,100000,2867214016,28672.140160000
kernel,5,4,hash_miss,100000,2767505280,27675.052800000
kernel,5,4,empty,100000,122799968,1227.999680000
kernel,5,4,loop_control,100000,243231488,2432.314880000
kernel,5,4,simple_helper,100000,315559872,3155.598720000
kernel,5,4,array_lookup,100000,379355328,3793.553280000
kernel,6,5,hash_miss,100000,2765260128,27652.601280000
kernel,6,5,empty,100000,123702144,1237.021440000
kernel,6,5,loop_control,100000,242277568,2422.775680000
kernel,6,5,simple_helper,100000,315686304,3156.863040000
kernel,6,5,array_lookup,100000,379327392,3793.273920000
kernel,6,5,hash_hit,100000,2879635392,28796.353920000
bpftime,1,0,empty,100000,37725984,377.259840000
bpftime,1,0,loop_control,100000,118532736,1185.327360000
bpftime,1,0,simple_helper,100000,449164064,4491.640640000
bpftime,1,0,array_lookup,100000,1318138272,13181.382720000
bpftime,1,0,hash_hit,100000,5520029344,55200.293440000
bpftime,1,0,hash_miss,100000,18378296928,183782.969280000
bpftime,2,1,loop_control,100000,118120192,1181.201920000
bpftime,2,1,simple_helper,100000,450271904,4502.719040000
bpftime,2,1,array_lookup,100000,1323553024,13235.530240000
bpftime,2,1,hash_hit,100000,5485477568,54854.775680000
bpftime,2,1,hash_miss,100000,18476229248,184762.292480000
bpftime,2,1,empty,100000,37970688,379.706880000
bpftime,3,2,simple_helper,100000,449871776,4498.717760000
bpftime,3,2,array_lookup,100000,1406444832,14064.448320000
bpftime,3,2,hash_hit,100000,5544915872,55449.158720000
bpftime,3,2,hash_miss,100000,18348425312,183484.253120000
bpftime,3,2,empty,100000,37723008,377.230080000
bpftime,3,2,loop_control,100000,117982368,1179.823680000
bpftime,4,3,array_lookup,100000,1317162368,13171.623680000
bpftime,4,3,hash_hit,100000,5515346304,55153.463040000
bpftime,4,3,hash_miss,100000,18395888704,183958.887040000
bpftime,4,3,empty,100000,39489984,394.899840000
bpftime,4,3,loop_control,100000,119866464,1198.664640000
bpftime,4,3,simple_helper,100000,453503936,4535.039360000
bpftime,5,4,hash_hit,100000,5477184864,54771.848640000
bpftime,5,4,hash_miss,100000,18504334432,185043.344320000
bpftime,5,4,empty,100000,37956000,379.560000000
bpftime,5,4,loop_control,100000,118178400,1181.784000000
bpftime,5,4,simple_helper,100000,450954432,4509.544320000
bpftime,5,4,array_lookup,100000,1323876832,13238.768320000
bpftime,6,5,hash_miss,100000,18376002560,183760.025600000
bpftime,6,5,empty,100000,38080544,380.805440000
bpftime,6,5,loop_control,100000,118268608,1182.686080000
bpftime,6,5,simple_helper,100000,452713344,4527.133440000
bpftime,6,5,array_lookup,100000,1315680192,13156.801920000
bpftime,6,5,hash_hit,100000,5515166944,55151.669440000
