environment,quantity_type,quantity,mean,median,sample_sd,min,max
kernel,absolute,empty,1231.106666667,1230.402560000,4.548270857,1225.928640000,1237.021440000
kernel,absolute,loop_control,2430.099093333,2431.585440000,3.668390825,2422.775680000,2432.314880000
kernel,absolute,simple_helper,3161.198773333,3157.355360000,10.519661161,3155.598720000,3182.591040000
kernel,absolute,array_lookup,3801.822240000,3794.258400000,15.061682311,3791.172480000,3830.013120000
kernel,absolute,hash_hit,28826.689440000,28829.041120000,101.478179167,28672.140160000,28959.513920000
kernel,absolute,hash_miss,27628.042933333,27616.089120000,113.841551070,27519.752640000,27819.435840000
kernel,derived_ns_per_helper,nonhelper_loop,1.198992427,1.201329120,0.007295412,1.185754240,1.204379520
kernel,derived_ns_per_helper,simple_helper,0.731099680,0.725979520,0.010621724,0.723283840,0.751442560
kernel,derived_ns_per_helper,array_lookup,1.371723147,1.366691520,0.014966928,1.359150080,1.398864640
kernel,derived_ns_per_helper,hash_hit,26.396590347,26.401613920,0.101447676,26.239825280,26.529259520
kernel,derived_ns_per_helper,hash_miss,25.197943840,25.189574080,0.113939669,25.088604160,25.387357120
kernel,derived_ns_per_helper,hash_miss_minus_hit,-1.198646507,-1.198639520,0.164416885,-1.379936960,-0.997087360
kernel,derived_ns_per_helper,full_hash_hit,27.595582773,27.592909440,0.102709457,27.444140480,27.733585280
bpftime,absolute,empty,381.577013333,379.633440000,6.681206362,377.230080000,394.899840000
bpftime,absolute,loop_control,1184.914613333,1182.235040000,6.981438072,1179.823680000,1198.664640000
bpftime,absolute,simple_helper,4510.799093333,4506.131680000,16.936753386,4491.640640000,4535.039360000
bpftime,absolute,array_lookup,13341.425866667,13208.456480000,355.822010768,13156.801920000,14064.448320000
bpftime,absolute,hash_hit,55096.868160000,55152.566240000,247.086238060,54771.848640000,55449.158720000
bpftime,absolute,hash_miss,184131.961973333,183870.928160000,622.502784973,183484.253120000,185043.344320000
bpftime,derived_ns_per_helper,nonhelper_loop,0.803337600,0.802408800,0.002444015,0.801495040,0.808067520
bpftime,derived_ns_per_helper,simple_helper,3.325884480,3.324638720,0.013484182,3.306313280,3.344447360
bpftime,derived_ns_per_helper,array_lookup,12.156511253,12.025191840,0.358664652,11.972959040,12.884624640
bpftime,derived_ns_per_helper,hash_hit,53.911953547,53.961890880,0.246519202,53.590064640,54.269335040
bpftime,derived_ns_per_helper,hash_miss,182.947047360,182.678932160,0.623694499,182.304429440,183.861560320
bpftime,derived_ns_per_helper,hash_miss_minus_hit,129.035093813,128.706890080,0.863637139,128.035094400,130.271495680
bpftime,derived_ns_per_helper,full_hash_hit,54.715291147,54.764713600,0.247304244,54.392288640,55.071928640
