rep,offset,samples,share_of_array_symbol
1,0x0,983,0.030444747
1,0x16,971,0.030073092
1,0x18,1,0.000030971
1,0x21,5,0.000154856
1,0x33,1034,0.032024281
1,0x34,949,0.029391724
1,0x37,1,0.000030971
1,0x3b,2029,0.062840684
1,0x48,1041,0.032241080
1,0x4c,6,0.000185828
1,0x4e,1,0.000030971
1,0x58,2063,0.063893707
1,0x60,3077,0.095298563
1,0x65,1,0.000030971
1,0x6f,1016,0.031466799
1,0x72,1,0.000030971
1,0x76,1009,0.031250000
1,0x7b,499,0.015454658
1,0x7f,5411,0.167585481
1,0x83,973,0.030135035
1,0x88,2,0.000061943
1,0x8c,7180,0.222373637
1,0x8f,3054,0.094586224
1,0x95,978,0.030289891
1,0x97,3,0.000092914
2,0x0,1032,0.031260413
2,0x16,1039,0.031472450
2,0x21,3,0.000090873
2,0x33,1125,0.034077485
2,0x34,1991,0.060309575
2,0x3a,35,0.001060188
2,0x3b,1974,0.059794626
2,0x48,1057,0.032017690
2,0x4c,16,0.000484658
2,0x4e,3,0.000090873
2,0x58,2010,0.060885106
2,0x60,3025,0.091630570
2,0x65,3,0.000090873
2,0x6f,1020,0.030896919
2,0x72,2,0.000060582
2,0x76,1082,0.032774967
2,0x7b,399,0.012086148
2,0x7f,5063,0.153363826
2,0x83,994,0.030109351
2,0x88,13,0.000393784
2,0x8c,7050,0.213552237
2,0x8e,1,0.000030291
2,0x8f,3080,0.093296580
2,0x95,996,0.030169933
3,0x0,1055,0.032509553
3,0x16,1038,0.031985702
3,0x21,4,0.000123259
3,0x33,1048,0.032293849
3,0x34,1054,0.032478738
3,0x3a,14,0.000431406
3,0x3b,2093,0.064495255
3,0x3e,1,0.000030815
3,0x48,1022,0.031492666
3,0x4c,6,0.000184888
3,0x4e,1,0.000030815
3,0x58,2033,0.062646370
3,0x60,3153,0.097158881
3,0x65,1,0.000030815
3,0x6f,1046,0.032232220
3,0x76,1031,0.031769999
3,0x7b,27,0.000831998
3,0x7f,5207,0.160452360
3,0x83,1042,0.032108961
3,0x88,15,0.000462221
3,0x8c,7329,0.225841242
3,0x8f,3204,0.098730433
3,0x95,1026,0.031615925
3,0x97,2,0.000061629
