rep,total_samples,helper_path_samples,jit_real_samples,jit_ctrl_samples,net_attributed_samples,category,samples,share_of_net_attributed,estimated_cycles_per_helper
1,99360,58494,18261,4488,72267,array_map_update_elem_own,32288,0.446787607,31.350029182
1,99360,58494,18261,4488,72267,bpf_obj_memcpy_own,13765,0.190474214,13.365124867
1,99360,58494,18261,4488,72267,memcpy_own,9252,0.128025240,8.983228134
1,99360,58494,18261,4488,72267,bpf_obj_free_fields_own,3070,0.042481354,2.980816080
1,99360,58494,18261,4488,72267,other_callee,119,0.001646671,0.115543034
1,99360,58494,18261,4488,72267,jit_real_minus_control,13773,0.190584914,13.372892465
2,98609,58935,19822,2754,76003,array_map_update_elem_own,33013,0.434364433,30.478324453
2,98609,58935,19822,2754,76003,bpf_obj_memcpy_own,14442,0.190018815,13.333170622
2,98609,58935,19822,2754,76003,memcpy_own,8184,0.107679960,7.555647997
2,98609,58935,19822,2754,76003,bpf_obj_free_fields_own,3162,0.041603621,2.919227635
2,98609,58935,19822,2754,76003,other_callee,134,0.001763088,0.123711734
2,98609,58935,19822,2754,76003,jit_real_minus_control,17068,0.224570083,15.757551321
3,97855,58781,19879,2864,75796,array_map_update_elem_own,32452,0.428149243,30.042219258
3,97855,58781,19879,2864,75796,bpf_obj_memcpy_own,14585,0.192424402,13.501964990
3,97855,58781,19879,2864,75796,memcpy_own,8517,0.112367407,7.884555079
3,97855,58781,19879,2864,75796,bpf_obj_free_fields_own,3093,0.040806903,2.863323806
3,97855,58781,19879,2864,75796,other_callee,134,0.001767903,0.124049593
3,97855,58781,19879,2864,75796,jit_real_minus_control,17015,0.224484142,15.751521036
