value_size,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
8,ctrl,1,20000,50752951,2537.647550
8,real,1,20000,745714335,37285.716750
8,real-minus-control,1,20000,0,34.748069
8,real,2,20000,746346574,37317.328700
8,ctrl,2,20000,50331272,2516.563600
8,real-minus-control,2,20000,0,34.800765
8,ctrl,3,20000,50782482,2539.124100
8,real,3,20000,746948574,37347.428700
8,real-minus-control,3,20000,0,34.808305
8,real,4,20000,744412147,37220.607350
8,ctrl,4,20000,50140849,2507.042450
8,real-minus-control,4,20000,0,34.713565
8,ctrl,5,20000,50927017,2546.350850
8,real,5,20000,747514735,37375.736750
8,real-minus-control,5,20000,0,34.829386
