metric,value_size,control_run_cnt,real_run_cnt,control_per_program,real_per_program,net_per_helper
cycles,8,101000,101000,3117.883603960,18638.846376238,15.520962772
cycles,16,101000,101000,3046.577831683,19204.018415842,16.157440584
cycles,32,101000,101000,3092.467485149,19339.355415842,16.246887931
cycles,64,101000,101000,3123.287287129,21318.226584158,18.194939297
cycles,128,101000,101000,3017.830455446,26784.866148515,23.767035693
cycles,256,101000,101000,3191.264118812,46974.406653465,43.783142535
instructions,8,101000,101000,14732.300762376,83748.684950495,69.016384188
instructions,16,101000,101000,14747.392237624,81761.013198020,67.013620960
instructions,32,101000,101000,14763.455821782,82814.590405941,68.051134584
instructions,64,101000,101000,14794.655386139,86815.770594059,72.021115208
instructions,128,101000,101000,14859.110752475,96876.382089109,82.017271337
instructions,256,101000,101000,15000.425287129,123013.802584158,108.013377297
l1d_loads,8,101000,101000,2284.592891089,22286.171603960,20.001578713
l1d_loads,16,101000,101000,2298.489623762,22298.424405941,19.999934782
l1d_loads,32,101000,101000,2314.188237624,22313.766980198,19.999578743
l1d_loads,64,101000,101000,2347.950049505,26338.341237624,23.990391188
l1d_loads,128,101000,101000,2409.887247525,34408.069940594,31.998182693
l1d_loads,256,101000,101000,2540.082346535,52548.358277228,50.008275931
llc_misses,8,101000,101000,0.041613861,0.113178218,0.000071564
llc_misses,16,101000,101000,0.028990099,0.112267327,0.000083277
llc_misses,32,101000,101000,0.033356436,0.126970297,0.000093614
llc_misses,64,101000,101000,0.030881188,0.132920792,0.000102040
llc_misses,128,101000,101000,0.042633663,0.478712871,0.000436079
llc_misses,256,101000,101000,0.028623762,1.298841584,0.001270218
