value_size,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
64,ctrl,1,20000,43710624,2185.531200
64,real,1,20000,256826688,12841.334400
64,real-minus-control,1,20000,0,10.655803
64,real,2,20000,255867520,12793.376000
64,ctrl,2,20000,43661856,2183.092800
64,real-minus-control,2,20000,0,10.610283
64,ctrl,3,20000,43671680,2183.584000
64,real,3,20000,255930368,12796.518400
64,real-minus-control,3,20000,0,10.612934
64,real,4,20000,256718848,12835.942400
64,ctrl,4,20000,43661760,2183.088000
64,real-minus-control,4,20000,0,10.652854
64,ctrl,5,20000,43689504,2184.475200
64,real,5,20000,255020032,12751.001600
64,real-minus-control,5,20000,0,10.566526
