value_size,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
256,ctrl,1,20000,43730912,2186.545600
256,real,1,20000,548041952,27402.097600
256,real-minus-control,1,20000,0,25.215552
256,real,2,20000,547441824,27372.091200
256,ctrl,2,20000,43755040,2187.752000
256,real-minus-control,2,20000,0,25.184339
256,ctrl,3,20000,43717152,2185.857600
256,real,3,20000,549020960,27451.048000
256,real-minus-control,3,20000,0,25.265190
256,real,4,20000,548732832,27436.641600
256,ctrl,4,20000,44224896,2211.244800
256,real-minus-control,4,20000,0,25.225397
256,ctrl,5,20000,43744256,2187.212800
256,real,5,20000,548909728,27445.486400
256,real-minus-control,5,20000,0,25.258274
