value_size,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
16,ctrl,1,20000,42810240,2140.512000
16,real,1,20000,229337472,11466.873600
16,real-minus-control,1,20000,0,9.326362
16,real,2,20000,229324640,11466.232000
16,ctrl,2,20000,42653216,2132.660800
16,real-minus-control,2,20000,0,9.333571
16,ctrl,3,20000,42788864,2139.443200
16,real,3,20000,229350784,11467.539200
16,real-minus-control,3,20000,0,9.328096
16,real,4,20000,229320736,11466.036800
16,ctrl,4,20000,42918272,2145.913600
16,real-minus-control,4,20000,0,9.320123
16,ctrl,5,20000,42806272,2140.313600
16,real,5,20000,229298048,11464.902400
16,real-minus-control,5,20000,0,9.324589
