value_size,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
64,ctrl,1,20000,43728672,2186.433600
64,real,1,20000,255104128,12755.206400
64,real-minus-control,1,20000,0,10.568773
64,real,2,20000,254751264,12737.563200
64,ctrl,2,20000,43717568,2185.878400
64,real-minus-control,2,20000,0,10.551685
64,ctrl,3,20000,43701536,2185.076800
64,real,3,20000,255336960,12766.848000
64,real-minus-control,3,20000,0,10.581771
64,real,4,20000,255380608,12769.030400
64,ctrl,4,20000,43641728,2182.086400
64,real-minus-control,4,20000,0,10.586944
64,ctrl,5,20000,43646464,2182.323200
64,real,5,20000,255595840,12779.792000
64,real-minus-control,5,20000,0,10.597469
