value_size,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
8,ctrl,1,20000,31275168,1563.758400
8,real,1,20000,210822496,10541.124800
8,real-minus-control,1,20000,0,8.977366
16,ctrl,1,20000,33053344,1652.667200
16,real,1,20000,217248928,10862.446400
16,real-minus-control,1,20000,0,9.209779
32,ctrl,1,20000,31424800,1571.240000
32,real,1,20000,219696544,10984.827200
32,real-minus-control,1,20000,0,9.413587
64,ctrl,1,20000,31816160,1590.808000
64,real,1,20000,239900512,11995.025600
64,real-minus-control,1,20000,0,10.404218
128,ctrl,1,20000,32130080,1606.504000
128,real,1,20000,308747232,15437.361600
128,real-minus-control,1,20000,0,13.830858
256,ctrl,1,20000,31370432,1568.521600
256,real,1,20000,541314880,27065.744000
256,real-minus-control,1,20000,0,25.497222
8,real,2,20000,210797056,10539.852800
8,ctrl,2,20000,31225984,1561.299200
8,real-minus-control,2,20000,0,8.978554
16,real,2,20000,217284832,10864.241600
16,ctrl,2,20000,33094592,1654.729600
16,real-minus-control,2,20000,0,9.209512
32,real,2,20000,219698112,10984.905600
32,ctrl,2,20000,31364704,1568.235200
32,real-minus-control,2,20000,0,9.416670
64,real,2,20000,240217120,12010.856000
64,ctrl,2,20000,31825728,1591.286400
64,real-minus-control,2,20000,0,10.419570
128,real,2,20000,308805248,15440.262400
128,ctrl,2,20000,32135328,1606.766400
128,real-minus-control,2,20000,0,13.833496
256,real,2,20000,540399136,27019.956800
256,ctrl,2,20000,31360448,1568.022400
256,real-minus-control,2,20000,0,25.451934
8,ctrl,3,20000,31235808,1561.790400
8,real,3,20000,210823040,10541.152000
8,real-minus-control,3,20000,0,8.979362
16,ctrl,3,20000,32936128,1646.806400
16,real,3,20000,217267360,10863.368000
16,real-minus-control,3,20000,0,9.216562
32,ctrl,3,20000,31415232,1570.761600
32,real,3,20000,219670720,10983.536000
32,real-minus-control,3,20000,0,9.412774
64,ctrl,3,20000,31796064,1589.803200
64,real,3,20000,240024608,12001.230400
64,real-minus-control,3,20000,0,10.411427
128,ctrl,3,20000,32222816,1611.140800
128,real,3,20000,308743296,15437.164800
128,real-minus-control,3,20000,0,13.826024
256,ctrl,3,20000,31406336,1570.316800
256,real,3,20000,541080544,27054.027200
256,real-minus-control,3,20000,0,25.483710
8,real,4,20000,210773728,10538.686400
8,ctrl,4,20000,31226944,1561.347200
8,real-minus-control,4,20000,0,8.977339
16,real,4,20000,217291936,10864.596800
16,ctrl,4,20000,33034016,1651.700800
16,real-minus-control,4,20000,0,9.212896
32,real,4,20000,219628928,10981.446400
32,ctrl,4,20000,31464160,1573.208000
32,real-minus-control,4,20000,0,9.408238
64,real,4,20000,240115232,12005.761600
64,ctrl,4,20000,31827136,1591.356800
64,real-minus-control,4,20000,0,10.414405
128,real,4,20000,308702528,15435.126400
128,ctrl,4,20000,32087232,1604.361600
128,real-minus-control,4,20000,0,13.830765
256,real,4,20000,540308448,27015.422400
256,ctrl,4,20000,31437056,1571.852800
256,real-minus-control,4,20000,0,25.443570
8,ctrl,5,20000,31284192,1564.209600
8,real,5,20000,210854400,10542.720000
8,real-minus-control,5,20000,0,8.978510
16,ctrl,5,20000,33076096,1653.804800
16,real,5,20000,217291040,10864.552000
16,real-minus-control,5,20000,0,9.210747
32,ctrl,5,20000,31438848,1571.942400
32,real,5,20000,219561920,10978.096000
32,real-minus-control,5,20000,0,9.406154
64,ctrl,5,20000,31801184,1590.059200
64,real,5,20000,240043328,12002.166400
64,real-minus-control,5,20000,0,10.412107
128,ctrl,5,20000,32108800,1605.440000
128,real,5,20000,308813280,15440.664000
128,real-minus-control,5,20000,0,13.835224
256,ctrl,5,20000,31385344,1569.267200
256,real,5,20000,540153952,27007.697600
256,real-minus-control,5,20000,0,25.438430
