metric,value_size,control_run_cnt,real_run_cnt,control_per_program,real_per_program,net_per_helper
cycles,8,101000,101000,3619.262990099,73786.896752475,70.167633762
cycles,16,101000,101000,3646.386564356,72877.336831683,69.230950267
cycles,32,101000,101000,6570.479970297,83337.425554455,76.766945584
cycles,64,101000,101000,3669.397267327,83516.062029703,79.846664762
cycles,128,101000,101000,3714.483158416,86792.960564356,83.078477406
cycles,256,101000,101000,5823.950980198,103593.275049505,97.769324069
instructions,8,101000,101000,13741.705356436,117894.447019802,104.152741663
instructions,16,101000,101000,13752.502287129,119912.708702970,106.160206416
instructions,32,101000,101000,13767.222049505,135453.628049505,121.686406000
instructions,64,101000,101000,13800.175059406,152980.978950495,139.180803891
instructions,128,101000,101000,13868.089336634,173059.960118812,159.191870782
instructions,256,101000,101000,13994.569772277,225217.897673267,211.223327901
l1d_loads,8,101000,101000,194.644584158,25231.985485149,25.037340901
l1d_loads,16,101000,101000,194.030138614,27233.317425743,27.039287287
l1d_loads,32,101000,101000,193.117821782,27236.358475248,27.043240653
l1d_loads,64,101000,101000,194.264396040,32236.786485149,32.042522089
l1d_loads,128,101000,101000,194.384465347,40240.282386139,40.045897921
l1d_loads,256,101000,101000,194.524920792,56249.052059406,56.054527139
llc_misses,8,101000,101000,0.000683168,0.005792079,0.000005109
llc_misses,16,101000,101000,0.000920792,0.012940594,0.000012020
llc_misses,32,101000,101000,0.001801980,0.032742574,0.000030941
llc_misses,64,101000,101000,0.001663366,0.003910891,0.000002248
llc_misses,128,101000,101000,0.001158416,0.008356436,0.000007198
llc_misses,256,101000,101000,0.000851485,0.007881188,0.000007030
