value_size,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
16,ctrl,1,20000,40119973,2005.998650
16,real,1,20000,671077462,33553.873100
16,real-minus-control,1,20000,0,31.547874
16,real,2,20000,671263921,33563.196050
16,ctrl,2,20000,40118748,2005.937400
16,real-minus-control,2,20000,0,31.557259
16,ctrl,3,20000,40105528,2005.276400
16,real,3,20000,671382190,33569.109500
16,real-minus-control,3,20000,0,31.563833
16,real,4,20000,671252943,33562.647150
16,ctrl,4,20000,40113452,2005.672600
16,real-minus-control,4,20000,0,31.556975
16,ctrl,5,20000,40072249,2003.612450
16,real,5,20000,671442242,33572.112100
16,real-minus-control,5,20000,0,31.568500
