value_size,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
16,ctrl,1,20000,40128333,2006.416650
16,real,1,20000,680029342,34001.467100
16,real-minus-control,1,20000,0,31.995050
16,real,2,20000,680029123,34001.456150
16,ctrl,2,20000,40091366,2004.568300
16,real-minus-control,2,20000,0,31.996888
16,ctrl,3,20000,40075401,2003.770050
16,real,3,20000,679689066,33984.453300
16,real-minus-control,3,20000,0,31.980683
16,real,4,20000,680167572,34008.378600
16,ctrl,4,20000,40050508,2002.525400
16,real-minus-control,4,20000,0,32.005853
16,ctrl,5,20000,40004990,2000.249500
16,real,5,20000,679961762,33998.088100
16,real-minus-control,5,20000,0,31.997839
