value_size,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
8,ctrl,1,20000,57711500,2885.575000
8,real,1,20000,670800050,33540.002500
8,real-minus-control,1,20000,0,30.654428
8,real,2,20000,670596389,33529.819450
8,ctrl,2,20000,57678100,2883.905000
8,real-minus-control,2,20000,0,30.645914
8,ctrl,3,20000,57707908,2885.395400
8,real,3,20000,670746258,33537.312900
8,real-minus-control,3,20000,0,30.651917
8,real,4,20000,670654460,33532.723000
8,ctrl,4,20000,57680105,2884.005250
8,real-minus-control,4,20000,0,30.648718
8,ctrl,5,20000,57661617,2883.080850
8,real,5,20000,670405834,33520.291700
8,real-minus-control,5,20000,0,30.637211
