value_size,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
64,ctrl,1,20000,66988707,3349.435350
64,real,1,20000,755983858,37799.192900
64,real-minus-control,1,20000,0,34.449758
64,real,2,20000,756702416,37835.120800
64,ctrl,2,20000,67003418,3350.170900
64,real-minus-control,2,20000,0,34.484950
64,ctrl,3,20000,67003425,3350.171250
64,real,3,20000,756423958,37821.197900
64,real-minus-control,3,20000,0,34.471027
64,real,4,20000,756021640,37801.082000
64,ctrl,4,20000,67085008,3354.250400
64,real-minus-control,4,20000,0,34.446832
64,ctrl,5,20000,66998397,3349.919850
64,real,5,20000,756337889,37816.894450
64,real-minus-control,5,20000,0,34.466975
