value_size,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
8,ctrl,1,20000,28636725,1431.836250
8,real,1,20000,668125064,33406.253200
8,real-minus-control,1,20000,0,31.974417
16,ctrl,1,20000,37604724,1880.236200
16,real,1,20000,694871201,34743.560050
16,real-minus-control,1,20000,0,32.863324
32,ctrl,1,20000,28774196,1438.709800
32,real,1,20000,781501387,39075.069350
32,real-minus-control,1,20000,0,37.636360
64,ctrl,1,20000,46963129,2348.156450
64,real,1,20000,744907852,37245.392600
64,real-minus-control,1,20000,0,34.897236
128,ctrl,1,20000,29684023,1484.201150
128,real,1,20000,810195048,40509.752400
128,real-minus-control,1,20000,0,39.025551
256,ctrl,1,20000,48675227,2433.761350
256,real,1,20000,927870183,46393.509150
256,real-minus-control,1,20000,0,43.959748
8,real,2,20000,668092713,33404.635650
8,ctrl,2,20000,28555382,1427.769100
8,real-minus-control,2,20000,0,31.976867
16,real,2,20000,694908610,34745.430500
16,ctrl,2,20000,37603964,1880.198200
16,real-minus-control,2,20000,0,32.865232
32,real,2,20000,781462361,39073.118050
32,ctrl,2,20000,28839584,1441.979200
32,real-minus-control,2,20000,0,37.631139
64,real,2,20000,744761793,37238.089650
64,ctrl,2,20000,46961596,2348.079800
64,real-minus-control,2,20000,0,34.890010
128,real,2,20000,809517950,40475.897500
128,ctrl,2,20000,29686408,1484.320400
128,real-minus-control,2,20000,0,38.991577
256,real,2,20000,927752086,46387.604300
256,ctrl,2,20000,48698728,2434.936400
256,real-minus-control,2,20000,0,43.952668
8,ctrl,3,20000,28623444,1431.172200
8,real,3,20000,668040539,33402.026950
8,real-minus-control,3,20000,0,31.970855
16,ctrl,3,20000,37611447,1880.572350
16,real,3,20000,694861735,34743.086750
16,real-minus-control,3,20000,0,32.862514
32,ctrl,3,20000,28818503,1440.925150
32,real,3,20000,781424415,39071.220750
32,real-minus-control,3,20000,0,37.630296
64,ctrl,3,20000,46962645,2348.132250
64,real,3,20000,744718363,37235.918150
64,real-minus-control,3,20000,0,34.887786
128,ctrl,3,20000,29726173,1486.308650
128,real,3,20000,811650983,40582.549150
128,real-minus-control,3,20000,0,39.096241
256,ctrl,3,20000,48724123,2436.206150
256,real,3,20000,927810480,46390.524000
256,real-minus-control,3,20000,0,43.954318
8,real,4,20000,668057748,33402.887400
8,ctrl,4,20000,28571017,1428.550850
8,real-minus-control,4,20000,0,31.974337
16,real,4,20000,694836080,34741.804000
16,ctrl,4,20000,37619491,1880.974550
16,real-minus-control,4,20000,0,32.860829
32,real,4,20000,781070064,39053.503200
32,ctrl,4,20000,28841330,1442.066500
32,real-minus-control,4,20000,0,37.611437
64,real,4,20000,744720732,37236.036600
64,ctrl,4,20000,46964891,2348.244550
64,real-minus-control,4,20000,0,34.887792
128,real,4,20000,800320642,40016.032100
128,ctrl,4,20000,29621041,1481.052050
128,real-minus-control,4,20000,0,38.534980
256,real,4,20000,927882159,46394.107950
256,ctrl,4,20000,48728470,2436.423500
256,real-minus-control,4,20000,0,43.957684
8,ctrl,5,20000,28576619,1428.830950
8,real,5,20000,668094684,33404.734200
8,real-minus-control,5,20000,0,31.975903
16,ctrl,5,20000,37605681,1880.284050
16,real,5,20000,694850504,34742.525200
16,real-minus-control,5,20000,0,32.862241
32,ctrl,5,20000,28826129,1441.306450
32,real,5,20000,781350251,39067.512550
32,real-minus-control,5,20000,0,37.626206
64,ctrl,5,20000,46948034,2347.401700
64,real,5,20000,744669604,37233.480200
64,real-minus-control,5,20000,0,34.886078
128,ctrl,5,20000,29642080,1482.104000
128,real,5,20000,791094066,39554.703300
128,real-minus-control,5,20000,0,38.072599
256,ctrl,5,20000,48733988,2436.699400
256,real,5,20000,927919568,46395.978400
256,real-minus-control,5,20000,0,43.959279
