operation,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
array_lookup,control,1,20000,23816480,1190.824000
array_lookup,real,1,20000,51498240,2574.912000
array_update,control,1,20000,19105760,955.288000
array_update,real,1,20000,238548960,11927.448000
hash_lookup,control,1,20000,23828256,1191.412800
hash_lookup,real,1,20000,559025440,27951.272000
hash_update,control,1,20000,19043744,952.187200
hash_update,real,1,20000,1836047520,91802.376000
array_lookup,real,2,20000,51459232,2572.961600
array_lookup,control,2,20000,23809216,1190.460800
array_update,real,2,20000,238499328,11924.966400
array_update,control,2,20000,19167808,958.390400
hash_lookup,real,2,20000,559111552,27955.577600
hash_lookup,control,2,20000,23778400,1188.920000
hash_update,real,2,20000,1834957504,91747.875200
hash_update,control,2,20000,19007840,950.392000
array_lookup,control,3,20000,23823072,1191.153600
array_lookup,real,3,20000,51516480,2575.824000
array_update,control,3,20000,19142304,957.115200
array_update,real,3,20000,237986080,11899.304000
hash_lookup,control,3,20000,23787104,1189.355200
hash_lookup,real,3,20000,558322240,27916.112000
hash_update,control,3,20000,19050912,952.545600
hash_update,real,3,20000,1836542240,91827.112000
array_lookup,real,4,20000,51493216,2574.660800
array_lookup,control,4,20000,23817984,1190.899200
array_update,real,4,20000,237943616,11897.180800
array_update,control,4,20000,19167456,958.372800
hash_lookup,real,4,20000,559635296,27981.764800
hash_lookup,control,4,20000,23784736,1189.236800
hash_update,real,4,20000,1835300608,91765.030400
hash_update,control,4,20000,19050464,952.523200
array_lookup,control,5,20000,23805888,1190.294400
array_lookup,real,5,20000,51513376,2575.668800
array_update,control,5,20000,19142784,957.139200
array_update,real,5,20000,237922272,11896.113600
hash_lookup,control,5,20000,23797440,1189.872000
hash_lookup,real,5,20000,559775872,27988.793600
hash_update,control,5,20000,19074560,953.728000
hash_update,real,5,20000,1834664320,91733.216000
