operation,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
array_lookup,control,1,20000,24664768,1233.238400
array_lookup,real,1,20000,53097984,2654.899200
array_lookup,real-minus-control,1,20000,0,1.421661
array_update,control,1,20000,20981664,1049.083200
array_update,real,1,20000,238096096,11904.804800
array_update,real-minus-control,1,20000,0,10.855722
hash_lookup,control,1,20000,23961344,1198.067200
hash_lookup,real,1,20000,546841184,27342.059200
hash_lookup,real-minus-control,1,20000,0,26.143992
hash_update,control,1,20000,19214560,960.728000
hash_update,real,1,20000,1860951328,93047.566400
hash_update,real-minus-control,1,20000,0,92.086838
array_lookup,real,2,20000,53275904,2663.795200
array_lookup,control,2,20000,24694848,1234.742400
array_lookup,real-minus-control,2,20000,0,1.429053
array_update,real,2,20000,238342624,11917.131200
array_update,control,2,20000,21076320,1053.816000
array_update,real-minus-control,2,20000,0,10.863315
hash_lookup,real,2,20000,540485568,27024.278400
hash_lookup,control,2,20000,23929600,1196.480000
hash_lookup,real-minus-control,2,20000,0,25.827798
hash_update,real,2,20000,1861480512,93074.025600
hash_update,control,2,20000,19171424,958.571200
hash_update,real-minus-control,2,20000,0,92.115454
array_lookup,control,3,20000,24676736,1233.836800
array_lookup,real,3,20000,53162464,2658.123200
array_lookup,real-minus-control,3,20000,0,1.424286
array_update,control,3,20000,21041376,1052.068800
array_update,real,3,20000,238285248,11914.262400
array_update,real-minus-control,3,20000,0,10.862194
hash_lookup,control,3,20000,23894112,1194.705600
hash_lookup,real,3,20000,544353792,27217.689600
hash_lookup,real-minus-control,3,20000,0,26.022984
hash_update,control,3,20000,19160992,958.049600
hash_update,real,3,20000,1861565152,93078.257600
hash_update,real-minus-control,3,20000,0,92.120208
array_lookup,real,4,20000,53213056,2660.652800
array_lookup,control,4,20000,24747168,1237.358400
array_lookup,real-minus-control,4,20000,0,1.423294
array_update,real,4,20000,238781248,11939.062400
array_update,control,4,20000,21018592,1050.929600
array_update,real-minus-control,4,20000,0,10.888133
hash_lookup,real,4,20000,544057216,27202.860800
hash_lookup,control,4,20000,23984096,1199.204800
hash_lookup,real-minus-control,4,20000,0,26.003656
hash_update,real,4,20000,1862093792,93104.689600
hash_update,control,4,20000,19241216,962.060800
hash_update,real-minus-control,4,20000,0,92.142629
array_lookup,control,5,20000,24640352,1232.017600
array_lookup,real,5,20000,53175968,2658.798400
array_lookup,real-minus-control,5,20000,0,1.426781
array_update,control,5,20000,21156832,1057.841600
array_update,real,5,20000,238309824,11915.491200
array_update,real-minus-control,5,20000,0,10.857650
hash_lookup,control,5,20000,23913376,1195.668800
hash_lookup,real,5,20000,545627968,27281.398400
hash_lookup,real-minus-control,5,20000,0,26.085730
hash_update,control,5,20000,19180544,959.027200
hash_update,real,5,20000,1861891200,93094.560000
hash_update,real-minus-control,5,20000,0,92.135533
