operation,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
array_lookup,control,1,20000,23797600,1189.880000
array_lookup,real,1,20000,52821024,2641.051200
array_lookup,real-minus-control,1,20000,0,1.451171
array_update,control,1,20000,17273824,863.691200
array_update,real,1,20000,237913536,11895.676800
array_update,real-minus-control,1,20000,0,11.031986
hash_lookup,control,1,20000,23808512,1190.425600
hash_lookup,real,1,20000,547672064,27383.603200
hash_lookup,real-minus-control,1,20000,0,26.193178
hash_update,control,1,20000,18926080,946.304000
hash_update,real,1,20000,1852463424,92623.171200
hash_update,real-minus-control,1,20000,0,91.676867
array_lookup,real,2,20000,52855520,2642.776000
array_lookup,control,2,20000,23758912,1187.945600
array_lookup,real-minus-control,2,20000,0,1.454830
array_update,real,2,20000,250022240,12501.112000
array_update,control,2,20000,29225536,1461.276800
array_update,real-minus-control,2,20000,0,11.039835
hash_lookup,real,2,20000,548412128,27420.606400
hash_lookup,control,2,20000,23817664,1190.883200
hash_lookup,real-minus-control,2,20000,0,26.229723
hash_update,real,2,20000,1852880640,92644.032000
hash_update,control,2,20000,18944480,947.224000
hash_update,real-minus-control,2,20000,0,91.696808
array_lookup,control,3,20000,23776416,1188.820800
array_lookup,real,3,20000,52793984,2639.699200
array_lookup,real-minus-control,3,20000,0,1.450878
array_update,control,3,20000,29218272,1460.913600
array_update,real,3,20000,250036256,12501.812800
array_update,real-minus-control,3,20000,0,11.040899
hash_lookup,control,3,20000,23809088,1190.454400
hash_lookup,real,3,20000,545360512,27268.025600
hash_lookup,real-minus-control,3,20000,0,26.077571
hash_update,control,3,20000,18841024,942.051200
hash_update,real,3,20000,1851645536,92582.276800
hash_update,real-minus-control,3,20000,0,91.640226
array_lookup,real,4,20000,52798624,2639.931200
array_lookup,control,4,20000,23772544,1188.627200
array_lookup,real-minus-control,4,20000,0,1.451304
array_update,real,4,20000,249617888,12480.894400
array_update,control,4,20000,29178784,1458.939200
array_update,real-minus-control,4,20000,0,11.021955
hash_lookup,real,4,20000,549022528,27451.126400
hash_lookup,control,4,20000,23815872,1190.793600
hash_lookup,real-minus-control,4,20000,0,26.260333
hash_update,real,4,20000,1852323104,92616.155200
hash_update,control,4,20000,18911584,945.579200
hash_update,real-minus-control,4,20000,0,91.670576
array_lookup,control,5,20000,23797984,1189.899200
array_lookup,real,5,20000,52829568,2641.478400
array_lookup,real-minus-control,5,20000,0,1.451579
array_update,control,5,20000,29167840,1458.392000
array_update,real,5,20000,250137984,12506.899200
array_update,real-minus-control,5,20000,0,11.048507
hash_lookup,control,5,20000,23777344,1188.867200
hash_lookup,real,5,20000,547701408,27385.070400
hash_lookup,real-minus-control,5,20000,0,26.196203
hash_update,control,5,20000,18918176,945.908800
hash_update,real,5,20000,1852116608,92605.830400
hash_update,real-minus-control,5,20000,0,91.659922
