operation,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
array_lookup,control,1,20000,23881728,1194.086400
array_lookup,real,1,20000,51488992,2574.449600
array_lookup,real-minus-control,1,20000,0,1.380363
array_update,control,1,20000,19004160,950.208000
array_update,real,1,20000,238032128,11901.606400
array_update,real-minus-control,1,20000,0,10.951398
hash_lookup,control,1,20000,23776352,1188.817600
hash_lookup,real,1,20000,536115456,26805.772800
hash_lookup,real-minus-control,1,20000,0,25.616955
hash_update,control,1,20000,19154912,957.745600
hash_update,real,1,20000,1850019392,92500.969600
hash_update,real-minus-control,1,20000,0,91.543224
array_lookup,real,2,20000,51490944,2574.547200
array_lookup,control,2,20000,23802880,1190.144000
array_lookup,real-minus-control,2,20000,0,1.384403
array_update,real,2,20000,249898912,12494.945600
array_update,control,2,20000,31926688,1596.334400
array_update,real-minus-control,2,20000,0,10.898611
hash_lookup,real,2,20000,535981408,26799.070400
hash_lookup,control,2,20000,23782560,1189.128000
hash_lookup,real-minus-control,2,20000,0,25.609942
hash_update,real,2,20000,1848800864,92440.043200
hash_update,control,2,20000,19344768,967.238400
hash_update,real-minus-control,2,20000,0,91.472805
array_lookup,control,3,20000,23802592,1190.129600
array_lookup,real,3,20000,51462176,2573.108800
array_lookup,real-minus-control,3,20000,0,1.382979
array_update,control,3,20000,32865728,1643.286400
array_update,real,3,20000,250897696,12544.884800
array_update,real-minus-control,3,20000,0,10.901598
hash_lookup,control,3,20000,23791456,1189.572800
hash_lookup,real,3,20000,538592608,26929.630400
hash_lookup,real-minus-control,3,20000,0,25.740058
hash_update,control,3,20000,19266944,963.347200
hash_update,real,3,20000,1849555072,92477.753600
hash_update,real-minus-control,3,20000,0,91.514406
array_lookup,real,4,20000,51505760,2575.288000
array_lookup,control,4,20000,23784864,1189.243200
array_lookup,real-minus-control,4,20000,0,1.386045
array_update,real,4,20000,250171136,12508.556800
array_update,control,4,20000,31717152,1585.857600
array_update,real-minus-control,4,20000,0,10.922699
hash_lookup,real,4,20000,537066624,26853.331200
hash_lookup,control,4,20000,23794816,1189.740800
hash_lookup,real-minus-control,4,20000,0,25.663590
hash_update,real,4,20000,1848280224,92414.011200
hash_update,control,4,20000,19290688,964.534400
hash_update,real-minus-control,4,20000,0,91.449477
array_lookup,control,5,20000,23786528,1189.326400
array_lookup,real,5,20000,51479424,2573.971200
array_lookup,real-minus-control,5,20000,0,1.384645
array_update,control,5,20000,32632480,1631.624000
array_update,real,5,20000,250341216,12517.060800
array_update,real-minus-control,5,20000,0,10.885437
hash_lookup,control,5,20000,23802880,1190.144000
hash_lookup,real,5,20000,537054784,26852.739200
hash_lookup,real-minus-control,5,20000,0,25.662595
hash_update,control,5,20000,19301472,965.073600
hash_update,real,5,20000,1848950112,92447.505600
hash_update,real-minus-control,5,20000,0,91.482432
