operation,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
array_lookup,control,1,20000,23986272,1199.313600
array_lookup,real,1,20000,51514624,2575.731200
array_lookup,real-minus-control,1,20000,0,1.376418
array_update,control,1,20000,18773600,938.680000
array_update,real,1,20000,236780672,11839.033600
array_update,real-minus-control,1,20000,0,10.900354
hash_lookup,control,1,20000,23858048,1192.902400
hash_lookup,real,1,20000,551758944,27587.947200
hash_lookup,real-minus-control,1,20000,0,26.395045
hash_update,control,1,20000,18955392,947.769600
hash_update,real,1,20000,1848982144,92449.107200
hash_update,real-minus-control,1,20000,0,91.501338
array_lookup,real,2,20000,51481888,2574.094400
array_lookup,control,2,20000,23770016,1188.500800
array_lookup,real-minus-control,2,20000,0,1.385594
array_update,real,2,20000,249196224,12459.811200
array_update,control,2,20000,30599616,1529.980800
array_update,real-minus-control,2,20000,0,10.929830
hash_lookup,real,2,20000,554695136,27734.756800
hash_lookup,control,2,20000,23807648,1190.382400
hash_lookup,real-minus-control,2,20000,0,26.544374
hash_update,real,2,20000,1850604864,92530.243200
hash_update,control,2,20000,18994592,949.729600
hash_update,real-minus-control,2,20000,0,91.580514
array_lookup,control,3,20000,23788608,1189.430400
array_lookup,real,3,20000,51517312,2575.865600
array_lookup,real-minus-control,3,20000,0,1.386435
array_update,control,3,20000,30677376,1533.868800
array_update,real,3,20000,248795456,12439.772800
array_update,real-minus-control,3,20000,0,10.905904
hash_lookup,control,3,20000,23817472,1190.873600
hash_lookup,real,3,20000,553148288,27657.414400
hash_lookup,real-minus-control,3,20000,0,26.466541
hash_update,control,3,20000,18979008,948.950400
hash_update,real,3,20000,1850776992,92538.849600
hash_update,real-minus-control,3,20000,0,91.589899
array_lookup,real,4,20000,51521280,2576.064000
array_lookup,control,4,20000,23811360,1190.568000
array_lookup,real-minus-control,4,20000,0,1.385496
array_update,real,4,20000,249702080,12485.104000
array_update,control,4,20000,31011168,1550.558400
array_update,real-minus-control,4,20000,0,10.934546
hash_lookup,real,4,20000,552516608,27625.830400
hash_lookup,control,4,20000,23820320,1191.016000
hash_lookup,real-minus-control,4,20000,0,26.434814
hash_update,real,4,20000,1850971232,92548.561600
hash_update,control,4,20000,18981664,949.083200
hash_update,real-minus-control,4,20000,0,91.599478
array_lookup,control,5,20000,23777664,1188.883200
array_lookup,real,5,20000,51517760,2575.888000
array_lookup,real-minus-control,5,20000,0,1.387005
array_update,control,5,20000,30768992,1538.449600
array_update,real,5,20000,249154432,12457.721600
array_update,real-minus-control,5,20000,0,10.919272
hash_lookup,control,5,20000,23816480,1190.824000
hash_lookup,real,5,20000,551908192,27595.409600
hash_lookup,real-minus-control,5,20000,0,26.404586
hash_update,control,5,20000,18975936,948.796800
hash_update,real,5,20000,1851930208,92596.510400
hash_update,real-minus-control,5,20000,0,91.647714
