operation,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
array_lookup,control,1,20000,24204544,1210.227200
array_lookup,real,1,20000,52854080,2642.704000
array_lookup,real-minus-control,1,20000,0,1.432477
array_update,control,1,20000,18728960,936.448000
array_update,real,1,20000,238193632,11909.681600
array_update,real-minus-control,1,20000,0,10.973234
hash_lookup,control,1,20000,23937376,1196.868800
hash_lookup,real,1,20000,546784608,27339.230400
hash_lookup,real-minus-control,1,20000,0,26.142362
hash_update,control,1,20000,18744896,937.244800
hash_update,real,1,20000,1872377184,93618.859200
hash_update,real-minus-control,1,20000,0,92.681614
array_lookup,real,2,20000,52846400,2642.320000
array_lookup,control,2,20000,24105792,1205.289600
array_lookup,real-minus-control,2,20000,0,1.437030
array_update,real,2,20000,250182080,12509.104000
array_update,control,2,20000,30620704,1531.035200
array_update,real-minus-control,2,20000,0,10.978069
hash_lookup,real,2,20000,545311616,27265.580800
hash_lookup,control,2,20000,23952544,1197.627200
hash_lookup,real-minus-control,2,20000,0,26.067954
hash_update,real,2,20000,1871761248,93588.062400
hash_update,control,2,20000,18761184,938.059200
hash_update,real-minus-control,2,20000,0,92.650003
array_lookup,control,3,20000,24106752,1205.337600
array_lookup,real,3,20000,52826592,2641.329600
array_lookup,real-minus-control,3,20000,0,1.435992
array_update,control,3,20000,30637600,1531.880000
array_update,real,3,20000,250233824,12511.691200
array_update,real-minus-control,3,20000,0,10.979811
hash_lookup,control,3,20000,23932736,1196.636800
hash_lookup,real,3,20000,547429280,27371.464000
hash_lookup,real-minus-control,3,20000,0,26.174827
hash_update,control,3,20000,18740160,937.008000
hash_update,real,3,20000,1871181184,93559.059200
hash_update,real-minus-control,3,20000,0,92.622051
array_lookup,real,4,20000,52833440,2641.672000
array_lookup,control,4,20000,24112832,1205.641600
array_lookup,real-minus-control,4,20000,0,1.436030
array_update,real,4,20000,250121536,12506.076800
array_update,control,4,20000,30666144,1533.307200
array_update,real-minus-control,4,20000,0,10.972770
hash_lookup,real,4,20000,549360512,27468.025600
hash_lookup,control,4,20000,23926784,1196.339200
hash_lookup,real-minus-control,4,20000,0,26.271686
hash_update,real,4,20000,1871225216,93561.260800
hash_update,control,4,20000,18725408,936.270400
hash_update,real-minus-control,4,20000,0,92.624990
array_lookup,control,5,20000,24119584,1205.979200
array_lookup,real,5,20000,52856608,2642.830400
array_lookup,real-minus-control,5,20000,0,1.436851
array_update,control,5,20000,31054816,1552.740800
array_update,real,5,20000,249716736,12485.836800
array_update,real-minus-control,5,20000,0,10.933096
hash_lookup,control,5,20000,23930336,1196.516800
hash_lookup,real,5,20000,549810368,27490.518400
hash_lookup,real-minus-control,5,20000,0,26.294002
hash_update,control,5,20000,18744192,937.209600
hash_update,real,5,20000,1871561856,93578.092800
hash_update,real-minus-control,5,20000,0,92.640883
