operation,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
array_lookup,control,1,20000,16350178,817.508900
array_lookup,real,1,20000,25861054,1293.052700
array_lookup,real-minus-control,1,20000,0,0.475544
array_update,control,1,20000,10742766,537.138300
array_update,real,1,20000,388684114,19434.205700
array_update,real-minus-control,1,20000,0,18.897067
hash_lookup,control,1,20000,15663766,783.188300
hash_lookup,real,1,20000,546446290,27322.314500
hash_lookup,real-minus-control,1,20000,0,26.539126
hash_update,control,1,20000,11048730,552.436500
hash_update,real,1,20000,1636473398,81823.669900
hash_update,real-minus-control,1,20000,0,81.271233
array_lookup,real,2,20000,26773220,1338.661000
array_lookup,control,2,20000,16155690,807.784500
array_lookup,real-minus-control,2,20000,0,0.530877
array_update,real,2,20000,388695015,19434.750750
array_update,control,2,20000,12737860,636.893000
array_update,real-minus-control,2,20000,0,18.797858
hash_lookup,real,2,20000,527189906,26359.495300
hash_lookup,control,2,20000,16272787,813.639350
hash_lookup,real-minus-control,2,20000,0,25.545856
hash_update,real,2,20000,1485836711,74291.835550
hash_update,control,2,20000,10787149,539.357450
hash_update,real-minus-control,2,20000,0,73.752478
array_lookup,control,3,20000,15665873,783.293650
array_lookup,real,3,20000,26581589,1329.079450
array_lookup,real-minus-control,3,20000,0,0.545786
array_update,control,3,20000,10868017,543.400850
array_update,real,3,20000,387644789,19382.239450
array_update,real-minus-control,3,20000,0,18.838839
hash_lookup,control,3,20000,16179621,808.981050
hash_lookup,real,3,20000,535766306,26788.315300
hash_lookup,real-minus-control,3,20000,0,25.979334
hash_update,control,3,20000,11116236,555.811800
hash_update,real,3,20000,1432301640,71615.082000
hash_update,real-minus-control,3,20000,0,71.059270
array_lookup,real,4,20000,25965537,1298.276850
array_lookup,control,4,20000,16008793,800.439650
array_lookup,real-minus-control,4,20000,0,0.497837
array_update,real,4,20000,388960598,19448.029900
array_update,control,4,20000,10819713,540.985650
array_update,real-minus-control,4,20000,0,18.907044
hash_lookup,real,4,20000,529393387,26469.669350
hash_lookup,control,4,20000,16331251,816.562550
hash_lookup,real-minus-control,4,20000,0,25.653107
hash_update,real,4,20000,1646226229,82311.311450
hash_update,control,4,20000,11000971,550.048550
hash_update,real-minus-control,4,20000,0,81.761263
array_lookup,control,5,20000,16030335,801.516750
array_lookup,real,5,20000,26565127,1328.256350
array_lookup,real-minus-control,5,20000,0,0.526740
array_update,control,5,20000,10881062,544.053100
array_update,real,5,20000,381188988,19059.449400
array_update,real-minus-control,5,20000,0,18.515396
hash_lookup,control,5,20000,15936043,796.802150
hash_lookup,real,5,20000,533577303,26678.865150
hash_lookup,real-minus-control,5,20000,0,25.882063
hash_update,control,5,20000,10767494,538.374700
hash_update,real,5,20000,1453085731,72654.286550
hash_update,real-minus-control,5,20000,0,72.115912
