ip,samples,percent
ffffffffb9100b60,181,1.836
ffffffffb9100b76,174,1.765
ffffffffb9100b81,2,0.020
ffffffffb9100b93,200,2.029
ffffffffb9100b94,393,3.987
ffffffffb9100b9a,8,0.081
ffffffffb9100b9b,404,4.099
ffffffffb9100ba8,182,1.846
ffffffffb9100bac,1,0.010
ffffffffb9100bae,1,0.010
ffffffffb9100bb8,381,3.865
ffffffffb9100bc0,592,6.006
ffffffffb9100bcf,168,1.704
ffffffffb9100bd6,185,1.877
ffffffffb9100bdb,3737,37.912
ffffffffb9100bdf,951,9.648
ffffffffb9100be3,178,1.806
ffffffffb9100bec,1354,13.736
ffffffffb9100bef,572,5.803
ffffffffb9100bf5,193,1.958
