operation,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
array_lookup,control,1,20000,28945284,1447.264200
array_lookup,real,1,20000,38536492,1926.824600
array_lookup,real-minus-control,1,20000,0,0.479560
array_update,control,1,20000,19839042,991.952100
array_update,real,1,20000,705458309,35272.915450
array_update,real-minus-control,1,20000,0,34.280963
hash_lookup,control,1,20000,19912315,995.615750
hash_lookup,real,1,20000,1010821394,50541.069700
hash_lookup,real-minus-control,1,20000,0,49.545454
hash_update,control,1,20000,19794373,989.718650
hash_update,real,1,20000,2613050508,130652.525400
hash_update,real-minus-control,1,20000,0,129.662807
array_lookup,real,2,20000,38689869,1934.493450
array_lookup,control,2,20000,29077557,1453.877850
array_lookup,real-minus-control,2,20000,0,0.480616
array_update,real,2,20000,705205187,35260.259350
array_update,control,2,20000,19737979,986.898950
array_update,real-minus-control,2,20000,0,34.273360
hash_lookup,real,2,20000,1010799825,50539.991250
hash_lookup,control,2,20000,19933071,996.653550
hash_lookup,real-minus-control,2,20000,0,49.543338
hash_update,real,2,20000,2612955135,130647.756750
hash_update,control,2,20000,19825070,991.253500
hash_update,real-minus-control,2,20000,0,129.656503
array_lookup,control,3,20000,28939512,1446.975600
array_lookup,real,3,20000,38998203,1949.910150
array_lookup,real-minus-control,3,20000,0,0.502935
array_update,control,3,20000,19829749,991.487450
array_update,real,3,20000,705084975,35254.248750
array_update,real-minus-control,3,20000,0,34.262761
hash_lookup,control,3,20000,19932553,996.627650
hash_lookup,real,3,20000,1012108207,50605.410350
hash_lookup,real-minus-control,3,20000,0,49.608783
hash_update,control,3,20000,19924239,996.211950
hash_update,real,3,20000,2613545663,130677.283150
hash_update,real-minus-control,3,20000,0,129.681071
array_lookup,real,4,20000,39158094,1957.904700
array_lookup,control,4,20000,28959770,1447.988500
array_lookup,real-minus-control,4,20000,0,0.509916
array_update,real,4,20000,705085335,35254.266750
array_update,control,4,20000,19998431,999.921550
array_update,real-minus-control,4,20000,0,34.254345
hash_lookup,real,4,20000,1014005239,50700.261950
hash_lookup,control,4,20000,19790260,989.513000
hash_lookup,real-minus-control,4,20000,0,49.710749
hash_update,real,4,20000,2615601506,130780.075300
hash_update,control,4,20000,19824867,991.243350
hash_update,real-minus-control,4,20000,0,129.788832
array_lookup,control,5,20000,29063826,1453.191300
array_lookup,real,5,20000,38860131,1943.006550
array_lookup,real-minus-control,5,20000,0,0.489815
array_update,control,5,20000,19940145,997.007250
array_update,real,5,20000,705415584,35270.779200
array_update,real-minus-control,5,20000,0,34.273772
hash_lookup,control,5,20000,19942880,997.144000
hash_lookup,real,5,20000,1010036547,50501.827350
hash_lookup,real-minus-control,5,20000,0,49.504683
hash_update,control,5,20000,19839934,991.996700
hash_update,real,5,20000,2614822129,130741.106450
hash_update,real-minus-control,5,20000,0,129.749110
