operation,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
array_lookup,control,1,20000,19434533,971.726650
array_lookup,real,1,20000,37974950,1898.747500
array_lookup,real-minus-control,1,20000,0,0.927021
array_update,control,1,20000,28449658,1422.482900
array_update,real,1,20000,686256653,34312.832650
array_update,real-minus-control,1,20000,0,32.890350
hash_lookup,control,1,20000,19496035,974.801750
hash_lookup,real,1,20000,976094898,48804.744900
hash_lookup,real-minus-control,1,20000,0,47.829943
hash_update,control,1,20000,28400426,1420.021300
hash_update,real,1,20000,2598171158,129908.557900
hash_update,real-minus-control,1,20000,0,128.488537
array_lookup,real,2,20000,37934787,1896.739350
array_lookup,control,2,20000,19447811,972.390550
array_lookup,real-minus-control,2,20000,0,0.924349
array_update,real,2,20000,670815194,33540.759700
array_update,control,2,20000,39570750,1978.537500
array_update,real-minus-control,2,20000,0,31.562222
hash_lookup,real,2,20000,973522492,48676.124600
hash_lookup,control,2,20000,19433736,971.686800
hash_lookup,real-minus-control,2,20000,0,47.704438
hash_update,real,2,20000,2593142047,129657.102350
hash_update,control,2,20000,28476123,1423.806150
hash_update,real-minus-control,2,20000,0,128.233296
array_lookup,control,3,20000,19476637,973.831850
array_lookup,real,3,20000,37960812,1898.040600
array_lookup,real-minus-control,3,20000,0,0.924209
array_update,control,3,20000,39566737,1978.336850
array_update,real,3,20000,670831623,33541.581150
array_update,real-minus-control,3,20000,0,31.563244
hash_lookup,control,3,20000,19446964,972.348200
hash_lookup,real,3,20000,968098594,48404.929700
hash_lookup,real-minus-control,3,20000,0,47.432581
hash_update,control,3,20000,28402858,1420.142900
hash_update,real,3,20000,2593236362,129661.818100
hash_update,real-minus-control,3,20000,0,128.241675
array_lookup,real,4,20000,37969867,1898.493350
array_lookup,control,4,20000,19444474,972.223700
array_lookup,real-minus-control,4,20000,0,0.926270
array_update,real,4,20000,671030567,33551.528350
array_update,control,4,20000,39589989,1979.499450
array_update,real-minus-control,4,20000,0,31.572029
hash_lookup,real,4,20000,970872437,48543.621850
hash_lookup,control,4,20000,19442715,972.135750
hash_lookup,real-minus-control,4,20000,0,47.571486
hash_update,real,4,20000,2594096233,129704.811650
hash_update,control,4,20000,28404547,1420.227350
hash_update,real-minus-control,4,20000,0,128.284584
array_lookup,control,5,20000,19462255,973.112750
array_lookup,real,5,20000,37983668,1899.183400
array_lookup,real-minus-control,5,20000,0,0.926071
array_update,control,5,20000,39568649,1978.432450
array_update,real,5,20000,670800807,33540.040350
array_update,real-minus-control,5,20000,0,31.561608
hash_lookup,control,5,20000,19482846,974.142300
hash_lookup,real,5,20000,970067854,48503.392700
hash_lookup,real-minus-control,5,20000,0,47.529250
hash_update,control,5,20000,28391720,1419.586000
hash_update,real,5,20000,2589847665,129492.383250
hash_update,real-minus-control,5,20000,0,128.072797
