operation,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
array_lookup,control,1,20000,19367684,968.384200
array_lookup,real,1,20000,38008917,1900.445850
array_lookup,real-minus-control,1,20000,0,0.932062
array_update,control,1,20000,19372791,968.639550
array_update,real,1,20000,672855192,33642.759600
array_update,real-minus-control,1,20000,0,32.674120
hash_lookup,control,1,20000,28548726,1427.436300
hash_lookup,real,1,20000,966567600,48328.380000
hash_lookup,real-minus-control,1,20000,0,46.900944
hash_update,control,1,20000,19462815,973.140750
hash_update,real,1,20000,2529192006,126459.600300
hash_update,real-minus-control,1,20000,0,125.486460
array_lookup,real,2,20000,38065668,1903.283400
array_lookup,control,2,20000,19372064,968.603200
array_lookup,real-minus-control,2,20000,0,0.934680
array_update,real,2,20000,671006270,33550.313500
array_update,control,2,20000,30644805,1532.240250
array_update,real-minus-control,2,20000,0,32.018073
hash_lookup,real,2,20000,963036886,48151.844300
hash_lookup,control,2,20000,28395445,1419.772250
hash_lookup,real-minus-control,2,20000,0,46.732072
hash_update,real,2,20000,2521418779,126070.938950
hash_update,control,2,20000,19448991,972.449550
hash_update,real-minus-control,2,20000,0,125.098489
array_lookup,control,3,20000,19356461,967.823050
array_lookup,real,3,20000,38031018,1901.550900
array_lookup,real-minus-control,3,20000,0,0.933728
array_update,control,3,20000,30688735,1534.436750
array_update,real,3,20000,670696306,33534.815300
array_update,real-minus-control,3,20000,0,32.000379
hash_lookup,control,3,20000,28460267,1423.013350
hash_lookup,real,3,20000,960354335,48017.716750
hash_lookup,real-minus-control,3,20000,0,46.594703
hash_update,control,3,20000,19465291,973.264550
hash_update,real,3,20000,2522402721,126120.136050
hash_update,real-minus-control,3,20000,0,125.146871
array_lookup,real,4,20000,38063344,1903.167200
array_lookup,control,4,20000,19381377,969.068850
array_lookup,real-minus-control,4,20000,0,0.934098
array_update,real,4,20000,670964550,33548.227500
array_update,control,4,20000,30699488,1534.974400
array_update,real-minus-control,4,20000,0,32.013253
hash_lookup,real,4,20000,963106383,48155.319150
hash_lookup,control,4,20000,28412127,1420.606350
hash_lookup,real-minus-control,4,20000,0,46.734713
hash_update,real,4,20000,2521752391,126087.619550
hash_update,control,4,20000,19421978,971.098900
hash_update,real-minus-control,4,20000,0,125.116521
array_lookup,control,5,20000,19355712,967.785600
array_lookup,real,5,20000,38018167,1900.908350
array_lookup,real-minus-control,5,20000,0,0.933123
array_update,control,5,20000,30718063,1535.903150
array_update,real,5,20000,670781023,33539.051150
array_update,real-minus-control,5,20000,0,32.003148
hash_lookup,control,5,20000,28425656,1421.282800
hash_lookup,real,5,20000,961062290,48053.114500
hash_lookup,real-minus-control,5,20000,0,46.631832
hash_update,control,5,20000,19467315,973.365750
hash_update,real,5,20000,2522364600,126118.230000
hash_update,real-minus-control,5,20000,0,125.144864
