operation,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
array_lookup,control,1,20000,19420811,971.040550
array_lookup,real,1,20000,38013518,1900.675900
array_lookup,real-minus-control,1,20000,0,0.929635
array_update,control,1,20000,19471722,973.586100
array_update,real,1,20000,677168087,33858.404350
array_update,real-minus-control,1,20000,0,32.884818
hash_lookup,control,1,20000,19505291,975.264550
hash_lookup,real,1,20000,987058185,49352.909250
hash_lookup,real-minus-control,1,20000,0,48.377645
hash_update,control,1,20000,19456563,972.828150
hash_update,real,1,20000,2585615033,129280.751650
hash_update,real-minus-control,1,20000,0,128.307924
array_lookup,real,2,20000,38026021,1901.301050
array_lookup,control,2,20000,19446608,972.330400
array_lookup,real-minus-control,2,20000,0,0.928971
array_update,real,2,20000,688878517,34443.925850
array_update,control,2,20000,30801496,1540.074800
array_update,real-minus-control,2,20000,0,32.903851
hash_lookup,real,2,20000,984271081,49213.554050
hash_lookup,control,2,20000,19426291,971.314550
hash_lookup,real-minus-control,2,20000,0,48.242239
hash_update,real,2,20000,2581220287,129061.014350
hash_update,control,2,20000,19431408,971.570400
hash_update,real-minus-control,2,20000,0,128.089444
array_lookup,control,3,20000,19376465,968.823250
array_lookup,real,3,20000,38018440,1900.922000
array_lookup,real-minus-control,3,20000,0,0.932099
array_update,control,3,20000,30811266,1540.563300
array_update,real,3,20000,689070578,34453.528900
array_update,real-minus-control,3,20000,0,32.912966
hash_lookup,control,3,20000,19425971,971.298550
hash_lookup,real,3,20000,984293198,49214.659900
hash_lookup,real-minus-control,3,20000,0,48.243361
hash_update,control,3,20000,19429549,971.477450
hash_update,real,3,20000,2580436411,129021.820550
hash_update,real-minus-control,3,20000,0,128.050343
array_lookup,real,4,20000,38122476,1906.123800
array_lookup,control,4,20000,19436238,971.811900
array_lookup,real-minus-control,4,20000,0,0.934312
array_update,real,4,20000,688840453,34442.022650
array_update,control,4,20000,30869564,1543.478200
array_update,real-minus-control,4,20000,0,32.898544
hash_lookup,real,4,20000,984975131,49248.756550
hash_lookup,control,4,20000,19497096,974.854800
hash_lookup,real-minus-control,4,20000,0,48.273902
hash_update,real,4,20000,2577315668,128865.783400
hash_update,control,4,20000,19425474,971.273700
hash_update,real-minus-control,4,20000,0,127.894510
array_lookup,control,5,20000,19419612,970.980600
array_lookup,real,5,20000,38000327,1900.016350
array_lookup,real-minus-control,5,20000,0,0.929036
array_update,control,5,20000,30916059,1545.802950
array_update,real,5,20000,689003495,34450.174750
array_update,real-minus-control,5,20000,0,32.904372
hash_lookup,control,5,20000,19453472,972.673600
hash_lookup,real,5,20000,986151591,49307.579550
hash_lookup,real-minus-control,5,20000,0,48.334906
hash_update,control,5,20000,19447836,972.391800
hash_update,real,5,20000,2581571934,129078.596700
hash_update,real-minus-control,5,20000,0,128.106205
