operation,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
array_lookup,control,1,20000,28420535,1421.026750
array_lookup,real,1,20000,55952444,2797.622200
array_lookup,real-minus-control,1,20000,0,1.376595
array_update,control,1,20000,19464945,973.247250
array_update,real,1,20000,686757824,34337.891200
array_update,real-minus-control,1,20000,0,33.364644
hash_lookup,control,1,20000,19431664,971.583200
hash_lookup,real,1,20000,994778448,49738.922400
hash_lookup,real-minus-control,1,20000,0,48.767339
hash_update,control,1,20000,28436955,1421.847750
hash_update,real,1,20000,2596103179,129805.158950
hash_update,real-minus-control,1,20000,0,128.383311
array_lookup,real,2,20000,55987200,2799.360000
array_lookup,control,2,20000,28427899,1421.394950
array_lookup,real-minus-control,2,20000,0,1.377965
array_update,real,2,20000,688954711,34447.735550
array_update,control,2,20000,30712213,1535.610650
array_update,real-minus-control,2,20000,0,32.912125
hash_lookup,real,2,20000,992608815,49630.440750
hash_lookup,control,2,20000,19382993,969.149650
hash_lookup,real-minus-control,2,20000,0,48.661291
hash_update,real,2,20000,2591040355,129552.017750
hash_update,control,2,20000,28395007,1419.750350
hash_update,real-minus-control,2,20000,0,128.132267
array_lookup,control,3,20000,28449245,1422.462250
array_lookup,real,3,20000,55967737,2798.386850
array_lookup,real-minus-control,3,20000,0,1.375925
array_update,control,3,20000,30699739,1534.986950
array_update,real,3,20000,688851203,34442.560150
array_update,real-minus-control,3,20000,0,32.907573
hash_lookup,control,3,20000,19404759,970.237950
hash_lookup,real,3,20000,989616042,49480.802100
hash_lookup,real-minus-control,3,20000,0,48.510564
hash_update,control,3,20000,28400724,1420.036200
hash_update,real,3,20000,2591595322,129579.766100
hash_update,real-minus-control,3,20000,0,128.159730
array_lookup,real,4,20000,55974890,2798.744500
array_lookup,control,4,20000,28466057,1423.302850
array_lookup,real-minus-control,4,20000,0,1.375442
array_update,real,4,20000,688905863,34445.293150
array_update,control,4,20000,30747523,1537.376150
array_update,real-minus-control,4,20000,0,32.907917
hash_lookup,real,4,20000,989120022,49456.001100
hash_lookup,control,4,20000,19399397,969.969850
hash_lookup,real-minus-control,4,20000,0,48.486031
hash_update,real,4,20000,2591388631,129569.431550
hash_update,control,4,20000,28393951,1419.697550
hash_update,real-minus-control,4,20000,0,128.149734
array_lookup,control,5,20000,28431210,1421.560500
array_lookup,real,5,20000,55979050,2798.952500
array_lookup,real-minus-control,5,20000,0,1.377392
array_update,control,5,20000,30758052,1537.902600
array_update,real,5,20000,688890367,34444.518350
array_update,real-minus-control,5,20000,0,32.906616
hash_lookup,control,5,20000,19371944,968.597200
hash_lookup,real,5,20000,989783568,49489.178400
hash_lookup,real-minus-control,5,20000,0,48.520581
hash_update,control,5,20000,28359195,1417.959750
hash_update,real,5,20000,2591406837,129570.341850
hash_update,real-minus-control,5,20000,0,128.152382
