operation,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
array_lookup,control,1,20000,28449377,1422.468850
array_lookup,real,1,20000,46984008,2349.200400
array_lookup,real-minus-control,1,20000,0,0.926732
array_update,control,1,20000,19388478,969.423900
array_update,real,1,20000,677070988,33853.549400
array_update,real-minus-control,1,20000,0,32.884126
hash_lookup,control,1,20000,19486056,974.302800
hash_lookup,real,1,20000,985696891,49284.844550
hash_lookup,real-minus-control,1,20000,0,48.310542
hash_update,control,1,20000,28424624,1421.231200
hash_update,real,1,20000,2578345938,128917.296900
hash_update,real-minus-control,1,20000,0,127.496066
array_lookup,real,2,20000,47066113,2353.305650
array_lookup,control,2,20000,28437874,1421.893700
array_lookup,real-minus-control,2,20000,0,0.931412
array_update,real,2,20000,676886326,33844.316300
array_update,control,2,20000,19410971,970.548550
array_update,real-minus-control,2,20000,0,32.873768
hash_lookup,real,2,20000,983915559,49195.777950
hash_lookup,control,2,20000,19443102,972.155100
hash_lookup,real-minus-control,2,20000,0,48.223623
hash_update,real,2,20000,2578062842,128903.142100
hash_update,control,2,20000,28401397,1420.069850
hash_update,real-minus-control,2,20000,0,127.483072
array_lookup,control,3,20000,28446229,1422.311450
array_lookup,real,3,20000,46984639,2349.231950
array_lookup,real-minus-control,3,20000,0,0.926920
array_update,control,3,20000,19385606,969.280300
array_update,real,3,20000,676899012,33844.950600
array_update,real-minus-control,3,20000,0,32.875670
hash_lookup,control,3,20000,19448700,972.435000
hash_lookup,real,3,20000,982078248,49103.912400
hash_lookup,real-minus-control,3,20000,0,48.131477
hash_update,control,3,20000,28406170,1420.308500
hash_update,real,3,20000,2577985832,128899.291600
hash_update,real-minus-control,3,20000,0,127.478983
array_lookup,real,4,20000,47083394,2354.169700
array_lookup,control,4,20000,28461636,1423.081800
array_lookup,real-minus-control,4,20000,0,0.931088
array_update,real,4,20000,676910455,33845.522750
array_update,control,4,20000,19386872,969.343600
array_update,real-minus-control,4,20000,0,32.876179
hash_lookup,real,4,20000,984689795,49234.489750
hash_lookup,control,4,20000,19433711,971.685550
hash_lookup,real-minus-control,4,20000,0,48.262804
hash_update,real,4,20000,2578991728,128949.586400
hash_update,control,4,20000,28416569,1420.828450
hash_update,real-minus-control,4,20000,0,127.528758
array_lookup,control,5,20000,28455248,1422.762400
array_lookup,real,5,20000,47020010,2351.000500
array_lookup,real-minus-control,5,20000,0,0.928238
array_update,control,5,20000,19401077,970.053850
array_update,real,5,20000,676915555,33845.777750
array_update,real-minus-control,5,20000,0,32.875724
hash_lookup,control,5,20000,19430431,971.521550
hash_lookup,real,5,20000,983613810,49180.690500
hash_lookup,real-minus-control,5,20000,0,48.209169
hash_update,control,5,20000,28423150,1421.157500
hash_update,real,5,20000,2577907348,128895.367400
hash_update,real-minus-control,5,20000,0,127.474210
