map,operation,layer,wall_ns,net_vs_control_wall_ns,increment_vs_previous_wall_ns,task-clock,net_vs_control_task-clock,increment_vs_previous_task-clock,cycles,net_vs_control_cycles,increment_vs_previous_cycles,instructions,net_vs_control_instructions,increment_vs_previous_instructions,branches,net_vs_control_branches,increment_vs_previous_branches,branch-misses,net_vs_control_branch-misses,increment_vs_previous_branch-misses,cache-references,net_vs_control_cache-references,increment_vs_previous_cache-references,cache-misses,net_vs_control_cache-misses,increment_vs_previous_cache-misses
array,lookup,control,2.315328666666667,0.0,0.0,2.4358139534883723,0.0,0.0,5.312669448504983,0.0,0.0,12.36241076744186,0.0,0.0,3.06506865448505,0.0,0.0,0.0015114086378737541,0.0,0.0,0.006219358803986711,0.0,0.0,0.004491803986710964,0.0,0.0
array,lookup,l0,3.237896,0.9225673333333333,0.9225673333333333,3.3569767441860465,0.9211627906976743,0.9211627906976743,7.322316976744186,2.009647528239203,2.009647528239203,26.384867707641195,14.022456940199335,14.022456940199335,5.063278431893687,1.9982097774086376,1.9982097774086376,0.0015284617940199336,1.7053156146179483e-05,1.7053156146179483e-05,0.006301205980066445,8.184717607973447e-05,8.184717607973447e-05,0.004393003322259136,-9.880066445182734e-05,-9.880066445182734e-05
array,lookup,l1,9.688115,7.372786333333333,6.450219,9.807607973421927,7.371794019933555,6.4506312292358805,21.393183019933556,16.080513571428572,14.070866043189369,70.41369574418604,58.051284976744185,44.02882803654485,11.074105604651162,8.009036950166113,6.010827172757475,0.0016831295681063122,0.00017172093023255807,0.0001546677740863786,0.006752976744186047,0.000533617940199336,0.00045177076411960157,0.004489222591362126,-2.5813953488376326e-06,9.621926910298971e-05
array,lookup,l2,13.374741666666667,11.059413,3.686626666666667,13.495448504983388,11.059634551495016,3.687840531561461,29.437137312292357,24.124467863787373,8.043954292358801,110.43913676079734,98.07672599335548,40.025441016611296,19.079093372093023,16.014024717607974,8.004987767441861,0.0017630830564784052,0.00025167441860465107,7.9953488372093e-05,0.0070593421926910295,0.0008399833887043186,0.00030636544850498257,0.004556013289036545,6.42093023255812e-05,6.679069767441884e-05
array,lookup,l3,12.941075,10.625746333333332,-0.4336666666666673,13.061528239202659,10.625714285714286,-0.4339202657807295,28.49066446511628,23.177995016611295,-0.9464728471760786,96.44169867774086,84.079287910299,-13.99743808305648,16.074141936877076,13.009073282392027,-3.004951435215947,0.0017471162790697675,0.00023570764119601332,-1.5966777408637752e-05,0.007123554817275748,0.0009041960132890369,6.421262458471827e-05,0.0045076046511627905,1.5800664451826735e-05,-4.840863787375447e-05
array,update,control,2.7747073333333336,0.0,0.0,2.894916943521595,0.0,0.0,6.314012249169435,0.0,0.0,14.367395963455149,0.0,0.0,3.065561102990033,0.0,0.0,0.0015242923588039867,0.0,0.0,0.006212883720930233,0.0,0.0,0.004477691029900332,0.0,0.0
array,update,l0,7.805472333333333,5.030765,5.030765,7.925681063122924,5.030764119601329,5.030764119601329,17.287820322259137,10.973808073089701,10.973808073089701,57.441703641196014,43.07430767774086,43.07430767774086,14.07284892358804,11.007287820598007,11.007287820598007,0.0017274252491694352,0.00020313289036544844,0.00020313289036544844,0.006644634551495016,0.00043175083056478346,0.00043175083056478346,0.004540837209302325,6.31461794019933e-05,6.31461794019933e-05
array,update,l1,16.01621533333333,13.241507999999998,8.210742999999997,16.13860465116279,13.243687707641195,8.212923588039867,35.20167113953488,28.887658890365444,17.913850817275744,118.45322079069767,104.08582482724252,61.01151714950166,22.089896837209302,19.02433573421927,8.017047913621262,0.0018140199335548173,0.0002897275747508305,8.659468438538208e-05,0.008156136212624584,0.0019432524916943514,0.001511501661129568,0.004774926910299003,0.00029723588039867136,0.00023408970099667806
array,update,l2,21.124138333333335,18.349431000000003,5.107923000000003,21.245116279069766,18.350199335548172,5.1065116279069755,46.34221833887043,40.028206089700994,11.14054719933555,168.4924951727575,154.12509920930233,50.039274382059816,30.09149842524917,27.02593732225914,8.001601588039868,0.001895966777408638,0.00037167441860465117,8.194684385382065e-05,0.007602265780730897,0.0013893820598006642,-0.0005538704318936872,0.004774870431893688,0.000297179401993356,-5.647840531537718e-08
array,update,l3,19.273157666666666,16.49845033333333,-1.8509806666666684,19.395514950166113,16.50059800664452,-1.8496013289036526,42.30702303654485,35.99301078737541,-4.035195302325583,142.4801391860465,128.11274322259135,-26.012355986710986,27.08559700332226,24.020035900332225,-3.005901421926911,0.0018782126245847177,0.00035392026578073095,-1.775415282392022e-05,0.007630594684385382,0.001417710963455149,2.832890365448478e-05,0.004674893687707641,0.0001972026578073091,-9.997674418604687e-05
