family,case,operation,from_mode,to_mode,metric,mean_saving_per_helper,median,sample_sd,min,max
array,array_lookup,SHM fd/variant lookup,cache_control,cached_handler,cycles,4.198021200,4.107142200,0.168625968,4.094328300,4.392593100
array,array_lookup,SHM fd/variant lookup,cache_control,cached_handler,instructions,26.397924750,26.408173250,0.042681654,26.351051850,26.434549150
array,array_lookup,generic handler dispatch,cached_handler,direct_map,cycles,10.042923967,9.890583400,0.306386560,9.842567600,10.395620900
array,array_lookup,generic handler dispatch,cached_handler,direct_map,instructions,51.588528817,51.593954200,0.018938080,51.567470150,51.604162100
array,array_update,SHM fd/variant lookup,cache_control,cached_handler,cycles,4.103718383,4.164417300,0.463065271,3.613297000,4.533440850
array,array_update,SHM fd/variant lookup,cache_control,cached_handler,instructions,26.376374783,26.365578300,0.027491147,26.355920750,26.407625300
array,array_update,generic handler dispatch,cached_handler,direct_map,cycles,9.346671833,9.284777500,0.291706470,9.090879600,9.664358400
array,array_update,generic handler dispatch,cached_handler,direct_map,instructions,53.590138800,53.585031850,0.033054150,53.559935350,53.625449200
array,percpu_array_lookup,SHM fd/variant lookup,cache_control,cached_handler,cycles,3.750038367,4.180341450,0.957739226,2.652620500,4.417153150
array,percpu_array_lookup,SHM fd/variant lookup,cache_control,cached_handler,instructions,26.409881483,26.418330400,0.017730059,26.389507200,26.421806850
array,percpu_array_lookup,generic handler dispatch,cached_handler,direct_map,cycles,11.579487417,11.173457900,1.108787533,10.730948650,12.834055700
array,percpu_array_lookup,generic handler dispatch,cached_handler,direct_map,instructions,48.565344150,48.572759900,0.025052774,48.537420650,48.585851900
array,percpu_array_lookup,std::function wrapper,base,percpu_array_direct,cycles,13.510051750,13.209880950,0.645308119,13.069505550,14.250768750
array,percpu_array_lookup,std::function wrapper,base,percpu_array_direct,instructions,48.968026567,48.978580200,0.032996178,48.931044650,48.994454850
array,percpu_array_lookup,sched_getcpu,percpu_array_direct,percpu_array_fixed_cpu,cycles,5.058035583,4.960985150,0.187679106,4.938753300,5.274368300
array,percpu_array_lookup,sched_getcpu,percpu_array_direct,percpu_array_fixed_cpu,instructions,29.686397450,29.684903900,0.018976009,29.668212350,29.706076100
array,percpu_array_update,SHM fd/variant lookup,cache_control,cached_handler,cycles,10.417793867,10.653630800,0.607218077,9.728036700,10.871714100
array,percpu_array_update,SHM fd/variant lookup,cache_control,cached_handler,instructions,26.414904767,26.419651850,0.013296912,26.399885800,26.425176650
array,percpu_array_update,generic handler dispatch,cached_handler,direct_map,cycles,17.902650400,17.847900500,0.419739693,17.512972300,18.347078400
array,percpu_array_update,generic handler dispatch,cached_handler,direct_map,instructions,51.567988433,51.572596800,0.013459360,51.552830200,51.578538300
array,percpu_array_update,std::function wrapper,base,percpu_array_direct,cycles,80.830127850,80.818870300,0.146975433,80.689104900,80.982408350
array,percpu_array_update,std::function wrapper,base,percpu_array_direct,instructions,258.024508450,258.018650500,0.025382763,258.002566800,258.052308050
array,percpu_array_update,sched_getcpu,percpu_array_direct,percpu_array_fixed_cpu,cycles,4.982849833,4.998014250,0.142133692,4.833741950,5.116793300
array,percpu_array_update,sched_getcpu,percpu_array_direct,percpu_array_fixed_cpu,instructions,29.723322167,29.723142200,0.004221378,29.719193650,29.727630650
array,percpu_array_update,8-byte value copy,percpu_array_direct,percpu_array_no_copy,cycles,6.975989500,6.861940250,0.229492088,6.825863950,7.240164300
array,percpu_array_update,8-byte value copy,percpu_array_direct,percpu_array_no_copy,instructions,38.870184667,38.861584600,0.015531933,38.860854950,38.888114450
hash,percpu_hash_lookup,SHM fd/variant lookup,cache_control,cached_handler,cycles,7.288743933,7.443850900,0.362227214,6.874790500,7.547590400
hash,percpu_hash_lookup,SHM fd/variant lookup,cache_control,cached_handler,instructions,26.399167400,26.407023950,0.030706234,26.365296200,26.425182050
hash,percpu_hash_lookup,generic handler dispatch,cached_handler,direct_map,cycles,14.554914733,14.687678450,0.330885600,14.178265850,14.798799900
hash,percpu_hash_lookup,generic handler dispatch,cached_handler,direct_map,instructions,41.270263767,41.255381700,0.029772807,41.250866150,41.304543450
hash,percpu_hash_lookup,Boost hash/find,base,percpu_hash_lookup_no_find,cycles,219.912404633,220.406800850,1.080322961,218.673351200,220.657061850
hash,percpu_hash_lookup,Boost hash/find,base,percpu_hash_lookup_no_find,instructions,676.958940433,676.790876200,0.302434238,676.777864500,677.308080600
hash,percpu_hash_update,SHM fd/variant lookup,cache_control,cached_handler,cycles,6.139830383,5.884374800,1.021222204,5.270586950,7.264529400
hash,percpu_hash_update,SHM fd/variant lookup,cache_control,cached_handler,instructions,26.383190933,26.391508600,0.019208958,26.361224900,26.396839300
hash,percpu_hash_update,generic handler dispatch,cached_handler,direct_map,cycles,17.300405900,17.228109350,0.210353787,17.135734300,17.537374050
hash,percpu_hash_update,generic handler dispatch,cached_handler,direct_map,instructions,44.289823550,44.287143350,0.016172385,44.275158700,44.307168600
hash,percpu_hash_update,existing value copy,base,percpu_hash_update_no_copy,cycles,101.162056950,101.356108200,0.342993855,100.766028200,101.364034450
hash,percpu_hash_update,existing value copy,base,percpu_hash_update_no_copy,instructions,392.774367550,392.756314000,0.033121768,392.754194950,392.812593700
hash,percpu_hash_update,Boost hash/find,percpu_hash_update_no_copy,percpu_hash_update_no_find,cycles,218.782458450,218.891932550,0.432989195,218.305239200,219.150203600
hash,percpu_hash_update,Boost hash/find,percpu_hash_update_no_copy,percpu_hash_update_no_find,instructions,598.088692550,598.096733800,0.031043022,598.054420100,598.114923750
