family,case,mode,run,metric,value_per_helper
array,array_lookup,cache_control,01,cycles,57.209586050
array,array_lookup,cache_control,01,instructions,258.452900100
array,array_lookup,cache_control,02,cycles,56.716450000
array,array_lookup,cache_control,02,instructions,258.417700350
array,array_lookup,cache_control,03,cycles,56.639423400
array,array_lookup,cache_control,03,instructions,258.421392500
array,array_lookup,cached_handler,01,cycles,52.816992950
array,array_lookup,cached_handler,01,instructions,232.018350950
array,array_lookup,cached_handler,02,cycles,52.609307800
array,array_lookup,cached_handler,02,instructions,232.066648500
array,array_lookup,cached_handler,03,cycles,52.545095100
array,array_lookup,cached_handler,03,instructions,232.013219250
array,array_lookup,direct_map,01,cycles,42.421372050
array,array_lookup,direct_map,01,instructions,180.414188850
array,array_lookup,direct_map,02,cycles,42.718724400
array,array_lookup,direct_map,02,instructions,180.472694300
array,array_lookup,direct_map,03,cycles,42.702527500
array,array_lookup,direct_map,03,instructions,180.445749100
array,array_update,cache_control,01,cycles,63.712810600
array,array_update,cache_control,01,instructions,300.430046250
array,array_update,cache_control,02,cycles,63.773735450
array,array_update,cache_control,02,instructions,300.423460550
array,array_update,cache_control,03,cycles,63.175429500
array,array_update,cache_control,03,instructions,300.420340550
array,array_update,cached_handler,01,cycles,59.548393300
array,array_update,cached_handler,01,instructions,274.064467950
array,array_update,cached_handler,02,cycles,59.240294600
array,array_update,cached_handler,02,instructions,274.067539800
array,array_update,cached_handler,03,cycles,59.562132500
array,array_update,cached_handler,03,instructions,274.012715250
array,array_update,direct_map,01,cycles,50.457513700
array,array_update,direct_map,01,instructions,220.479436100
array,array_update,direct_map,02,cycles,49.955517100
array,array_update,direct_map,02,instructions,220.442090600
array,array_update,direct_map,03,cycles,49.897774100
array,array_update,direct_map,03,instructions,220.452779900
array,percpu_array_lookup,base,01,cycles,69.296293600
array,percpu_array_lookup,base,01,instructions,312.131708750
array,percpu_array_lookup,base,02,cycles,68.436594600
array,percpu_array_lookup,base,02,instructions,312.131554000
array,percpu_array_lookup,base,03,cycles,68.343771200
array,percpu_array_lookup,base,03,instructions,312.139721950
array,percpu_array_lookup,cache_control,01,cycles,76.326463600
array,percpu_array_lookup,cache_control,01,instructions,361.473357900
array,percpu_array_lookup,cache_control,02,cycles,76.068152800
array,percpu_array_lookup,cache_control,02,instructions,361.420141900
array,percpu_array_lookup,cache_control,03,cycles,76.350991100
array,percpu_array_lookup,cache_control,03,instructions,361.464549450
array,percpu_array_lookup,cached_handler,01,cycles,73.673843100
array,percpu_array_lookup,cached_handler,01,instructions,335.051551050
array,percpu_array_lookup,cached_handler,02,cycles,71.650999650
array,percpu_array_lookup,cached_handler,02,instructions,335.030634700
array,percpu_array_lookup,cached_handler,03,cycles,72.170649650
array,percpu_array_lookup,cached_handler,03,instructions,335.046219050
array,percpu_array_lookup,direct_map,01,cycles,60.839787400
array,percpu_array_lookup,direct_map,01,instructions,286.514130400
array,percpu_array_lookup,direct_map,02,cycles,60.920051000
array,percpu_array_lookup,direct_map,02,instructions,286.444782800
array,percpu_array_lookup,direct_map,03,cycles,60.997191750
