family,mode,run,case,net_ns_per_helper
array,base,1,array_lookup,15.264472960
array,base,2,array_lookup,15.373957120
array,base,3,array_lookup,15.224290560
array,base,4,array_lookup,15.402213760
array,base,5,array_lookup,15.391530880
array,base,1,array_update,19.978640640
array,base,2,array_update,19.891713920
array,base,3,array_update,19.998416640
array,base,4,array_update,19.847996800
array,base,5,array_update,19.920208000
array,base,1,percpu_array_lookup,26.666929920
array,base,2,percpu_array_lookup,26.889393920
array,base,3,percpu_array_lookup,26.702633600
array,base,4,percpu_array_lookup,26.888000640
array,base,5,percpu_array_lookup,26.837386240
array,base,1,percpu_array_update,71.216545280
array,base,2,percpu_array_update,71.388188160
array,base,3,percpu_array_update,71.232561920
array,base,4,percpu_array_update,71.204789120
array,base,5,percpu_array_update,71.292528640
array,cache_control,1,array_lookup,19.331232000
array,cache_control,2,array_lookup,19.300476160
array,cache_control,3,array_lookup,19.300897280
array,cache_control,4,array_lookup,19.416021120
array,cache_control,5,array_lookup,19.445602560
array,cache_control,1,array_update,24.059756800
array,cache_control,2,array_update,24.131784960
array,cache_control,3,array_update,24.100195200
array,cache_control,4,array_update,23.896260480
array,cache_control,5,array_update,24.181083520
array,cache_control,1,percpu_array_lookup,30.666853760
array,cache_control,2,percpu_array_lookup,30.545667200
array,cache_control,3,percpu_array_lookup,30.620215040
array,cache_control,4,percpu_array_lookup,30.667268480
array,cache_control,5,percpu_array_lookup,30.878142720
array,cache_control,1,percpu_array_update,79.117919360
array,cache_control,2,percpu_array_update,78.929745280
array,cache_control,3,percpu_array_update,79.060099200
array,cache_control,4,percpu_array_update,79.054785920
array,cache_control,5,percpu_array_update,79.160052480
array,cached_handler,1,array_lookup,17.458551040
array,cached_handler,2,array_lookup,17.574371840
array,cached_handler,3,array_lookup,17.586749440
array,cached_handler,4,array_lookup,17.570177280
array,cached_handler,5,array_lookup,17.404222080
array,cached_handler,1,array_update,22.378137600
array,cached_handler,2,array_update,22.177353600
array,cached_handler,3,array_update,22.084313600
array,cached_handler,4,array_update,22.100467200
array,cached_handler,5,array_update,22.378538240
array,cached_handler,1,percpu_array_lookup,28.562088960
array,cached_handler,2,percpu_array_lookup,28.770691200
array,cached_handler,3,percpu_array_lookup,28.505114240
array,cached_handler,4,percpu_array_lookup,28.565265280
array,cached_handler,5,percpu_array_lookup,28.587366400
array,cached_handler,1,percpu_array_update,73.299646720
array,cached_handler,2,percpu_array_update,73.280871040
array,cached_handler,3,percpu_array_update,73.068830080
array,cached_handler,4,percpu_array_update,73.230756480
array,cached_handler,5,percpu_array_update,73.199172480
array,direct_map,1,array_lookup,12.730358400
array,direct_map,2,array_lookup,12.776365440
array,direct_map,3,array_lookup,12.926581120
array,direct_map,4,array_lookup,12.785612800
array,direct_map,5,array_lookup,12.729112960
array,direct_map,1,array_update,18.002594560
array,direct_map,2,array_update,17.947097600
array,direct_map,3,array_update,17.891770880
array,direct_map,4,array_update,17.958608640
array,direct_map,5,array_update,17.880770560
array,direct_map,1,percpu_array_lookup,23.518547840
array,direct_map,2,percpu_array_lookup,23.530616960
array,direct_map,3,percpu_array_lookup,23.599389440
array,direct_map,4,percpu_array_lookup,23.494664960
array,direct_map,5,percpu_array_lookup,23.515422080
array,direct_map,1,percpu_array_update,63.781914880
array,direct_map,2,percpu_array_update,63.758346240
array,direct_map,3,percpu_array_update,64.468785280
array,direct_map,4,percpu_array_update,63.767008640
array,direct_map,5,percpu_array_update,63.890048000
array,percpu_array_direct,1,array_lookup,15.347258240
array,percpu_array_direct,2,array_lookup,15.228528640
array,percpu_array_direct,3,array_lookup,15.223034240
array,percpu_array_direct,4,array_lookup,15.185643520
array,percpu_array_direct,5,array_lookup,15.231936640
array,percpu_array_direct,1,array_update,20.087003520
array,percpu_array_direct,2,array_update,20.064964480
array,percpu_array_direct,3,array_update,20.047567360
array,percpu_array_direct,4,array_update,20.023065600
array,percpu_array_direct,5,array_update,20.085076480
array,percpu_array_direct,1,percpu_array_lookup,21.943706880
array,percpu_array_direct,2,percpu_array_lookup,21.845177600
array,percpu_array_direct,3,percpu_array_lookup,21.866650880
array,percpu_array_direct,4,percpu_array_lookup,21.837212800
array,percpu_array_direct,5,percpu_array_lookup,21.882123520
array,percpu_array_direct,1,percpu_array_update,27.155045120
array,percpu_array_direct,2,percpu_array_update,27.134487040
array,percpu_array_direct,3,percpu_array_update,27.134325120
array,percpu_array_direct,4,percpu_array_update,27.229181440
array,percpu_array_direct,5,percpu_array_update,27.128633600
array,percpu_array_fixed_cpu,1,array_lookup,15.209198080
