family,mode,case,mean_ns_per_helper,median,sample_sd,min,max,saving_vs_base
array,base,array_lookup,15.331293056,15.373957120,0.081229649,15.224290560,15.402213760,0.000000000
array,base,array_update,19.927395200,19.920208000,0.061844676,19.847996800,19.998416640,0.000000000
array,base,percpu_array_lookup,26.796868864,26.837386240,0.105204513,26.666929920,26.889393920,0.000000000
array,base,percpu_array_update,71.266922624,71.232561920,0.075729957,71.204789120,71.388188160,0.000000000
array,cache_control,array_lookup,19.358845824,19.331232000,0.067681830,19.300476160,19.445602560,-4.027552768
array,cache_control,array_update,24.073816192,24.100195200,0.108726960,23.896260480,24.181083520,-4.146420992
array,cache_control,percpu_array_lookup,30.675629440,30.666853760,0.123611778,30.545667200,30.878142720,-3.878760576
array,cache_control,percpu_array_update,79.064520448,79.060099200,0.086971931,78.929745280,79.160052480,-7.797597824
array,cached_handler,array_lookup,17.518814336,17.570177280,0.082314969,17.404222080,17.586749440,-2.187521280
array,cached_handler,array_update,22.223762048,22.177353600,0.145420695,22.084313600,22.378538240,-2.296366848
array,cached_handler,percpu_array_lookup,28.598105216,28.565265280,0.101148650,28.505114240,28.770691200,-1.801236352
array,cached_handler,percpu_array_update,73.215855360,73.230756480,0.091330205,73.068830080,73.299646720,-1.948932736
array,direct_map,array_lookup,12.789606144,12.776365440,0.080813253,12.729112960,12.926581120,2.541686912
array,direct_map,array_update,17.936168448,17.947097600,0.050188412,17.880770560,18.002594560,1.991226752
array,direct_map,percpu_array_lookup,23.531728256,23.518547840,0.039976785,23.494664960,23.599389440,3.265140608
array,direct_map,percpu_array_update,63.933220608,63.781914880,0.304053564,63.758346240,64.468785280,7.333702016
array,percpu_array_direct,array_lookup,15.243280256,15.228528640,0.061011481,15.185643520,15.347258240,0.088012800
array,percpu_array_direct,array_update,20.061535488,20.064964480,0.026877490,20.023065600,20.087003520,-0.134140288
array,percpu_array_direct,percpu_array_lookup,21.874974336,21.866650880,0.042303464,21.837212800,21.943706880,4.921894528
