operation,layer,mean_ns_per_op,delta_from_control_ns_per_op,instructions_per_op
lookup,control,2.9042852,0.0,13.85931372
lookup,fixed,3.297322,0.39303679999999996,34.25638578
lookup,sched,7.0893724,4.1850872,67.91849962
lookup,std_function,12.6439216,9.7396364,118.92988164
lookup,l0,12.9945684,10.0902832,118.93156652
lookup,l3,23.6889964,20.7847112,207.69623242
update,control,2.9058446,0.0,15.9017804
update,fixed,5.832334,2.9264894000000004,65.8775841
update,sched,9.3745676,6.468723000000001,98.52104786
update,std_function,41.8059248,38.9000802,367.86934826
update,l0,41.8534824,38.947637799999995,371.95626788
update,l3,68.3628418,65.4569972,478.09054034
