operation,layer,task_clock_msec,cycles,instructions,branches,branch_misses,cycles_per_op,instructions_per_op,branches_per_op,branch_misses_per_op,ipc
lookup,control,183.32,316731287.0,652116260.0,170975426.0,140454.0,6.33462574,13.0423252,3.41950852,0.00280908,2.058894358611311
lookup,l0,192.91,333274989.0,1365833958.0,272941303.0,139910.0,6.66549978,27.31667916,5.45882606,0.0027982,4.098219197600813
lookup,l1,435.88,753115837.0,3916262391.0,579022888.0,140144.0,15.06231674,78.32524782,11.58045776,0.00280288,5.200079720272832
lookup,l2,703.14,1214914347.0,5650671170.0,936104159.0,142641.0,24.29828694,113.0134234,18.72208318,0.00285282,4.65108604894926
lookup,l3,637.19,1100965779.0,5191563830.0,783084758.0,140495.0,22.01931558,103.8312766,15.66169516,0.0028099,4.7154633949798725
update,control,182.25,314870233.0,753828786.0,170938210.0,146002.0,6.29740466,15.07657572,3.4187642,0.00292004,2.3940935248712445
update,l0,323.04,558149342.0,3202029634.0,782978686.0,142044.0,11.16298684,64.04059268,15.65957372,0.00284088,5.736868957914135
update,l1,637.21,1100977688.0,6262573855.0,1089085266.0,139517.0,22.01955376,125.2514771,21.78170532,0.00279034,5.688193251560244
update,l2,945.64,1633947132.0,8354042449.0,1446182831.0,140880.0,32.67894264,167.08084898,28.92365662,0.0028176,5.112798502099883
update,l3,848.62,1466290459.0,7435936378.0,1293156353.0,141570.0,29.32580918,148.71872756,25.86312706,0.0028314,5.071257425402098
