operation,layer,n,mean_ns_per_op,median_ns_per_op,stdev_ns_per_op,min_ns_per_op,max_ns_per_op,delta_from_control_ns_per_op
lookup,control,5,2.903242,2.902949,0.0007495205133949916,2.902803,2.904578,0.0
lookup,l0,5,3.108129,3.107816,0.0008328054995014475,3.107602,3.109609,0.20488699999999982
lookup,l1,5,7.9448992,7.944958,0.003197334624339707,7.9403,7.949328,5.0416571999999995
lookup,l2,5,13.1070206,13.108394,0.0020145083271113644,13.10436,13.10857,10.2037786
lookup,l3,5,11.7556904,11.755316,0.001126595668374355,11.754559,11.757445,8.8524484
update,control,5,2.905756,2.905461,0.0007592041886080818,2.905337,2.907108,0.0
update,l0,5,5.6701354,5.671372,0.0048659202418451855,5.66378,5.676664,2.7643794000000006
update,l1,5,11.7745464,11.7748,0.005564305329508888,11.766809,11.780625,8.8687904
update,l2,5,17.5765064,17.577594,0.003059705917241112,17.572533,17.579894,14.6707504
update,l3,5,15.9418878,15.946504,0.03466431426121112,15.904622,15.986693,13.0361318
