operation,layer,task_clock_msec,cycles,instructions,branches,branch_misses,cycles_per_op,instructions_per_op,branches_per_op,branch_misses_per_op,ipc
lookup,control,193.57,334442691.0,692965686.0,179156184.0,160353.0,6.68885382,13.85931372,3.58312368,0.00320706,2.0720012864625588
lookup,fixed,213.76,369318877.0,1712819289.0,281139006.0,155223.0,7.38637754,34.25638578,5.62278012,0.00310446,4.637778883422739
lookup,sched,406.8,702839832.0,3395924981.0,587177352.0,153909.0,14.05679664,67.91849962,11.74354704,0.00307818,4.8317195844415375
lookup,std_function,680.04,1174976890.0,5946494082.0,1097281690.0,156709.0,23.4995378,118.92988164,21.9456338,0.00313418,5.06094556634216
lookup,l0,693.59,1198408933.0,5946578326.0,1097287881.0,155557.0,23.96817866,118.93156652,21.94575762,0.00311114,4.962061081365454
lookup,l1,970.84,1677460438.0,8496998718.0,1454379001.0,158001.0,33.54920876,169.93997436,29.08758002,0.00316002,5.065394405444691
lookup,l2,1267.18,2189534295.0,10231904981.0,1811525865.0,157214.0,43.7906859,204.63809962,36.2305173,0.00314428,4.673096468214945
lookup,l3,1244.42,2150182486.0,10384811621.0,1811509893.0,157882.0,43.00364972,207.69623242,36.23019786,0.00315764,4.829735005571058
update,control,193.85,334910592.0,795089020.0,179172380.0,164465.0,6.69821184,15.9017804,3.5834476,0.0032893,2.3740336644832065
update,fixed,343.03,592655302.0,3293879205.0,689161347.0,158436.0,11.85310604,65.8775841,13.78322694,0.00316872,5.557833016737273
update,sched,524.68,906548937.0,4926052393.0,995201709.0,154679.0,18.13097874,98.52104786,19.90403418,0.00309358,5.43385160132839
update,std_function,2185.85,3776903035.0,18393467413.0,3698815915.0,164956.0,75.5380607,367.86934826,73.9763183,0.00329912,4.869986664351843
update,l0,2189.43,3783097638.0,18597813394.0,3800863475.0,162384.0,75.66195276,371.95626788,76.0172695,0.00324768,4.91602786224467
update,l1,2935.19,5071677334.0,21812181384.0,4260118890.0,185821.0,101.43354668,436.24362768,85.2023778,0.00371642,4.300782551321511
update,l2,3523.81,6088715516.0,23904262116.0,4617320064.0,163777.0,121.77431032,478.08524232,92.34640128,0.00327554,3.9259942516913613
update,l3,3552.01,6137440081.0,23904527017.0,4617362647.0,167807.0,122.74880162,478.09054034,92.34725294,0.00335614,3.8948693105782843
