operation,layer,n,mean_ns_per_op,median_ns_per_op,stdev_ns_per_op,min_ns_per_op,max_ns_per_op,delta_from_control_ns_per_op
lookup,control,5,2.9042852,2.904216,0.00037055053636446205,2.903837,2.904819,0.0
lookup,fixed,5,3.297322,3.297284,0.00025050648694182947,3.297092,3.297744,0.39303679999999996
lookup,sched,5,7.0893724,7.088157,0.0025955505774304865,7.087213,7.093497,4.1850872
lookup,std_function,5,12.6439216,12.64595,0.003603677191425412,12.639875,12.647361,9.7396364
lookup,l0,5,12.9945684,12.996601,0.005970324555666501,12.986366,13.000435,10.0902832
lookup,l1,5,18.4832684,18.483425,0.0007566318787890238,18.482177,18.484082,15.5789832
lookup,l2,5,23.9367072,23.940495,0.008659470693986171,23.921338,23.941971,21.032422
lookup,l3,5,23.6889964,23.686764,0.008157359149872786,23.681631,23.700406,20.7847112
update,control,5,2.9058446,2.90566,0.0004174419720152466,2.905444,2.906466,0.0
update,fixed,5,5.832334,5.832492,0.0005606928749325716,5.831655,5.83296,2.9264894000000004
update,sched,5,9.3745676,9.37931,0.013423164243203035,9.351348,9.384527,6.468723000000001
update,std_function,5,41.8059248,41.778033,0.06362387851820986,41.755111,41.912642,38.9000802
update,l0,5,41.8534824,41.858295,0.016431027183349965,41.82513,41.868014,38.947637799999995
update,l1,5,56.6827332,56.680157,0.00771986290033595,56.673473,56.692896,53.7768886
update,l2,5,68.40953040000001,68.41419,0.009751006835194935,68.397142,68.420354,65.50368580000001
update,l3,5,68.3628418,68.361881,0.010768662530691232,68.35196,68.380383,65.4569972
