engine,metric,map_kind,operation,implementation,run_cnt,raw_value,value_per_invocation,value_per_helper
bpftime,cycles,array,lookup,noop,,244383849.000,,4.887676980
bpftime,instructions,array,lookup,noop,,1085842254.000,,21.716845080
bpftime,cycles,array,lookup,real,,1174227758.000,,23.484555160
bpftime,instructions,array,lookup,real,,5574152208.000,,111.483044160
bpftime,cycles,array,update,noop,,283267676.000,,5.665353520
bpftime,instructions,array,update,noop,,1032758619.000,,20.655172380
bpftime,cycles,array,update,real,,1714034374.000,,34.280687480
bpftime,instructions,array,update,real,,8530988835.000,,170.619776700
bpftime,cycles,hash,lookup,noop,,242577189.000,,4.851543780
bpftime,instructions,hash,lookup,noop,,1086093524.000,,21.721870480
bpftime,cycles,hash,lookup,real,,3890653096.000,,77.813061920
bpftime,instructions,hash,lookup,real,,14905886053.000,,298.117721060
bpftime,cycles,hash,update,noop,,283801579.000,,5.676031580
bpftime,instructions,hash,update,noop,,1033375943.000,,20.667518860
bpftime,cycles,hash,update,real,,4991073952.000,,99.821479040
bpftime,instructions,hash,update,real,,17506346597.000,,350.126931940
bpftime,cycles,percpu_array,lookup,noop,,242636035.000,,4.852720700
bpftime,instructions,percpu_array,lookup,noop,,1085560692.000,,21.711213840
bpftime,cycles,percpu_array,lookup,real,,2028485535.000,,40.569710700
bpftime,instructions,percpu_array,lookup,real,,9349121728.000,,186.982434560
bpftime,cycles,percpu_array,update,noop,,283436910.000,,5.668738200
bpftime,instructions,percpu_array,update,noop,,1032690582.000,,20.653811640
bpftime,cycles,percpu_array,update,real,,5497033990.000,,109.940679800
bpftime,instructions,percpu_array,update,real,,23426951130.000,,468.539022600
bpftime,cycles,percpu_hash,lookup,noop,,246749479.000,,4.934989580
bpftime,instructions,percpu_hash,lookup,noop,,1098561604.000,,21.971232080
bpftime,cycles,percpu_hash,lookup,real,,10455508685.000,,209.110173700
bpftime,instructions,percpu_hash,lookup,real,,37083008673.000,,741.660173460
bpftime,cycles,percpu_hash,update,noop,,287960535.000,,5.759210700
bpftime,instructions,percpu_hash,update,noop,,1045859873.000,,20.917197460
bpftime,cycles,percpu_hash,update,real,,17508803354.000,,350.176067080
bpftime,instructions,percpu_hash,update,real,,64627981047.000,,1292.559620940
kernel,cycles,array,lookup,control,20000,,2459.654,2.459653700
kernel,instructions,array,lookup,control,20000,,10733.054,10.733054100
kernel,cycles,array,lookup,real,40000,,4913.589,4.913589475
kernel,instructions,array,lookup,real,40000,,21733.604,21.733603950
kernel,cycles,array,update,control,20000,,2237.073,2.237072950
kernel,instructions,array,update,control,20000,,9731.286,9.731285850
kernel,cycles,array,update,real,35310,,20946.195,20.946194931
kernel,instructions,array,update,real,25399,,91771.393,91.771392575
kernel,cycles,hash,lookup,control,40000,,2435.489,2.435488750
kernel,instructions,hash,lookup,control,40000,,10733.678,10.733677550
kernel,cycles,hash,lookup,real,25929,,47266.065,47.266065294
kernel,instructions,hash,lookup,real,40000,,132981.492,132.981492400
kernel,cycles,hash,update,control,20000,,2043.703,2.043702600
kernel,instructions,hash,update,control,20000,,9731.267,9.731267100
kernel,cycles,hash,update,real,30573,,159987.336,159.987335983
kernel,instructions,hash,update,real,35983,,413302.556,413.302555874
kernel,cycles,percpu_array,lookup,control,40000,,2460.837,2.460836950
kernel,instructions,percpu_array,lookup,control,40000,,10732.584,10.732584425
kernel,cycles,percpu_array,lookup,real,20000,,5968.227,5.968226600
kernel,instructions,percpu_array,lookup,real,20000,,30734.939,30.734939350
kernel,cycles,percpu_array,update,control,40000,,1868.296,1.868295775
kernel,instructions,percpu_array,update,control,40000,,9731.630,9.731630175
kernel,cycles,percpu_array,update,real,20000,,26989.397,26.989397250
kernel,instructions,percpu_array,update,real,20000,,92752.493,92.752493400
kernel,cycles,percpu_hash,lookup,control,40000,,2466.539,2.466538725
kernel,instructions,percpu_hash,lookup,control,24820,,10733.145,10.733145004
kernel,cycles,percpu_hash,lookup,real,33338,,49065.147,49.065147279
kernel,instructions,percpu_hash,lookup,real,40000,,138214.154,138.214154450
kernel,cycles,percpu_hash,update,control,20000,,2021.072,2.021072300
kernel,instructions,percpu_hash,update,control,20000,,9729.976,9.729976400
kernel,cycles,percpu_hash,update,real,37398,,115727.316,115.727315846
kernel,instructions,percpu_hash,update,real,40000,,286266.593,286.266593375
