map_kind,operation,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
array,array_lookup,control,1,20000,23801664,1190.083200000
array,array_lookup,real,1,20000,52826272,2641.313600000
array,array_lookup,real-minus-control,1,20000,0,1.451230400
array,array_update,control,1,20000,17276544,863.827200000
array,array_update,real,1,20000,237798880,11889.944000000
array,array_update,real-minus-control,1,20000,0,11.026116800
percpu_array,array_lookup,control,1,20000,23811712,1190.585600000
percpu_array,array_lookup,real,1,20000,64770432,3238.521600000
percpu_array,array_lookup,real-minus-control,1,20000,0,2.047936000
percpu_array,array_update,control,1,20000,19082848,954.142400000
percpu_array,array_update,real,1,20000,307150720,15357.536000000
percpu_array,array_update,real-minus-control,1,20000,0,14.403393600
hash,hash_lookup,control,1,20000,23758080,1187.904000000
hash,hash_lookup,real,1,20000,543175200,27158.760000000
hash,hash_lookup,real-minus-control,1,20000,0,25.970856000
hash,hash_update,control,1,20000,19335360,966.768000000
hash,hash_update,real,1,20000,1850423072,92521.153600000
hash,hash_update,real-minus-control,1,20000,0,91.554385600
percpu_hash,hash_lookup,control,1,20000,23784736,1189.236800000
percpu_hash,hash_lookup,real,1,20000,565505472,28275.273600000
percpu_hash,hash_lookup,real-minus-control,1,20000,0,27.086036800
percpu_hash,hash_update,control,1,20000,18742272,937.113600000
percpu_hash,hash_update,real,1,20000,1335188448,66759.422400000
percpu_hash,hash_update,real-minus-control,1,20000,0,65.822308800
array,array_lookup,real,2,20000,52819360,2640.968000000
array,array_lookup,control,2,20000,23785248,1189.262400000
array,array_lookup,real-minus-control,2,20000,0,1.451705600
array,array_update,real,2,20000,237788160,11889.408000000
array,array_update,control,2,20000,17272800,863.640000000
array,array_update,real-minus-control,2,20000,0,11.025768000
percpu_array,array_lookup,real,2,20000,64752416,3237.620800000
percpu_array,array_lookup,control,2,20000,23810656,1190.532800000
percpu_array,array_lookup,real-minus-control,2,20000,0,2.047088000
percpu_array,array_update,real,2,20000,307145056,15357.252800000
percpu_array,array_update,control,2,20000,19078848,953.942400000
percpu_array,array_update,real-minus-control,2,20000,0,14.403310400
hash,hash_lookup,real,2,20000,541982112,27099.105600000
hash,hash_lookup,control,2,20000,23746816,1187.340800000
hash,hash_lookup,real-minus-control,2,20000,0,25.911764800
hash,hash_update,real,2,20000,1850837408,92541.870400000
hash,hash_update,control,2,20000,19404288,970.214400000
hash,hash_update,real-minus-control,2,20000,0,91.571656000
percpu_hash,hash_lookup,real,2,20000,565328160,28266.408000000
percpu_hash,hash_lookup,control,2,20000,23777312,1188.865600000
percpu_hash,hash_lookup,real-minus-control,2,20000,0,27.077542400
percpu_hash,hash_update,real,2,20000,1334753920,66737.696000000
percpu_hash,hash_update,control,2,20000,18728608,936.430400000
percpu_hash,hash_update,real-minus-control,2,20000,0,65.801265600
array,array_lookup,control,3,20000,23765344,1188.267200000
array,array_lookup,real,3,20000,52851264,2642.563200000
array,array_lookup,real-minus-control,3,20000,0,1.454296000
array,array_update,control,3,20000,17279584,863.979200000
array,array_update,real,3,20000,237802784,11890.139200000
array,array_update,real-minus-control,3,20000,0,11.026160000
percpu_array,array_lookup,control,3,20000,23797312,1189.865600000
percpu_array,array_lookup,real,3,20000,64808096,3240.404800000
percpu_array,array_lookup,real-minus-control,3,20000,0,2.050539200
percpu_array,array_update,control,3,20000,19032384,951.619200000
percpu_array,array_update,real,3,20000,307138784,15356.939200000
percpu_array,array_update,real-minus-control,3,20000,0,14.405320000
hash,hash_lookup,control,3,20000,23772928,1188.646400000
hash,hash_lookup,real,3,20000,544578048,27228.902400000
hash,hash_lookup,real-minus-control,3,20000,0,26.040256000
hash,hash_update,control,3,20000,19396672,969.833600000
hash,hash_update,real,3,20000,1847663584,92383.179200000
hash,hash_update,real-minus-control,3,20000,0,91.413345600
percpu_hash,hash_lookup,control,3,20000,23767968,1188.398400000
percpu_hash,hash_lookup,real,3,20000,566773920,28338.696000000
percpu_hash,hash_lookup,real-minus-control,3,20000,0,27.150297600
percpu_hash,hash_update,control,3,20000,18727008,936.350400000
percpu_hash,hash_update,real,3,20000,1334470912,66723.545600000
percpu_hash,hash_update,real-minus-control,3,20000,0,65.787195200
array,array_lookup,real,4,20000,52855008,2642.750400000
array,array_lookup,control,4,20000,23769600,1188.480000000
array,array_lookup,real-minus-control,4,20000,0,1.454270400
array,array_update,real,4,20000,237747936,11887.396800000
array,array_update,control,4,20000,17271360,863.568000000
array,array_update,real-minus-control,4,20000,0,11.023828800
percpu_array,array_lookup,real,4,20000,64780640,3239.032000000
percpu_array,array_lookup,control,4,20000,23799072,1189.953600000
percpu_array,array_lookup,real-minus-control,4,20000,0,2.049078400
percpu_array,array_update,real,4,20000,307117088,15355.854400000
percpu_array,array_update,control,4,20000,19075392,953.769600000
percpu_array,array_update,real-minus-control,4,20000,0,14.402084800
hash,hash_lookup,real,4,20000,543119744,27155.987200000
hash,hash_lookup,control,4,20000,23810976,1190.548800000
hash,hash_lookup,real-minus-control,4,20000,0,25.965438400
hash,hash_update,real,4,20000,1850914144,92545.707200000
hash,hash_update,control,4,20000,19408192,970.409600000
hash,hash_update,real-minus-control,4,20000,0,91.575297600
percpu_hash,hash_lookup,real,4,20000,566262912,28313.145600000
percpu_hash,hash_lookup,control,4,20000,23773984,1188.699200000
percpu_hash,hash_lookup,real-minus-control,4,20000,0,27.124446400
percpu_hash,hash_update,real,4,20000,1334917312,66745.865600000
percpu_hash,hash_update,control,4,20000,18770720,938.536000000
percpu_hash,hash_update,real-minus-control,4,20000,0,65.807329600
array,array_lookup,control,5,20000,23757760,1187.888000000
array,array_lookup,real,5,20000,52884448,2644.222400000
array,array_lookup,real-minus-control,5,20000,0,1.456334400
array,array_update,control,5,20000,17277280,863.864000000
array,array_update,real,5,20000,238113696,11905.684800000
array,array_update,real-minus-control,5,20000,0,11.041820800
percpu_array,array_lookup,control,5,20000,23789376,1189.468800000
percpu_array,array_lookup,real,5,20000,64790464,3239.523200000
percpu_array,array_lookup,real-minus-control,5,20000,0,2.050054400
percpu_array,array_update,control,5,20000,19152512,957.625600000
percpu_array,array_update,real,5,20000,307313312,15365.665600000
percpu_array,array_update,real-minus-control,5,20000,0,14.408040000
hash,hash_lookup,control,5,20000,23771072,1188.553600000
hash,hash_lookup,real,5,20000,541854336,27092.716800000
hash,hash_lookup,real-minus-control,5,20000,0,25.904163200
hash,hash_update,control,5,20000,19409216,970.460800000
hash,hash_update,real,5,20000,1850593952,92529.697600000
hash,hash_update,real-minus-control,5,20000,0,91.559236800
percpu_hash,hash_lookup,control,5,20000,23769440,1188.472000000
percpu_hash,hash_lookup,real,5,20000,567862784,28393.139200000
percpu_hash,hash_lookup,real-minus-control,5,20000,0,27.204667200
percpu_hash,hash_update,control,5,20000,18760576,938.028800000
percpu_hash,hash_update,real,5,20000,1334896672,66744.833600000
percpu_hash,hash_update,real-minus-control,5,20000,0,65.806804800
