map_kind,operation,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
array,array_lookup,control,1,20000,24286528,1214.326400000
array,array_lookup,real,1,20000,53334528,2666.726400000
array,array_lookup,real-minus-control,1,20000,0,1.452400000
array,array_update,control,1,20000,21209376,1060.468800000
array,array_update,real,1,20000,238509056,11925.452800000
array,array_update,real-minus-control,1,20000,0,10.864984000
percpu_array,array_lookup,control,1,20000,24006688,1200.334400000
percpu_array,array_lookup,real,1,20000,65273024,3263.651200000
percpu_array,array_lookup,real-minus-control,1,20000,0,2.063316800
percpu_array,array_update,control,1,20000,18876864,943.843200000
percpu_array,array_update,real,1,20000,309769600,15488.480000000
percpu_array,array_update,real-minus-control,1,20000,0,14.544636800
hash,hash_lookup,control,1,20000,24685728,1234.286400000
hash,hash_lookup,real,1,20000,545142432,27257.121600000
hash,hash_lookup,real-minus-control,1,20000,0,26.022835200
hash,hash_update,control,1,20000,20922240,1046.112000000
hash,hash_update,real,1,20000,1873263008,93663.150400000
hash,hash_update,real-minus-control,1,20000,0,92.617038400
percpu_hash,hash_lookup,control,1,20000,23971040,1198.552000000
percpu_hash,hash_lookup,real,1,20000,563065760,28153.288000000
percpu_hash,hash_lookup,real-minus-control,1,20000,0,26.954736000
percpu_hash,hash_update,control,1,20000,17379488,868.974400000
percpu_hash,hash_update,real,1,20000,1344712288,67235.614400000
percpu_hash,hash_update,real-minus-control,1,20000,0,66.366640000
array,array_lookup,real,2,20000,53274336,2663.716800000
array,array_lookup,control,2,20000,24270464,1213.523200000
array,array_lookup,real-minus-control,2,20000,0,1.450193600
array,array_update,real,2,20000,238488480,11924.424000000
array,array_update,control,2,20000,21227808,1061.390400000
array,array_update,real-minus-control,2,20000,0,10.863033600
percpu_array,array_lookup,real,2,20000,65189440,3259.472000000
percpu_array,array_lookup,control,2,20000,23948992,1197.449600000
percpu_array,array_lookup,real-minus-control,2,20000,0,2.062022400
percpu_array,array_update,real,2,20000,309781632,15489.081600000
percpu_array,array_update,control,2,20000,18893376,944.668800000
percpu_array,array_update,real-minus-control,2,20000,0,14.544412800
hash,hash_lookup,real,2,20000,548194496,27409.724800000
hash,hash_lookup,control,2,20000,24704544,1235.227200000
hash,hash_lookup,real-minus-control,2,20000,0,26.174497600
hash,hash_update,real,2,20000,1874622784,93731.139200000
hash,hash_update,control,2,20000,20934432,1046.721600000
hash,hash_update,real-minus-control,2,20000,0,92.684417600
percpu_hash,hash_lookup,real,2,20000,564008704,28200.435200000
percpu_hash,hash_lookup,control,2,20000,23963488,1198.174400000
percpu_hash,hash_lookup,real-minus-control,2,20000,0,27.002260800
percpu_hash,hash_update,real,2,20000,1345112032,67255.601600000
percpu_hash,hash_update,control,2,20000,17390336,869.516800000
percpu_hash,hash_update,real-minus-control,2,20000,0,66.386084800
array,array_lookup,control,3,20000,24249568,1212.478400000
array,array_lookup,real,3,20000,53248480,2662.424000000
array,array_lookup,real-minus-control,3,20000,0,1.449945600
array,array_update,control,3,20000,21175872,1058.793600000
array,array_update,real,3,20000,238262720,11913.136000000
array,array_update,real-minus-control,3,20000,0,10.854342400
percpu_array,array_lookup,control,3,20000,23921984,1196.099200000
percpu_array,array_lookup,real,3,20000,65167392,3258.369600000
percpu_array,array_lookup,real-minus-control,3,20000,0,2.062270400
percpu_array,array_update,control,3,20000,18878624,943.931200000
percpu_array,array_update,real,3,20000,309694080,15484.704000000
percpu_array,array_update,real-minus-control,3,20000,0,14.540772800
hash,hash_lookup,control,3,20000,24691072,1234.553600000
hash,hash_lookup,real,3,20000,546630912,27331.545600000
hash,hash_lookup,real-minus-control,3,20000,0,26.096992000
hash,hash_update,control,3,20000,20973632,1048.681600000
hash,hash_update,real,3,20000,1874817344,93740.867200000
hash,hash_update,real-minus-control,3,20000,0,92.692185600
percpu_hash,hash_lookup,control,3,20000,23942720,1197.136000000
percpu_hash,hash_lookup,real,3,20000,563755104,28187.755200000
percpu_hash,hash_lookup,real-minus-control,3,20000,0,26.990619200
percpu_hash,hash_update,control,3,20000,17356672,867.833600000
percpu_hash,hash_update,real,3,20000,1344486048,67224.302400000
percpu_hash,hash_update,real-minus-control,3,20000,0,66.356468800
array,array_lookup,real,4,20000,53231488,2661.574400000
array,array_lookup,control,4,20000,24274784,1213.739200000
array,array_lookup,real-minus-control,4,20000,0,1.447835200
array,array_update,real,4,20000,238218432,11910.921600000
array,array_update,control,4,20000,21119232,1055.961600000
array,array_update,real-minus-control,4,20000,0,10.854960000
percpu_array,array_lookup,real,4,20000,65142496,3257.124800000
percpu_array,array_lookup,control,4,20000,23920544,1196.027200000
percpu_array,array_lookup,real-minus-control,4,20000,0,2.061097600
