map_kind,operation,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
array,array_lookup,control,1,20000,23857280,1192.864000000
array,array_lookup,real,1,20000,52520096,2626.004800000
array,array_lookup,real-minus-control,1,20000,0,1.433140800
array,array_update,control,1,20000,17869600,893.480000000
array,array_update,real,1,20000,238102752,11905.137600000
array,array_update,real-minus-control,1,20000,0,11.011657600
percpu_array,array_lookup,control,1,20000,24221984,1211.099200000
percpu_array,array_lookup,real,1,20000,64897312,3244.865600000
percpu_array,array_lookup,real-minus-control,1,20000,0,2.033766400
percpu_array,array_update,control,1,20000,17284480,864.224000000
percpu_array,array_update,real,1,20000,308081792,15404.089600000
percpu_array,array_update,real-minus-control,1,20000,0,14.539865600
hash,hash_lookup,control,1,20000,23784608,1189.230400000
hash,hash_lookup,real,1,20000,535710176,26785.508800000
hash,hash_lookup,real-minus-control,1,20000,0,25.596278400
hash,hash_update,control,1,20000,18990848,949.542400000
hash,hash_update,real,1,20000,1846402816,92320.140800000
hash,hash_update,real-minus-control,1,20000,0,91.370598400
percpu_hash,hash_lookup,control,1,20000,24152000,1207.600000000
percpu_hash,hash_lookup,real,1,20000,560350368,28017.518400000
percpu_hash,hash_lookup,real-minus-control,1,20000,0,26.809918400
percpu_hash,hash_update,control,1,20000,19237952,961.897600000
percpu_hash,hash_update,real,1,20000,1334611264,66730.563200000
percpu_hash,hash_update,real-minus-control,1,20000,0,65.768665600
array,array_lookup,real,2,20000,52548448,2627.422400000
array,array_lookup,control,2,20000,36148288,1807.414400000
array,array_lookup,real-minus-control,2,20000,0,0.820008000
array,array_update,real,2,20000,238170656,11908.532800000
array,array_update,control,2,20000,17835616,891.780800000
array,array_update,real-minus-control,2,20000,0,11.016752000
percpu_array,array_lookup,real,2,20000,64755264,3237.763200000
percpu_array,array_lookup,control,2,20000,24170432,1208.521600000
percpu_array,array_lookup,real-minus-control,2,20000,0,2.029241600
percpu_array,array_update,real,2,20000,307936000,15396.800000000
percpu_array,array_update,control,2,20000,17290304,864.515200000
percpu_array,array_update,real-minus-control,2,20000,0,14.532284800
hash,hash_lookup,real,2,20000,539475680,26973.784000000
hash,hash_lookup,control,2,20000,23796448,1189.822400000
hash,hash_lookup,real-minus-control,2,20000,0,25.783961600
hash,hash_update,real,2,20000,1846005440,92300.272000000
hash,hash_update,control,2,20000,19033024,951.651200000
hash,hash_update,real-minus-control,2,20000,0,91.348620800
percpu_hash,hash_lookup,real,2,20000,560555104,28027.755200000
percpu_hash,hash_lookup,control,2,20000,24131616,1206.580800000
percpu_hash,hash_lookup,real-minus-control,2,20000,0,26.821174400
percpu_hash,hash_update,real,2,20000,1335446560,66772.328000000
percpu_hash,hash_update,control,2,20000,19387136,969.356800000
percpu_hash,hash_update,real-minus-control,2,20000,0,65.802971200
array,array_lookup,control,3,20000,23802240,1190.112000000
array,array_lookup,real,3,20000,64369888,3218.494400000
array,array_lookup,real-minus-control,3,20000,0,2.028382400
array,array_update,control,3,20000,17901472,895.073600000
array,array_update,real,3,20000,238197536,11909.876800000
array,array_update,real-minus-control,3,20000,0,11.014803200
percpu_array,array_lookup,control,3,20000,24195520,1209.776000000
percpu_array,array_lookup,real,3,20000,64789600,3239.480000000
percpu_array,array_lookup,real-minus-control,3,20000,0,2.029704000
percpu_array,array_update,control,3,20000,17301312,865.065600000
percpu_array,array_update,real,3,20000,307845248,15392.262400000
percpu_array,array_update,real-minus-control,3,20000,0,14.527196800
hash,hash_lookup,control,3,20000,23824992,1191.249600000
hash,hash_lookup,real,3,20000,537809952,26890.497600000
hash,hash_lookup,real-minus-control,3,20000,0,25.699248000
hash,hash_update,control,3,20000,18984224,949.211200000
hash,hash_update,real,3,20000,1845467104,92273.355200000
hash,hash_update,real-minus-control,3,20000,0,91.324144000
percpu_hash,hash_lookup,control,3,20000,24152608,1207.630400000
percpu_hash,hash_lookup,real,3,20000,563250336,28162.516800000
percpu_hash,hash_lookup,real-minus-control,3,20000,0,26.954886400
percpu_hash,hash_update,control,3,20000,19213024,960.651200000
percpu_hash,hash_update,real,3,20000,1334884000,66744.200000000
percpu_hash,hash_update,real-minus-control,3,20000,0,65.783548800
array,array_lookup,real,4,20000,64381920,3219.096000000
array,array_lookup,control,4,20000,23840640,1192.032000000
array,array_lookup,real-minus-control,4,20000,0,2.027064000
array,array_update,real,4,20000,238187456,11909.372800000
array,array_update,control,4,20000,17878016,893.900800000
array,array_update,real-minus-control,4,20000,0,11.015472000
percpu_array,array_lookup,real,4,20000,64790176,3239.508800000
percpu_array,array_lookup,control,4,20000,24195552,1209.777600000
percpu_array,array_lookup,real-minus-control,4,20000,0,2.029731200
percpu_array,array_update,real,4,20000,307876128,15393.806400000
percpu_array,array_update,control,4,20000,17276416,863.820800000
percpu_array,array_update,real-minus-control,4,20000,0,14.529985600
hash,hash_lookup,real,4,20000,537821664,26891.083200000
hash,hash_lookup,control,4,20000,23766848,1188.342400000
hash,hash_lookup,real-minus-control,4,20000,0,25.702740800
hash,hash_update,real,4,20000,1845482400,92274.120000000
hash,hash_update,control,4,20000,18976384,948.819200000
hash,hash_update,real-minus-control,4,20000,0,91.325300800
percpu_hash,hash_lookup,real,4,20000,561563360,28078.168000000
percpu_hash,hash_lookup,control,4,20000,24131872,1206.593600000
percpu_hash,hash_lookup,real-minus-control,4,20000,0,26.871574400
percpu_hash,hash_update,real,4,20000,1334779296,66738.964800000
percpu_hash,hash_update,control,4,20000,19356160,967.808000000
percpu_hash,hash_update,real-minus-control,4,20000,0,65.771156800
array,array_lookup,control,5,20000,23818688,1190.934400000
array,array_lookup,real,5,20000,52499776,2624.988800000
