map_kind,operation,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
array,array_lookup,control,1,20000,23903584,1195.179200000
array,array_lookup,real,1,20000,52831616,2641.580800000
array,array_lookup,real-minus-control,1,20000,0,1.446401600
array,array_update,control,1,20000,18766944,938.347200000
array,array_update,real,1,20000,237830528,11891.526400000
array,array_update,real-minus-control,1,20000,0,10.953179200
percpu_array,array_lookup,control,1,20000,24516544,1225.827200000
percpu_array,array_lookup,real,1,20000,64844928,3242.246400000
percpu_array,array_lookup,real-minus-control,1,20000,0,2.016419200
percpu_array,array_update,control,1,20000,17286048,864.302400000
percpu_array,array_update,real,1,20000,308161216,15408.060800000
percpu_array,array_update,real-minus-control,1,20000,0,14.543758400
hash,hash_lookup,control,1,20000,23802496,1190.124800000
hash,hash_lookup,real,1,20000,537663264,26883.163200000
hash,hash_lookup,real-minus-control,1,20000,0,25.693038400
hash,hash_update,control,1,20000,17664736,883.236800000
hash,hash_update,real,1,20000,1826286304,91314.315200000
hash,hash_update,real-minus-control,1,20000,0,90.431078400
percpu_hash,hash_lookup,control,1,20000,23770656,1188.532800000
percpu_hash,hash_lookup,real,1,20000,557972704,27898.635200000
percpu_hash,hash_lookup,real-minus-control,1,20000,0,26.710102400
percpu_hash,hash_update,control,1,20000,19021728,951.086400000
percpu_hash,hash_update,real,1,20000,1335948256,66797.412800000
percpu_hash,hash_update,real-minus-control,1,20000,0,65.846326400
array,array_lookup,real,2,20000,52848896,2642.444800000
array,array_lookup,control,2,20000,35967840,1798.392000000
array,array_lookup,real-minus-control,2,20000,0,0.844052800
array,array_update,real,2,20000,237738016,11886.900800000
array,array_update,control,2,20000,18744896,937.244800000
array,array_update,real-minus-control,2,20000,0,10.949656000
percpu_array,array_lookup,real,2,20000,64771488,3238.574400000
percpu_array,array_lookup,control,2,20000,24522624,1226.131200000
percpu_array,array_lookup,real-minus-control,2,20000,0,2.012443200
percpu_array,array_update,real,2,20000,307815552,15390.777600000
percpu_array,array_update,control,2,20000,17308992,865.449600000
percpu_array,array_update,real-minus-control,2,20000,0,14.525328000
hash,hash_lookup,real,2,20000,529668832,26483.441600000
hash,hash_lookup,control,2,20000,23774016,1188.700800000
hash,hash_lookup,real-minus-control,2,20000,0,25.294740800
hash,hash_update,real,2,20000,1829223232,91461.161600000
hash,hash_update,control,2,20000,17653536,882.676800000
hash,hash_update,real-minus-control,2,20000,0,90.578484800
percpu_hash,hash_lookup,real,2,20000,558757504,27937.875200000
percpu_hash,hash_lookup,control,2,20000,23759104,1187.955200000
percpu_hash,hash_lookup,real-minus-control,2,20000,0,26.749920000
percpu_hash,hash_update,real,2,20000,1336506944,66825.347200000
percpu_hash,hash_update,control,2,20000,19005088,950.254400000
percpu_hash,hash_update,real-minus-control,2,20000,0,65.875092800
array,array_lookup,control,3,20000,23769792,1188.489600000
array,array_lookup,real,3,20000,64692928,3234.646400000
array,array_lookup,real-minus-control,3,20000,0,2.046156800
array,array_update,control,3,20000,18771456,938.572800000
array,array_update,real,3,20000,237700704,11885.035200000
array,array_update,real-minus-control,3,20000,0,10.946462400
percpu_array,array_lookup,control,3,20000,24517600,1225.880000000
percpu_array,array_lookup,real,3,20000,64792768,3239.638400000
percpu_array,array_lookup,real-minus-control,3,20000,0,2.013758400
percpu_array,array_update,control,3,20000,17263488,863.174400000
percpu_array,array_update,real,3,20000,307926816,15396.340800000
percpu_array,array_update,real-minus-control,3,20000,0,14.533166400
hash,hash_lookup,control,3,20000,23804640,1190.232000000
hash,hash_lookup,real,3,20000,533980864,26699.043200000
hash,hash_lookup,real-minus-control,3,20000,0,25.508811200
hash,hash_update,control,3,20000,17631392,881.569600000
hash,hash_update,real,3,20000,1829330176,91466.508800000
hash,hash_update,real-minus-control,3,20000,0,90.584939200
percpu_hash,hash_lookup,control,3,20000,23761376,1188.068800000
percpu_hash,hash_lookup,real,3,20000,561036096,28051.804800000
percpu_hash,hash_lookup,real-minus-control,3,20000,0,26.863736000
percpu_hash,hash_update,control,3,20000,19006240,950.312000000
percpu_hash,hash_update,real,3,20000,1336408352,66820.417600000
percpu_hash,hash_update,real-minus-control,3,20000,0,65.870105600
array,array_lookup,real,4,20000,64677888,3233.894400000
array,array_lookup,control,4,20000,23794912,1189.745600000
array,array_lookup,real-minus-control,4,20000,0,2.044148800
array,array_update,real,4,20000,237751456,11887.572800000
array,array_update,control,4,20000,18745696,937.284800000
array,array_update,real-minus-control,4,20000,0,10.950288000
percpu_array,array_lookup,real,4,20000,64804832,3240.241600000
percpu_array,array_lookup,control,4,20000,24541600,1227.080000000
percpu_array,array_lookup,real-minus-control,4,20000,0,2.013161600
percpu_array,array_update,real,4,20000,307808608,15390.430400000
percpu_array,array_update,control,4,20000,17271680,863.584000000
percpu_array,array_update,real-minus-control,4,20000,0,14.526846400
hash,hash_lookup,real,4,20000,533745664,26687.283200000
hash,hash_lookup,control,4,20000,23814048,1190.702400000
hash,hash_lookup,real-minus-control,4,20000,0,25.496580800
hash,hash_update,real,4,20000,1825828256,91291.412800000
hash,hash_update,control,4,20000,17641920,882.096000000
hash,hash_update,real-minus-control,4,20000,0,90.409316800
percpu_hash,hash_lookup,real,4,20000,559260768,27963.038400000
percpu_hash,hash_lookup,control,4,20000,23749632,1187.481600000
percpu_hash,hash_lookup,real-minus-control,4,20000,0,26.775556800
percpu_hash,hash_update,real,4,20000,1337008896,66850.444800000
percpu_hash,hash_update,control,4,20000,19011328,950.566400000
percpu_hash,hash_update,real-minus-control,4,20000,0,65.899878400
array,array_lookup,control,5,20000,23780672,1189.033600000
array,array_lookup,real,5,20000,52845696,2642.284800000
array,array_lookup,real-minus-control,5,20000,0,1.453251200
array,array_update,control,5,20000,30596096,1529.804800000
array,array_update,real,5,20000,237745568,11887.278400000
array,array_update,real-minus-control,5,20000,0,10.357473600
percpu_array,array_lookup,control,5,20000,24557216,1227.860800000
percpu_array,array_lookup,real,5,20000,64730848,3236.542400000
percpu_array,array_lookup,real-minus-control,5,20000,0,2.008681600
percpu_array,array_update,control,5,20000,17287264,864.363200000
percpu_array,array_update,real,5,20000,308076000,15403.800000000
percpu_array,array_update,real-minus-control,5,20000,0,14.539436800
hash,hash_lookup,control,5,20000,23794720,1189.736000000
hash,hash_lookup,real,5,20000,532831200,26641.560000000
hash,hash_lookup,real-minus-control,5,20000,0,25.451824000
hash,hash_update,control,5,20000,17651424,882.571200000
hash,hash_update,real,5,20000,1827400768,91370.038400000
hash,hash_update,real-minus-control,5,20000,0,90.487467200
percpu_hash,hash_lookup,control,5,20000,23761824,1188.091200000
percpu_hash,hash_lookup,real,5,20000,560420064,28021.003200000
percpu_hash,hash_lookup,real-minus-control,5,20000,0,26.832912000
percpu_hash,hash_update,control,5,20000,19017984,950.899200000
percpu_hash,hash_update,real,5,20000,1336731872,66836.593600000
percpu_hash,hash_update,real-minus-control,5,20000,0,65.885694400
array,array_lookup,real,6,20000,52881280,2644.064000000
array,array_lookup,control,6,20000,23796032,1189.801600000
array,array_lookup,real-minus-control,6,20000,0,1.454262400
array,array_update,real,6,20000,241143232,12057.161600000
array,array_update,control,6,20000,18745984,937.299200000
array,array_update,real-minus-control,6,20000,0,11.119862400
percpu_array,array_lookup,real,6,20000,64816672,3240.833600000
percpu_array,array_lookup,control,6,20000,24519200,1225.960000000
percpu_array,array_lookup,real-minus-control,6,20000,0,2.014873600
percpu_array,array_update,real,6,20000,307782368,15389.118400000
percpu_array,array_update,control,6,20000,17277472,863.873600000
percpu_array,array_update,real-minus-control,6,20000,0,14.525244800
hash,hash_lookup,real,6,20000,533662080,26683.104000000
hash,hash_lookup,control,6,20000,23778176,1188.908800000
hash,hash_lookup,real-minus-control,6,20000,0,25.494195200
hash,hash_update,real,6,20000,1825583520,91279.176000000
hash,hash_update,control,6,20000,17639136,881.956800000
hash,hash_update,real-minus-control,6,20000,0,90.397219200
percpu_hash,hash_lookup,real,6,20000,560341664,28017.083200000
percpu_hash,hash_lookup,control,6,20000,23743936,1187.196800000
percpu_hash,hash_lookup,real-minus-control,6,20000,0,26.829886400
percpu_hash,hash_update,real,6,20000,1337644928,66882.246400000
percpu_hash,hash_update,control,6,20000,19034112,951.705600000
percpu_hash,hash_update,real-minus-control,6,20000,0,65.930540800
array,array_lookup,control,7,20000,23807392,1190.369600000
array,array_lookup,real,7,20000,52838336,2641.916800000
array,array_lookup,real-minus-control,7,20000,0,1.451547200
array,array_update,control,7,20000,18761120,938.056000000
array,array_update,real,7,20000,250357920,12517.896000000
array,array_update,real-minus-control,7,20000,0,11.579840000
percpu_array,array_lookup,control,7,20000,24518688,1225.934400000
percpu_array,array_lookup,real,7,20000,64777600,3238.880000000
percpu_array,array_lookup,real-minus-control,7,20000,0,2.012945600
percpu_array,array_update,control,7,20000,17279264,863.963200000
percpu_array,array_update,real,7,20000,308084704,15404.235200000
percpu_array,array_update,real-minus-control,7,20000,0,14.540272000
hash,hash_lookup,control,7,20000,23801600,1190.080000000
hash,hash_lookup,real,7,20000,535117344,26755.867200000
hash,hash_lookup,real-minus-control,7,20000,0,25.565787200
hash,hash_update,control,7,20000,17656032,882.801600000
hash,hash_update,real,7,20000,1827019616,91350.980800000
hash,hash_update,real-minus-control,7,20000,0,90.468179200
percpu_hash,hash_lookup,control,7,20000,23743488,1187.174400000
percpu_hash,hash_lookup,real,7,20000,560733536,28036.676800000
percpu_hash,hash_lookup,real-minus-control,7,20000,0,26.849502400
percpu_hash,hash_update,control,7,20000,18968800,948.440000000
percpu_hash,hash_update,real,7,20000,1336236000,66811.800000000
percpu_hash,hash_update,real-minus-control,7,20000,0,65.863360000
array,array_lookup,real,8,20000,52839392,2641.969600000
array,array_lookup,control,8,20000,23771744,1188.587200000
array,array_lookup,real-minus-control,8,20000,0,1.453382400
array,array_update,real,8,20000,237740128,11887.006400000
array,array_update,control,8,20000,18740576,937.028800000
array,array_update,real-minus-control,8,20000,0,10.949977600
percpu_array,array_lookup,real,8,20000,64781024,3239.051200000
percpu_array,array_lookup,control,8,20000,36362816,1818.140800000
percpu_array,array_lookup,real-minus-control,8,20000,0,1.420910400
percpu_array,array_update,real,8,20000,307793248,15389.662400000
percpu_array,array_update,control,8,20000,17272736,863.636800000
percpu_array,array_update,real-minus-control,8,20000,0,14.526025600
hash,hash_lookup,real,8,20000,529545344,26477.267200000
hash,hash_lookup,control,8,20000,23765728,1188.286400000
hash,hash_lookup,real-minus-control,8,20000,0,25.288980800
hash,hash_update,real,8,20000,1826757920,91337.896000000
hash,hash_update,control,8,20000,17638688,881.934400000
hash,hash_update,real-minus-control,8,20000,0,90.455961600
percpu_hash,hash_lookup,real,8,20000,560348192,28017.409600000
percpu_hash,hash_lookup,control,8,20000,23766528,1188.326400000
percpu_hash,hash_lookup,real-minus-control,8,20000,0,26.829083200
percpu_hash,hash_update,real,8,20000,1336865056,66843.252800000
percpu_hash,hash_update,control,8,20000,19000416,950.020800000
percpu_hash,hash_update,real-minus-control,8,20000,0,65.893232000
array,array_lookup,control,9,20000,23790816,1189.540800000
array,array_lookup,real,9,20000,52821600,2641.080000000
array,array_lookup,real-minus-control,9,20000,0,1.451539200
array,array_update,control,9,20000,18731968,936.598400000
array,array_update,real,9,20000,237738688,11886.934400000
array,array_update,real-minus-control,9,20000,0,10.950336000
percpu_array,array_lookup,control,9,20000,36415296,1820.764800000
percpu_array,array_lookup,real,9,20000,64806432,3240.321600000
percpu_array,array_lookup,real-minus-control,9,20000,0,1.419556800
percpu_array,array_update,control,9,20000,17306048,865.302400000
percpu_array,array_update,real,9,20000,307998304,15399.915200000
percpu_array,array_update,real-minus-control,9,20000,0,14.534612800
hash,hash_lookup,control,9,20000,23803872,1190.193600000
hash,hash_lookup,real,9,20000,531421728,26571.086400000
hash,hash_lookup,real-minus-control,9,20000,0,25.380892800
hash,hash_update,control,9,20000,17680768,884.038400000
hash,hash_update,real,9,20000,1825334208,91266.710400000
hash,hash_update,real-minus-control,9,20000,0,90.382672000
percpu_hash,hash_lookup,control,9,20000,23768544,1188.427200000
percpu_hash,hash_lookup,real,9,20000,558253408,27912.670400000
percpu_hash,hash_lookup,real-minus-control,9,20000,0,26.724243200
percpu_hash,hash_update,control,9,20000,19015552,950.777600000
percpu_hash,hash_update,real,9,20000,1336526624,66826.331200000
percpu_hash,hash_update,real-minus-control,9,20000,0,65.875553600
array,array_lookup,real,10,20000,52857792,2642.889600000
array,array_lookup,control,10,20000,23765760,1188.288000000
array,array_lookup,real-minus-control,10,20000,0,1.454601600
array,array_update,real,10,20000,237731392,11886.569600000
array,array_update,control,10,20000,18747168,937.358400000
array,array_update,real-minus-control,10,20000,0,10.949211200
percpu_array,array_lookup,real,10,20000,76684544,3834.227200000
percpu_array,array_lookup,control,10,20000,24537376,1226.868800000
percpu_array,array_lookup,real-minus-control,10,20000,0,2.607358400
percpu_array,array_update,real,10,20000,307720320,15386.016000000
percpu_array,array_update,control,10,20000,17294944,864.747200000
percpu_array,array_update,real-minus-control,10,20000,0,14.521268800
hash,hash_lookup,real,10,20000,532185920,26609.296000000
hash,hash_lookup,control,10,20000,23789984,1189.499200000
hash,hash_lookup,real-minus-control,10,20000,0,25.419796800
hash,hash_update,real,10,20000,1827715872,91385.793600000
hash,hash_update,control,10,20000,17625728,881.286400000
hash,hash_update,real-minus-control,10,20000,0,90.504507200
percpu_hash,hash_lookup,real,10,20000,559037504,27951.875200000
percpu_hash,hash_lookup,control,10,20000,23770560,1188.528000000
percpu_hash,hash_lookup,real-minus-control,10,20000,0,26.763347200
percpu_hash,hash_update,real,10,20000,1337429984,66871.499200000
percpu_hash,hash_update,control,10,20000,18981376,949.068800000
percpu_hash,hash_update,real-minus-control,10,20000,0,65.922430400
array,array_lookup,control,11,20000,23791136,1189.556800000
array,array_lookup,real,11,20000,52840640,2642.032000000
array,array_lookup,real-minus-control,11,20000,0,1.452475200
array,array_update,control,11,20000,18761856,938.092800000
array,array_update,real,11,20000,237758688,11887.934400000
array,array_update,real-minus-control,11,20000,0,10.949841600
percpu_array,array_lookup,control,11,20000,24541952,1227.097600000
percpu_array,array_lookup,real,11,20000,64770400,3238.520000000
percpu_array,array_lookup,real-minus-control,11,20000,0,2.011422400
percpu_array,array_update,control,11,20000,29148000,1457.400000000
percpu_array,array_update,real,11,20000,307856512,15392.825600000
percpu_array,array_update,real-minus-control,11,20000,0,13.935425600
hash,hash_lookup,control,11,20000,23776288,1188.814400000
hash,hash_lookup,real,11,20000,531792864,26589.643200000
hash,hash_lookup,real-minus-control,11,20000,0,25.400828800
hash,hash_update,control,11,20000,17723680,886.184000000
hash,hash_update,real,11,20000,1826465280,91323.264000000
hash,hash_update,real-minus-control,11,20000,0,90.437080000
percpu_hash,hash_lookup,control,11,20000,23763360,1188.168000000
percpu_hash,hash_lookup,real,11,20000,561828480,28091.424000000
percpu_hash,hash_lookup,real-minus-control,11,20000,0,26.903256000
percpu_hash,hash_update,control,11,20000,18999008,949.950400000
percpu_hash,hash_update,real,11,20000,1337542848,66877.142400000
percpu_hash,hash_update,real-minus-control,11,20000,0,65.927192000
array,array_lookup,real,12,20000,52822048,2641.102400000
array,array_lookup,control,12,20000,23757792,1187.889600000
array,array_lookup,real-minus-control,12,20000,0,1.453212800
array,array_update,real,12,20000,237708480,11885.424000000
array,array_update,control,12,20000,18760224,938.011200000
array,array_update,real-minus-control,12,20000,0,10.947412800
percpu_array,array_lookup,real,12,20000,64791840,3239.592000000
percpu_array,array_lookup,control,12,20000,24541216,1227.060800000
percpu_array,array_lookup,real-minus-control,12,20000,0,2.012531200
percpu_array,array_update,real,12,20000,307904736,15395.236800000
percpu_array,array_update,control,12,20000,29185632,1459.281600000
percpu_array,array_update,real-minus-control,12,20000,0,13.935955200
hash,hash_lookup,real,12,20000,534007712,26700.385600000
hash,hash_lookup,control,12,20000,23777536,1188.876800000
hash,hash_lookup,real-minus-control,12,20000,0,25.511508800
hash,hash_update,real,12,20000,1826377312,91318.865600000
hash,hash_update,control,12,20000,17660064,883.003200000
hash,hash_update,real-minus-control,12,20000,0,90.435862400
percpu_hash,hash_lookup,real,12,20000,558576992,27928.849600000
percpu_hash,hash_lookup,control,12,20000,23742912,1187.145600000
percpu_hash,hash_lookup,real-minus-control,12,20000,0,26.741704000
percpu_hash,hash_update,real,12,20000,1337866080,66893.304000000
percpu_hash,hash_update,control,12,20000,18995072,949.753600000
percpu_hash,hash_update,real-minus-control,12,20000,0,65.943550400
array,array_lookup,control,13,20000,23784000,1189.200000000
array,array_lookup,real,13,20000,52888576,2644.428800000
array,array_lookup,real-minus-control,13,20000,0,1.455228800
array,array_update,control,13,20000,18764576,938.228800000
array,array_update,real,13,20000,237724576,11886.228800000
array,array_update,real-minus-control,13,20000,0,10.948000000
percpu_array,array_lookup,control,13,20000,24555776,1227.788800000
percpu_array,array_lookup,real,13,20000,64771104,3238.555200000
percpu_array,array_lookup,real-minus-control,13,20000,0,2.010766400
percpu_array,array_update,control,13,20000,17274464,863.723200000
percpu_array,array_update,real,13,20000,320846976,16042.348800000
percpu_array,array_update,real-minus-control,13,20000,0,15.178625600
hash,hash_lookup,control,13,20000,23764832,1188.241600000
hash,hash_lookup,real,13,20000,532274816,26613.740800000
hash,hash_lookup,real-minus-control,13,20000,0,25.425499200
hash,hash_update,control,13,20000,17650432,882.521600000
hash,hash_update,real,13,20000,1827087872,91354.393600000
hash,hash_update,real-minus-control,13,20000,0,90.471872000
percpu_hash,hash_lookup,control,13,20000,23765120,1188.256000000
percpu_hash,hash_lookup,real,13,20000,560668800,28033.440000000
percpu_hash,hash_lookup,real-minus-control,13,20000,0,26.845184000
